MSigDBID	MSigDBName	Entrez_Gene_ID
M5891	HALLMARK_HYPOXIA	310467
M5891	HALLMARK_HYPOXIA	304822
M5891	HALLMARK_HYPOXIA	56611
M5891	HALLMARK_HYPOXIA	24959
M5891	HALLMARK_HYPOXIA	29467
M5891	HALLMARK_HYPOXIA	24680
M5891	HALLMARK_HYPOXIA	29573
M5891	HALLMARK_HYPOXIA	60628
M5891	HALLMARK_HYPOXIA	170901
M5891	HALLMARK_HYPOXIA	24268
M5891	HALLMARK_HYPOXIA	363243
M5891	HALLMARK_HYPOXIA	64032
M5891	HALLMARK_HYPOXIA	84468
M5891	HALLMARK_HYPOXIA	294900
M5891	HALLMARK_HYPOXIA	59073
M5891	HALLMARK_HYPOXIA	83516
M5891	HALLMARK_HYPOXIA	24224
M5891	HALLMARK_HYPOXIA	306860
M5891	HALLMARK_HYPOXIA	282821
M5891	HALLMARK_HYPOXIA	303803
M5891	HALLMARK_HYPOXIA	25073
M5891	HALLMARK_HYPOXIA	29743
M5891	HALLMARK_HYPOXIA	25615
M5891	HALLMARK_HYPOXIA	83584
M5891	HALLMARK_HYPOXIA	24874
M5891	HALLMARK_HYPOXIA	294515
M5891	HALLMARK_HYPOXIA	24628
M5891	HALLMARK_HYPOXIA	298690
M5891	HALLMARK_HYPOXIA	65197
M5891	HALLMARK_HYPOXIA	64316
M5891	HALLMARK_HYPOXIA	94268
M5891	HALLMARK_HYPOXIA	64045
M5891	HALLMARK_HYPOXIA	84348
M5891	HALLMARK_HYPOXIA	25508
M5891	HALLMARK_HYPOXIA	116487
M5891	HALLMARK_HYPOXIA	29139
M5891	HALLMARK_HYPOXIA	140593
M5891	HALLMARK_HYPOXIA	360914
M5891	HALLMARK_HYPOXIA	24362
M5891	HALLMARK_HYPOXIA	288719
M5891	HALLMARK_HYPOXIA	29353
M5891	HALLMARK_HYPOXIA	100911597
M5891	HALLMARK_HYPOXIA	246060
M5891	HALLMARK_HYPOXIA	680021
M5891	HALLMARK_HYPOXIA	362282
M5891	HALLMARK_HYPOXIA	24504
M5891	HALLMARK_HYPOXIA	25617
M5891	HALLMARK_HYPOXIA	114002
M5891	HALLMARK_HYPOXIA	291553
M5891	HALLMARK_HYPOXIA	83684
M5891	HALLMARK_HYPOXIA	170751
M5891	HALLMARK_HYPOXIA	24498
M5891	HALLMARK_HYPOXIA	29464
M5891	HALLMARK_HYPOXIA	100912399
M5891	HALLMARK_HYPOXIA	29634
M5891	HALLMARK_HYPOXIA	83425
M5891	HALLMARK_HYPOXIA	500040
M5891	HALLMARK_HYPOXIA	314906
M5891	HALLMARK_HYPOXIA	24528
M5891	HALLMARK_HYPOXIA	85490
M5891	HALLMARK_HYPOXIA	58920
M5891	HALLMARK_HYPOXIA	64474
M5891	HALLMARK_HYPOXIA	362843
M5891	HALLMARK_HYPOXIA	58982
M5891	HALLMARK_HYPOXIA	56083
M5891	HALLMARK_HYPOXIA	24356
M5891	HALLMARK_HYPOXIA	287647
M5891	HALLMARK_HYPOXIA	140927
M5891	HALLMARK_HYPOXIA	25446
M5891	HALLMARK_HYPOXIA	292915
M5891	HALLMARK_HYPOXIA	25717
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	83791
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25427
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	89784
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29580
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	64191
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29230
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29637
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	309262
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	81681
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	81726
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	300438
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	293688
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	24191
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	117278
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	246074
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	310645
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	81727
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	24539
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	114100
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	83512
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25675
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29540
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	362915
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	300095
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	89841
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	311569
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25389
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29646
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	292710
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	64526
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	24434
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	50671
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	83781
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	282840
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25673
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	297822
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29194
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	81869
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	365096
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25107
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	117540
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	24854
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	313729
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	246273
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	497942
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	302965
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	287876
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	29146
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	63865
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	192351
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	294744
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	286988
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	305633
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	362911
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	24936
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25664
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	309312
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	65134
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	291699
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	84353
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	303330
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	63912
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	296849
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	50692
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	363142
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	25686
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	79248
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	288663
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	114519
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	79559
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	140868
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	445415
M5892	HALLMARK_CHOLESTEROL_HOMEOSTASIS	360949
M5893	HALLMARK_MITOTIC_SPINDLE	310635
M5893	HALLMARK_MITOTIC_SPINDLE	304740
