ID	S4P1_C10	S4P1_D10	S4P1_B10	S4P1_A11	S4P1_F10	S4P1_G10	S4P1_H10	S4P1_E11	S4P1_C11	S4P1_D11	S4P1_B11	S4P1_G11	S4P1_A12	S4P1_F11	S4P1_H11	S4P1_D12	S4P1_B12	S4P1_C12	S4P1_E12	S4P2_D01	S4P1_H12	S4P1_F12	S4P1_G12	S4P2_F01	S4P2_H01	S4P2_G01	S4P2_E01	S4P2_G02	S4P2_F02	S4P2_D02	S4P2_E02	S4P2_B03	S4P2_H02	S4P2_C03	S4P2_A03
PTPN1_9616	0	0	0.426883351278297	0.538574722908977	0	0.460269707557057	0.80166565227727	0.287629186287187	0	0	0.341721149657739	0.415924618063461	0.487697334717794	0.323141213627383	0	0	0	0.325262143818666	0	0.426013826409418	0	0.367729187667851	0	0	0	0	0	0.433052486605747	0	0.519608689497314	0	0.499859415645754	0	0	0.455497521588004
FAS_8609	1.74253926471806	1.37780622602694	1.76989191467834	0.929846747849634	1.65642152483662	1.70256622470278	1.99002900593908	0.912673576155977	1.43068010865307	1.41094165236107	1.52148945448293	2.00265972155072	0.851527264867286	1.46328800645916	1.9116423194763	2.30022868743814	1.26236846458121	1.00832071992564	1.84601642071625	1.2473595607011	1.38152446350698	0.90377931197835	0.598965060607559	2.22474526206459	1.727155909097	1.1175391553998	2.2342395266359	1.63251141012717	1.93592269287769	1.05929705774336	1.72978346316559	2.10855994447651	1.49603312053537	1.63925461880645	1.31325887660975
TF_10003	16.5625162685494	16.6476585093905	16.6551276993946	16.9566139121133	16.7175398240048	16.5291647713456	16.442334401194	16.6250990577754	16.6086805525533	16.7085160669228	16.4557018641698	16.4557864078108	16.4567539966241	16.6384471305502	16.6811642689602	16.5371304580277	16.3343244610865	16.4878758051336	16.5065468852802	16.7285582869706	16.4566864895185	16.5330257252086	16.8281628768478	16.6419236812715	16.534632208817	16.4907906698632	16.6243131340815	16.5108110197427	16.4896057038867	16.5176677481315	16.5000806136903	16.6502630978196	16.6121799479428	16.573822930768	16.9420091051692
TNNT1_33317	3.18292744545856	2.4771066905037	2.35949742574961	1.49064571996178	2.33217252752897	2.25035222639253	3.03270398007648	2.24815726164357	2.81889266990339	3.08167708346246	2.39952136949635	2.58791744443646	2.68476671903766	2.39722138616368	1.98538522122055	2.83458428999463	2.37758946887704	2.47302246449668	2.15707020248614	2.35676235111453	2.78379111280342	2.82715348793348	2.35530868526369	2.99659461412233	2.10469370921038	2.40303324656858	2.84302779834352	2.47278208287005	2.49178540192102	2.52837877219348	1.96198456984586	2.10855994447651	2.30590189912611	2.95757201596058	1.98915531298352
RAB5A_9644	5.45133102698656	5.36445393969559	5.48315277237512	5.37511049831968	5.49578780086127	5.57286164650417	5.65937747494166	5.38601959087075	5.41503852317594	5.53661385986443	5.70177367965661	5.57837975735351	5.41373699662008	5.55282061648986	5.42055642193237	5.76122336038283	5.83176825171845	5.56313522948935	5.72522932069126	4.96483454202765	5.65823786984497	5.46785717505045	5.54849943046323	5.25210770260645	5.63010387774834	5.65320661639689	5.26540479243379	5.7973655092069	5.29581621856723	5.44976890106776	5.37655626788602	5.420268541214	5.69139612695667	5.68195951443904	5.15083468900996
EIF5_8552	8.23888383778031	8.19979107764193	8.17764594055851	8.37909997729122	8.17698634063329	8.28614912136775	8.40141438769072	8.21796268143852	8.19430933720077	8.19884931936079	8.34871641511323	8.16340416298522	7.92556891555329	8.25751800061813	8.29342529500936	8.23030184869516	8.38191784961226	8.31574936603387	8.41098705846222	8.08399689916371	8.41398633361567	8.24699719338834	8.07487289716431	7.99997340222196	8.11186007857839	8.21597267187522	8.16550809326065	8.29290955177389	8.07684488527939	8.20965761205004	8.26756603162957	8.10390752635929	8.45104606946223	8.12806337463466	8.48889118032919
AMDHD2_8039	2.6354893014949	2.53510418259754	2.54115997625383	2.63323898417304	2.73332900002584	3.15247207660662	2.84651414662663	3.29650283852507	2.71626870252969	2.81029125419394	2.94142353467548	1.73944815341605	2.07643609198986	3.00529987978506	2.61591497464356	3.14579427779578	2.721497281001	2.53728349194287	2.93202783357489	2.45040942216962	2.24671691697816	2.56935604865668	2.03131677883732	2.99659461412233	2.86235660883261	2.85574049928622	2.9235155486446	2.56101310266143	2.49178540192102	2.63291875442778	2.44373808484357	2.36198098725684	3.05009115461866	2.79121723635649	2.87013689854994
MYL1_33311	0	0	0.426883351278297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELL_32554	3.44709386582338	3.30847806698451	2.35949742574961	2.78303300490642	3.58865160036122	3.57266789745508	3.23602433429502	2.79848270763454	3.73927135663669	3.68045208124828	3.54728968457403	3.37243631249395	3.35765279637114	3.00529987978506	2.94647196893019	2.93055610133737	3.47793244383531	3.99282573430912	3.68054338815382	3.62480720369472	3.58140849263064	2.88499749858969	3.945760293231	3.18323620441956	3.35656361307932	2.60145501673549	3.07215593149945	3.12133312979582	2.94113905706938	2.90756281411656	2.99101673565142	2.57746728848595	2.6225880402714	2.87679106079342	2.79495431791592
MCCC1_32646	4.54964390947234	4.60263302812293	4.78204809176046	4.6559653724761	4.42271715936325	4.73087531627108	4.60194548945617	4.58170099726452	4.64285031357436	4.65903601484998	4.66228227848065	4.98832649368778	4.6743763555374	4.57565657384329	4.69272533398876	4.57386802293465	4.58986683513981	4.88639427781732	4.88487508697851	4.47884310164958	4.5531205503829	4.41429915089002	4.65464134360179	4.65822700214818	4.3789544886587	4.38446529196582	4.61270194829123	4.31503747541669	4.69611563641809	4.68444189171085	4.72708091920654	4.20094229367799	4.95609853560584	4.29369614801092	4.36992338780341
B3GAT2_32427	0	0	0	0	0	0	0	0	0	0	0.341721149657739	0	0	0.323141213627383	0.259799447700094	0.316533764211639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508945493117614	0
TRAP1_10074	7.59926385913778	7.39778722954896	7.28809235958348	7.32456722250999	7.33404141564826	7.73437521177248	7.40039632099458	7.34432398025127	7.2946930225723	7.34662808390191	7.41995539939332	7.52447193589159	7.12888977141162	7.46545270315648	7.32755813947586	7.41799663097136	7.55537032056099	7.45736793346377	7.44536614313742	7.27514958764815	7.26977261000595	7.45040161192494	7.15505245787709	7.30279343190725	7.39260812277923	7.36257696826519	7.32111274361907	7.43080945802382	7.30128735974148	7.44647579666024	7.46349257270672	7.38408763396203	7.40179827709365	7.52152340863488	7.40556736869724
TH_10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323141213627383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCK_8697	4.24700165322013	5.08270857424524	5.08980846482163	4.43231972235367	3.58865160036122	5.19774371722861	4.64543092283423	5.25878016189627	4.46438052989304	4.31268973939398	5.59414116077378	3.84460040333592	4.53114921894427	4.17564467386718	4.80899137617067	5.5203055049294	5.53804157364928	5.44247473918979	4.53618921558144	5.14370483791725	5.56346485163895	4.88026358996525	4.08351282631343	4.5717106740678	4.48908804890087	5.00870862592305	4.83707304642855	4.50496356705684	3.91944858926726	4.74401027586284	4.42390706677701	5.03930659014364	4.0154415737765	4.65027933302601	4.0198335439986
RGD1562178_32879	7.2694767068786	7.58960693337959	7.40701179053693	7.51149381574889	7.32196286018839	7.54124304514667	7.36614864304415	7.37341029164118	7.44866962160763	7.43400205169366	7.72888217177889	7.49537863165171	7.35483949702685	7.47362682858239	7.57004646717227	7.43445944607617	7.75775290442713	7.53417307700375	7.5883988204873	7.64062398115956	7.51107419756668	7.50214662687066	7.44224317933627	7.28590861797773	7.62507558074354	7.42773765182186	7.32111274361907	7.35262096373199	7.38128085552948	7.58648528127588	7.5728653567655	7.63610409320489	7.49938322116018	7.2114734255964	7.38648775828681
POLE_32719	2.21713784879486	1.98880036928304	2.35949742574961	1.36953841629009	1.7745777204827	2.36002398852923	2.68918539318516	1.68092172483122	2.13470570011647	2.3639466646174	1.64990991961121	2.11820507252469	2.00595247805051	2.32677446137996	2.24760333757492	2.43723522973773	2.55976674197673	2.26104364856473	1.44892259144505	2.2566119559147	1.97940280070141	2.25524793121488	0.598965060607559	2.10663482687463	1.86427588401502	2.04242538415969	2.2342395266359	2.27826972381916	1.93592269287769	1.93288562542601	2.03176232817364	2.10855994447651	1.77717668766773	1.98588942444574	2.34591059407007
FBXO22_32888	5.9723300680569	6.05136125610412	6.10501339427429	5.74740185222565	5.90497078607453	6.17044608443454	5.95844659992864	5.93623125713242	5.90367272956741	5.94871254483454	5.97128615184902	5.83637309944261	6.06526269926227	5.89469667693034	5.74106402782431	6.24464246440863	6.33515572275217	6.13009762386727	6.12153264055585	5.79750828596973	6.085193906912	5.93301295247355	5.61059837413075	5.64004161689808	5.90903024394147	6.0554314729634	5.99040583121931	5.78825504986553	5.76663211835781	5.98717431385379	5.68341496232217	5.80921058219946	5.90371385687341	5.57079887342729	5.58944778233712
MEX3B_33306	0.334216890417257	0	0	0.294274788891953	0.343739881873561	0	0	0	0.312953495655495	0	0.617801655647949	0	0	0	0	0.316533764211639	0	0	0	0	0	0	0	0	0	0	0	0.433052486605747	0	0	0	0.499859415645754	0	0	0.455497521588004
CKAP2_8324	2.04555301163549	2.97300430764204	2.62407618705957	1.80279393356391	1.52771815057527	2.36002398852923	3.96481863365802	3.26373704717132	1.66913298687752	2.76699226630713	2.60361650706872	2.66595102894107	2.59157485174241	1.811682813018	1.6646806952106	3.67537278077116	2.16903701144461	1.59604616365863	1.2878864219704	1.76749128817875	1.65103124127951	2.25524793121488	2.94301835019777	1.97798575106166	1.98948706416112	2.96783856816273	2.57051024890271	2.72277062540078	1.19197247706804	2.68247880222232	2.63523333203072	2.57746728848595	0.933822133164309	1.63925461880645	3.8813178535495
MAD2L1_9171	2.95940212065531	3.13179613102227	3.31505659769944	2.63323898417304	2.94973127989733	3.21219233751623	3.41419805850356	3.32854096488	2.86759093400501	3.27951735724558	3.21494762468664	2.94168273767336	3.4131771860791	3.17530884952794	3.01849906127003	3.52974606333111	3.28437756649406	3.18468437657025	2.8186753914712	2.03268158354203	2.99220403242083	3.62322191275318	3.20696731619318	2.92859970366163	3.15745679066203	3.25976670244383	3.5488996251394	2.72277062540078	2.89204989558282	3.33698222244075	3.21750932510353	3.39557594604423	2.54969261194575	2.79121723635649	3.60141939049366
RSB66_32897	0	0.296768514502051	0	0	0	0	0	0	0.312953495655495	0	0.341721149657739	0	0	0	0	0.316533764211639	0	0.325262143818666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFP36_10204	6.53549161609551	6.36293958231395	6.35608532696217	6.78216439197281	6.74150164340036	6.32721287945945	6.49066304431982	6.64478063222119	6.51728893944281	6.16011412294644	5.97741898466235	8.7859894160687	6.23664441975366	6.35027695257022	7.05101608347027	5.93904750699958	5.90095087857094	6.3064017113198	6.39797928020602	6.86746400603561	6.30617450450717	6.19553942508091	6.08537902761001	6.52547747292718	6.29599867737985	6.02983061818674	6.78800246028057	6.45074136166873	7.58420208822757	7.08575540105591	6.70178086228169	8.6900167693988	6.52407988098412	7.41827343546507	6.18293721090507
GNAS_8727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDAP1_32550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256963440712113	0	0	0	0	0	0	0	0	0
MYPN_32601	0	0	0.426883351278297	0	0	0.460269707557057	0	0	0	0	0.341721149657739	0	0	0	0	0	0	0	0	0.426013826409418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH25H_32637	0.833561065257748	0.296768514502051	1.76989191467834	0.538574722908977	0.343739881873561	0.460269707557057	0.319275894067856	0.287629186287187	1.29483505513706	0.871491473864655	0.341721149657739	0.415924618063461	0.681051214084138	0.323141213627383	0.839354179683086	0.575960711488721	0.432663471335466	1.17916729042855	0.36551355615929	0	0.850173477668472	0.90377931197835	0	0	0.411541692415686	1.1175391553998	1.16030627097617	0.765682575434371	1.01985782838323	0.519608689497314	0.254672678053699	1.4094197438654	0	0.508945493117614	0.455497521588004
