ID	S1P2_C05	S1P2_H04	S1P2_A05	S1P2_B05	S1P2_D05	S1P2_G05	S1P2_F05	S1P2_E05	S1P2_H05	S1P2_A06	S1P2_C06	S1P2_B06	S1P2_F06	S1P2_G06	S1P2_D06	S1P2_E06	S1P2_H06	S1P2_A07	S1P2_C07	S1P2_B07	S1P2_E07	S1P2_D07	S1P2_F07	S1P2_G07	S1P2_H07	S1P2_C08	S1P2_B08	S1P2_A08	S1P2_D08	S1P2_G08	S1P2_F08	S1P2_E08	S1P2_H08	S1P2_C09	S1P2_A09	S1P2_B09
DSG2_8499	6.37814067844538	5.81202199025055	5.96444242386085	5.88824849608344	5.62863464250829	5.98129308927531	5.9340123643563	5.53905259661027	5.88621211411638	5.76476350803268	6.10418236505066	5.6650542303728	6.11524734246997	6.07419125774335	6.15820895373275	6.06744301485183	6.17999697156754	5.75766196397546	6.08313718745799	5.66713662197946	5.60545522488022	5.68211282956957	5.69709218330156	5.66183707142606	5.87120125721838	5.89222942323725	5.4883130032153	5.65187252097409	6.03607084218733	4.42842780152883	5.23361959003267	5.59052360438768	5.13554304835099	5.62807822587641	5.06677106653353	5.39388729061863
WIPI1_32665	3.68345353022453	3.37040728162472	3.74765854028574	3.06485485771436	2.60368162672012	3.28990946130533	3.27054048264523	3.22674480006374	3.68401830300639	2.67979014951662	2.96865037514587	3.04582925429092	2.65638776401434	3.26259300034832	2.57991059161763	2.90650397620688	3.15379258930922	3.53863619106102	2.96865822038721	3.48862456541184	3.17379920030719	3.16924353817034	3.57552699161423	3.47680626265634	2.75070750807859	3.19696303227453	2.25563949069207	3.06501427819864	3.51855082604044	3.38907491577368	3.24826637300532	3.24149806779242	2.94420433736918	3.46502455575486	3.16072659957483	3.33542086993698
NUDT9_9377	7.33606907847714	7.40771899829385	7.34857926231827	7.28064939352915	6.88304726940962	6.45706628310606	7.02612778205627	7.29612629652099	7.28523414522531	6.92616066477279	7.05449479349982	6.47149574954784	6.70797108227222	6.42577774473894	6.73802519547961	6.89012594224585	6.82555615523647	5.71575839247459	6.62889142300941	6.13369472977658	6.46514450236486	7.05291363135301	6.46989532754521	6.64751798836272	6.46487049235262	6.75721824120879	6.18922546904284	6.75284295706928	6.61368616941443	7.14534125828675	6.43393303233599	6.67310322593115	6.60132381643228	6.71689887651529	6.50939714946063	6.56067618123095
CDC25B_8257	0	0	0	0	0.299636729590402	0	0	0.317220053322934	0.29117799468887	0	0.314822289024294	0.714074357568532	0.277605152581708	0	0	0.28285452938564	0.266111379877806	0	0	0	0.297793477919685	0.374220312110337	0	0	0	0	0.95892789447993	0.298979453303827	0.301525856450823	0.293522601928056	0.28452116774864	0	0.416651134327863	0.323160402740679	0	0
ST3GAL1_32507	7.17175090023569	7.38914174604465	7.2529742871311	7.06200378572088	5.93113832973606	6.29647042947217	6.73958443699746	6.95948705494201	6.9039096641544	7.07446248842784	6.4198569516071	6.39670663094988	6.16302120334565	6.18933856941581	6.00685373568353	6.51971905023132	6.48086401388134	5.44238482606038	5.92998839548577	5.59071058326704	5.67831342106936	7.04646404584485	6.49567730308198	6.7380899437884	5.95887589514182	6.97127168385617	5.42633133440696	6.46391305563595	6.3433063446587	7.17942590119429	6.55260039945085	6.27318735079291	6.72975942175847	6.45729200232163	6.2705520550902	6.31115272283728
MT2A_9256	9.37662666104428	8.96585009994994	8.77221373430642	8.01610803216994	7.57376141535045	7.61347538712755	10.1826052618255	9.70765176855748	8.2320671545682	8.45567681291985	8.40923482604289	8.63995830704512	6.29362927645534	6.31058056863083	5.46439259030025	7.23317653288449	7.82305893561771	7.80044857534671	7.27960081598173	5.50168414678841	6.98193024550975	8.87313472616748	7.98602813434659	8.36720310411678	7.21099758748138	9.10667078793169	8.05650774115785	7.27661937628681	6.62051870897044	8.0411487082615	9.26114688627111	7.49322223643923	9.52672626296945	8.37572982864893	8.51617507722122	8.07883366870482
ITIH4_32725	11.9452816510567	11.791568336247	11.9255016107985	11.8745182113806	10.8393689127832	11.046419251861	12.0969860191098	11.512438447085	11.8270825034731	11.2388815062522	11.5632266748008	10.9435913436277	11.1478427182042	10.8350842742543	10.5125460502871	11.3483651915009	11.2766871923237	10.3050302679266	10.8192836411674	10.2167056167564	10.7510854520847	11.5982337747173	10.9409402677028	11.4969949386975	10.7254459587369	11.3032401639021	10.2150693085279	11.0181479768803	10.9978204688471	9.9593841890016	11.0637390519503	10.9069060281004	11.7050017899011	10.6741458032628	10.5473575703429	10.8274134393243
FGA_8632	13.4892774082879	13.4489999886313	13.4927559101655	13.5929139993662	13.5770918335453	13.0775405411916	13.8310594531955	13.3843379675223	13.3456588858283	13.421000031139	13.5566632997743	13.1968975643615	13.3239007311394	12.6993400210921	12.7848376101974	12.5397021903033	13.2491933190516	12.6812311531981	13.1050418472435	12.6192212771586	13.1167734860118	13.4174910996608	12.7369463932106	13.1756962424624	12.6180732591958	13.1646260791903	12.4590938872825	12.7546906390984	12.8094209988705	13.6837396298545	12.9000841688257	13.0588912249647	12.9760992647382	12.8528648526359	12.5603945251813	12.5933863428813
NFKBIA_9307	4.07734064287924	4.31474969041426	3.94621814451132	3.9090682589816	2.70929654968287	3.1033219239921	3.73955144836889	4.31733395539553	4.11483732434517	3.64623138811155	3.58178858743279	2.88836406944863	3.07490536327328	2.80693258338712	2.74207434065525	3.69075033840607	3.30928269683373	2.49738127054282	2.79440745472346	2.51580393102297	2.89129489820453	3.89903323519006	3.63860020063473	2.90606123468127	2.29181582293699	3.82950468289011	3.21082789879961	3.44649106537716	3.33133852488115	4.45835035857301	3.46313500594906	2.85440094957455	5.0723409955855	4.05017311481004	3.31261434105738	3.02284735124647
MBNL2_9202	8.48766284238653	7.55165124926077	8.00886821022182	7.97035593344133	8.40194242182121	8.56709588444343	8.01139983796832	8.52903735140382	8.53748952882338	8.83865847667209	8.67586936080177	8.79499352890251	8.30708853348331	8.15635051090234	8.39442643906258	9.1153786731426	8.32846499438128	9.16788584557696	9.18703290287527	8.96555447522122	8.73876683725268	9.08856260561905	9.27258264929673	9.32875114793636	8.97569814189671	8.52050083091091	9.20911062909035	8.6817905419679	8.35982915409011	7.58238057676131	8.6755658357066	8.56662782303819	7.54686017318731	8.2313379658494	8.49151350875498	8.21632900976121
HIF1A_8801	7.4084969531469	7.31824778087275	7.30978393541547	7.41730916494036	6.94111323558996	6.77101179409422	7.17747978363958	7.18103773895358	7.15772209933757	7.05418724143041	6.93307258294612	6.63225837370544	6.89448607930101	6.91120293462364	6.80073126623744	7.21856402245684	6.86620266597794	6.49811753333854	6.87497160306198	6.74037421672546	6.7557657759105	7.23976475239747	6.88519947646286	6.79995148843312	6.57302523710593	6.76041952609187	6.77537263887318	6.90751041974605	6.80277319891653	5.96280692651751	6.41193957928829	6.50297876211018	6.50621858196704	6.6207982508027	6.70742279618698	6.88555477268191
NVL_9386	4.27813040567261	4.36124077929353	4.32906905942051	3.97596718475769	4.12012347152923	3.97391285665058	3.54962227684713	4.02214596515794	4.05786006150868	4.23792161337497	3.89723367263177	3.64705503665339	3.88672239972764	4.32145999543754	4.35345829263879	4.22967818276846	3.9240377325109	3.87956069257794	3.43253298235821	4.01847311723121	3.97019331087758	4.29695287281546	3.94343145395611	4.13987592706023	4.29033051931508	4.30330902958523	4.00915339473886	3.9332871904601	4.51412466412505	4.39787146027532	4.2048039217473	4.21592949828342	3.77856272483841	4.78728753836889	4.19966251789823	4.38601121407187
