ID	S5P3_D01	S5P3_E01	S5P3_F01	S5P3_G01	S5P3_E02	S5P3_D02	S5P3_F02	S5P3_H01	S5P3_B03	S5P3_H02	S5P3_A03	S5P3_G02	S5P3_C03	S5P3_D03	S5P3_F03	S5P3_E03	S5P3_H03	S5P3_A04	S5P3_G03	S5P3_B04	S5P3_D04	S5P3_F04	S5P3_E04	S5P3_C04	S5P3_A05	S5P3_H04	S5P3_G04	S5P3_B05	S5P3_D05	S5P3_F05	S5P3_C05	S5P3_E05	S5P3_A06	S5P3_H05	S5P3_G05
MMP2_9238	6.3564482987613	5.60488796432929	6.16942151345823	5.84591563267216	6.16999232156584	5.9224779474003	6.53797687503995	6.20732604499662	5.98302417644283	6.35878965245205	5.88460792281316	6.09726503963967	4.92962002226072	6.44726042538462	5.80313330426014	5.7006445046288	5.80180708209129	5.59270415323585	6.02451360214452	5.75599609033738	6.30073298535894	5.75032596952651	5.86631557916322	6.23184315690198	5.86968992584799	5.93884126654636	5.99681283007888	5.82245637358796	5.67382762759363	5.97568813976533	5.70834323304652	5.9935751634981	5.76514568771856	6.3071864839519	6.15281443480212
GLOD4_8714	7.82273617271628	7.84290043718276	7.67518568922966	8.69829932556256	7.95799716821264	7.83423677649541	2.94974682373204	4.67949843470194	8.74998422628056	2.75013445042688	8.58455804069344	7.95181537271145	7.83061453406347	8.68713872726296	8.70964732360561	8.65325018403722	7.63100415486112	7.62475862331467	8.850842699073	7.62581437990403	7.68571019645867	7.70954187837119	7.76158287249693	8.56741843606926	8.76833682837045	8.57948819923458	7.74104785896779	7.82491540433904	8.79342551565965	7.78947942067663	8.78006013274675	8.8366163168253	7.7614302202096	7.79888719629773	2.4962969570764
CD55_33080	6.67485062750261	6.39019509050851	6.91532844552417	6.70945146942132	6.61071799526022	6.35930334735137	6.44451010353224	6.65085523738261	6.84427429431006	6.66472132446866	6.54335886526469	6.30253982787064	6.6042127108454	6.61568988608327	6.35423167444827	6.59766578501687	6.48305765970204	6.63518514666507	6.55136034712933	6.5684814977983	6.53338706626705	6.51807358098227	6.22789106367725	6.43115723329079	6.67073063655379	6.55274567814345	6.52560187336007	6.65665883750243	6.5683111948344	6.67468426627137	6.62447705700784	6.32810744782553	6.67206521170278	6.48787999211301	6.38423500401523
CIAPIN1_8319	5.77200396464287	6.43604358235534	6.40406513097591	6.36695742229303	6.51656692270359	6.64185070220185	6.3042036719005	6.2638983188817	6.20325299566832	6.03931785485238	6.2429346136409	6.42477213875749	6.29484096349637	6.42553583241356	6.20901909572091	6.34757207326481	6.09877001711895	6.45174287435075	6.01422041601865	6.5640689099385	6.20406007253537	6.41696141331954	6.38561574890845	7.04622129538151	6.24664917302021	5.82791187930359	6.25721196169966	6.11451933792996	6.02240052914186	6.15571151674117	6.32477984393895	6.04975995936237	6.2717386453906	6.01316604565163	6.04986710575839
CCNB1_8222	1.74537857838502	2.68184636763356	0.613214094262171	1.78962882247411	2.61945315658177	0.416971932140463	1.48214400929702	1.98369195027555	1.94867439248272	1.86536427274409	2.02446117449268	2.49893027573881	2.02034595153796	1.92395681251641	1.28869072824424	1.81653542578359	1.99576539431713	0.720167684614555	2.36880514600049	1.11061532563076	2.44046108624293	0.848355492029728	0.953152450013738	2.38714267713502	1.96717129988808	1.86722796286174	2.53907306343817	1.70373501321824	1.780747782022	1.84347575409115	1.96301324472179	2.02592288643489	1.3364520392716	2.27563256281997	2.4962969570764
GFOD1_8704	1.74537857838502	0.624500158083862	2.06280543696331	1.22670782257571	0	1.22681017697063	0.923581224619098	0.989148475194009	0.589514811947952	0.911653034705665	1.34153010151873	0	1.5680771282854	1.3164156893452	1.51367566960062	0.880318012022876	1.48179792667418	0.720167684614555	0.300295030633539	1.45368398349277	1.1323759602192	1.26350503099384	0.953152450013738	1.07961663654839	0.570464112520466	0.96038172521334	1.89018864946794	0.884822138338967	1.35061532455393	1.25938380683829	0.532029840659222	1.57922997070532	1.3364520392716	2.21722885664005	0.82678277257743
CHRM3_32786	4.67069384457091	4.01497515507066	4.66473938625224	4.79734846205416	4.62455636560982	4.53094928288096	4.65615795509723	4.93311893016112	4.86280977265397	4.75464127223684	4.26237471989407	4.60070428699772	4.44245544430574	4.75932386567433	4.36348079824486	4.2215988278296	4.4141544448565	4.30552053395865	4.53692546299979	4.52532775177609	4.26480273409091	4.32269446301673	4.60895502895002	4.96746853717194	4.41751845116536	4.49600225324856	4.79533108314657	4.3151308688494	4.57350867767289	4.81158200819511	4.73567524660556	4.3841211040919	4.17658656160804	4.06631360566382	4.59763638282624
GCDH_8693	12.4883764232992	12.3043777660856	12.4661614432148	12.2924624639219	12.320506385737	12.4710749269799	12.412057958307	12.6326303823729	12.3930801455399	12.2781593541899	12.5740470056474	12.3196575941438	12.3482829106317	12.3496427190581	12.38860475813	12.3419139081169	12.6991201796539	12.2426902781761	12.3613387185737	12.3134744721914	12.7868408675376	12.3136894888	12.5882355441389	12.4119546444856	12.5858792537379	12.7538109838099	12.3312005039937	12.2559614833327	12.2340684938067	12.3509594418749	12.230091277903	12.4390175231081	12.2546818899359	12.5595093188161	12.4016498855383
CYP11A1_32785	3.16986344809531	3.18984810996327	3.72052527956003	3.02651516766547	3.58211816648577	2.88114073636249	2.94974682373204	3.30233619664143	2.98150958737338	2.84165077050218	3.55328633777974	3.65897159146913	3.11136965766058	3.44285553218272	3.9857670682361	3.54224478663414	3.37340684207094	3.84589668694111	3.25726105868984	3.55142247582553	3.59339915281086	3.32265413799971	3.30639888900177	3.54712332595398	3.60348130819742	3.43783716337717	3.67011820628681	2.90498819315725	4.08278806459315	3.4797233684276	3.34230230163818	2.90814414382553	3.25423923097842	2.83741011831723	2.56077892616176
SPC24_9924	5.16276826202388	5.2416117371178	4.88761378464822	5.06139368781318	5.19665368537898	4.86543761601442	4.46435603814432	4.97890050283371	4.67604410946371	5.23150110980165	4.68741702436476	4.73279220878997	4.90879853664086	5.16348430926308	5.10419353945085	5.02986886425651	4.72791819865281	4.42627554229105	5.08143599250056	4.57879994129422	4.72119307733647	4.59770850895849	4.44812090166222	5.28838899706247	4.85237694191344	4.6668858968815	4.94369661871657	4.84064151482441	5.24730287106533	4.91042065528232	5.20554724167751	4.88539822778109	4.84601045459226	4.69897648316753	5.39257339339598
RPS19_33100	13.0264643737943	12.8489264501789	12.9561961260286	12.7678234382666	12.9343342501321	12.9445431795716	13.034735145369	12.9990237113225	12.997170152202	12.9587116955847	13.0197582636668	12.9497697297697	12.8513520636603	12.8693201157506	12.9057572348229	12.9586240581883	12.8416833082926	12.7365144965114	12.8128006464191	12.9226736076359	12.6863806979378	12.9123109302411	12.7832754717915	12.8201151349209	12.8899870999332	12.6782546110528	12.7793200526156	12.943825221641	12.948037249294	12.6910956734872	12.7015229651547	12.7286988715002	12.9565037794699	12.9014332162905	12.7220935657387
KDR_8956	8.01082930685129	7.87321408417723	8.52378398883153	8.39649503744953	8.36759360369811	8.33412771173944	8.32716642196365	7.89119512415345	8.34896246913018	8.05897512877603	8.23803337942627	8.13608291842288	7.96653466284845	8.34425168077921	8.27526485744673	8.28322013982927	8.1712917616337	8.31384902844051	7.95630381607657	8.47362296745733	8.120343814632	8.17971769384791	8.1326769088951	8.53746800547723	8.31484738435817	8.30532281732917	8.19049313096969	8.14700728568013	8.01926789754862	8.30027343590925	8.13361120887299	8.12117481100653	8.21238552697299	7.99522923090169	8.03202092400576
AIMP2_8006	9.17705723880242	8.89497043820205	8.68656597487992	8.66851119284138	8.97686397915199	9.07738141205686	8.88622898482889	8.95553818508006	9.00369138215746	9.19287328957093	9.04048950312951	9.03459101604721	8.71649857845982	9.02200282218082	8.94025169205311	8.89409324849132	8.91620369957291	8.79658035478011	9.06481076183125	8.76837068031097	9.23656115140536	8.98550836692383	8.93489818019983	8.89753982025993	8.62682600133111	8.97833262801644	8.96913699625566	8.81632227557634	8.94826901657073	8.82410670097557	8.68712072009225	9.0684670794677	8.8780075533368	9.58004292341977	9.06652018737915
GABRA5_32518	0	0.624500158083862	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35643721039761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
