ID	S2P3_D01	S2P3_F01	S2P3_E01	S2P3_H01	S2P3_D02	S2P3_E02	S2P3_G01	S2P3_H02	S2P3_F02	S2P3_G02	S2P3_A03	S2P3_D03	S2P3_B03	S2P3_E03	S2P3_C03	S2P3_H03	S2P3_F03	S2P3_G03	S2P3_A04	S2P3_D04	S2P3_C04	S2P3_B04	S2P3_E04	S2P3_F04	S2P3_G04	S2P3_H04	S2P3_A05	S2P3_B05	S2P3_C05	S2P3_D05	S2P3_E05
EAPP_8512	8.13629384786123	8.09697474467834	8.16218120393191	8.1925939218179	8.10598319880945	8.10384547730621	8.11984530250323	8.11363082368299	8.01904233904121	8.15914292400222	7.97722713885818	8.24634944382105	8.13658282486063	8.28401479818249	8.14244197132799	7.8930935418243	8.19673886846643	8.1811578296493	7.63159203764246	7.95223790277235	8.0530984960004	7.93209073001059	8.0705394270042	7.4544623131421	7.96182649636678	8.17331226532729	7.37296701382868	7.47248920045051	7.91524329729801	7.78852427326347	7.56647430466295
SIX1_32898	0	0	0	0	0.484399355030741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR1C_9522	4.07553316876446	5.18439405577324	3.95645592204793	4.64720414930557	4.83446988672425	4.36888250534236	4.83033789633718	4.62482811108912	4.00035621517305	4.21915667156881	4.62215083202899	5.11897054299302	4.76861247126624	5.01952605629032	5.10174587579235	3.64547913777435	4.3688503247683	4.82727361612032	3.53801379578362	4.36427224729254	4.75452510819349	4.21802763233469	4.28217511598361	3.99807777286708	3.70446794514833	4.91928792707136	3.19974384586952	3.35589141734029	4.63717824273206	4.17365463408628	4.19196667159449
TECR_32583	1.01665763298064	1.17821079284832	0.640275492489395	1.44277607045003	1.37629769634218	0.824600464863556	0	1.32092090483233	0	0.965466207938866	0.752604397308777	1.33584085902691	1.0015984171618	1.1965392504668	1.44070780624887	1.01145794304477	0.543235139095618	1.60776612735677	0.242487443454294	0.854451081232043	1.35340789342575	1.16548003615336	0.274687663194849	0.279746283824163	0.607218572769936	0.890854932259896	0.22292957634635	0.515696433893829	0.734186871793522	0.720137467750151	0.713601903549008
ACSM3_7976	11.5917741378191	11.3246350441128	11.3404221654939	11.680135968584	11.3931137802249	11.8519895890346	10.5565472775261	11.3694447938228	11.8172301848346	11.8790182945112	10.7862551124329	11.0375717479376	11.2703315739265	10.6741497691549	10.9049919357272	12.5065534685068	11.4227660144204	11.352742522825	12.296905683062	11.2900182433146	10.9360164198843	11.7400795098004	11.9851567009312	11.8301337308457	12.1456504989751	11.4585808773428	12.2205009620527	12.1399758657583	11.0312795840167	10.9065125898152	11.2195329918759
GP1BB_32425	0.596088932126379	0.706181100030131	1.08219402987627	1.95011656652638	0.484399355030741	0	1.22589572069811	0.378124325671943	0.874641839287121	0	0.89222741063321	0.521546325964316	1.38047865455456	0.718917135915547	0.965339017197076	0	1.37869367598936	1.18895296638044	1.06914110426763	0	0.530398932071891	0.500148829666127	0	1.04956585069429	0.335322896004644	1.43752032921411	0	0.28076876690518	0.528377713143998	0.517587462674905	0.512576327049415
ISOC1_8919	8.39277499522365	7.79042305135764	8.10771070719009	7.99296945732674	8.12053487032165	8.3194073984689	7.94665863042358	8.30484371073523	8.33985767847945	8.53944763970922	7.81119816332967	7.95122091547824	7.88704670780095	7.85818871695157	7.83581244863476	8.3736954232471	8.04140623641625	7.90890958453831	8.12896713765016	8.07404234799968	7.81767485670716	8.36179254019383	8.30290377660364	7.81539916361885	8.20764342283212	7.98427366664253	8.10965078512044	8.17972289543073	7.75610312746615	7.95082051332548	7.65004641676893
BUB1B_8164	1.34189429833505	0	0.640275492489395	1.10139661016701	1.37629769634218	1.72819634091543	1.22589572069811	1.32092090483233	0.502612103777465	1.94788429398852	0.752604397308777	1.06262779346511	1.26489905376517	1.44494427174216	1.22251475913933	0.746139216996242	1.24592750075557	0.32880710866087	1.06914110426763	1.38744050469526	0.917360753675315	1.29293373348293	1.72554649575652	0.715405024491026	1.20682997128291	0.714316719689646	1.41738607732127	0.515696433893829	0.914268198610214	0.897719560247663	0.713601903549008
PRDX3_32368	10.0450194760597	10.1470455207563	9.93868271099601	10.1717982140294	10.2884950354065	9.98770321229325	10.2919078087056	10.0300926781253	9.96940628281823	9.64183787050185	10.2084667116211	10.279135364685	10.255148183807	10.0799032039993	10.1596648070067	9.44765877186692	10.0896892819165	10.1098538610696	9.56329256775289	9.8879102506499	10.2589749335488	9.86364634924379	9.76404366460699	9.54691175744144	9.39658099934639	10.2700454726741	9.15307301742032	9.12323107958476	10.0357731110946	9.69551080492385	9.57575262749322
ABCB1B_7939	3.02902584183548	2.25968787243161	3.39185774029438	2.4809092828411	2.88441283713415	2.38977184911939	2.50754651279966	2.67665534316188	3.01528330128731	3.32920931208887	2.14540290374639	2.73582744933522	2.38109280223608	3.12950621270918	2.2077631582925	2.75639029438325	2.41785190345303	3.11756760540852	2.43101725914711	3.62210918808201	2.85211859121116	2.67506458545319	2.48905669113581	3.04882323116614	3.64535918150026	3.11910242478581	3.48454663142467	3.44396925608827	2.25084175340191	3.02160923336769	3.11748211058344
