ID	S5P1_H10	S5P1_F10	S5P1_G10	S5P1_A11	S5P1_E11	S5P1_B11	S5P1_C11	S5P1_D11	S5P1_G11	S5P1_H11	S5P1_F11	S5P1_A12	S5P1_D12	S5P1_B12	S5P1_E12	S5P1_C12	S5P1_G12	S5P1_H12	S5P1_F12	S5P2_D01	S5P2_H01	S5P2_E01	S5P2_F01	S5P2_G01	S5P2_D02	S5P2_G02	S5P2_E02	S5P2_F02	S5P2_A03	S5P2_C03	S5P2_H02	S5P2_B03	S5P2_F03	S5P2_G03	S5P2_D03	S5P2_E03
TUBB1_33036	0.293061251073147	0.86921721701622	0	0.814971968840538	0.879256460743997	1.35332460132455	1.48572404574942	0.66303045521745	0.674042319476219	0.68928922360718	1.38299495463281	0.558651263367668	0.505042758294822	0.58508383283427	1.11035262438106	0.951449897330334	0.750571743445043	0.626602467846411	0	0	1.94675586502886	1.17683662507945	1.32571243468357	0	1.98211508075513	0.9780425714193	0	0	0	0.492796736108965	0	0	0	0.987870305880063	0.841399360138212	0
SOD3_33241	2.57415521477043	2.70291091117054	3.10889806517113	2.53820831910672	2.43482622388859	2.50207772875319	2.20199568438172	2.77274113441696	2.9724498088754	2.9518447247395	2.78583061347755	1.9401102224814	2.37619428338074	2.5852658118733	2.43406494640611	2.67116588361963	1.89911291025926	1.89515675774282	2.27586030852677	1.92736482896487	1.27949115023096	2.59531755869872	2.00472887572721	1.9591145325147	1.30763794085562	0.9780425714193	1.77538464712211	2.19025307566082	1.83281492134507	2.22173200755112	1.04060510725466	2.21485081907833	1.9628819440101	2.30247132897184	1.75504214962613	1.63173331264405
PGAM1_9465	9.31734754257209	9.17977380254837	9.31525143236783	9.07363811367871	9.30195306847985	9.13191605201115	9.23838849463308	9.19609628745007	9.3452575449548	9.2973965095094	9.18634554692069	9.75926918312443	9.20695408147565	9.1951201991297	9.48213435587286	9.32709799401364	9.50337248497405	9.36326978827363	9.74274334517409	8.92487922774166	9.29717926132794	9.1117424493833	8.85647494185279	9.0486137523947	9.00474674241407	9.19661139628554	8.99404637819709	9.19784134018644	8.83055250493078	9.00572090151703	9.08276171198534	9.01288383387186	9.10772946366946	8.75869174737328	8.92001373234748	9.18373993044367
DNAJB6_8481	3.38680662644843	2.97982949782181	3.69357383407009	2.7699882893395	3.49607642256261	2.93815321564512	3.60923366725281	3.70675596347463	2.91665054082628	3.40540145942371	3.37580941023031	2.45745515428671	3.5470448158581	3.04471397292141	3.29400005085399	3.63682592814977	2.96801600846694	3.39488227035746	2.53694292841723	3.00162128105711	2.74634149778786	3.62611737367302	3.32760088856019	2.76053292593416	3.50175949720069	3.13065549306012	2.33308624928272	2.85534131782607	3.39467442952651	2.90971966531124	2.06048698348826	2.90212439219225	2.543660643069	3.67796617587665	3.59514816098416	3.29501377240294
P2RY12_32757	0.293061251073147	0	0.996285036031394	0.325487721956718	0.505599846328613	0.530356832279146	0.848202397537473	0.66303045521745	0	0.268030651385725	0.342572257490552	0.306199004113942	0	0.322000895379722	0.946496781724435	0.30270366497221	0.423556368269054	0.347056013928198	0.782858822223444	0	0	0	0	1.2893129408886	1.30763794085562	0.9780425714193	0.854206532447745	0	0	0.492796736108965	0	0	0	0.576887379913802	0.48118901235005	0
CEBPB_8280	6.75171146435869	7.09935035476119	7.3324565249803	6.54499713026377	6.99721883022406	7.19479416253594	7.04703718365721	7.30497144447182	7.00834734648275	6.98600567375943	7.40811483178198	6.68852430188318	7.03277616703552	6.59281723180444	6.96055463897099	6.8059443739415	6.98770480463908	6.62799285785162	6.06197132894994	6.97453065622624	6.31314311474068	6.61591638464582	6.44085726169877	6.58963880953642	6.34708238659272	6.9103044689546	6.63730935440715	6.92219926435862	7.3074223674488	6.94428489322703	6.67920795125584	7.13152940360472	6.47440551272696	7.11536335484484	7.0186500924609	6.88405908946971
SERPINA4_9811	12.4011325156154	12.3701908972413	12.6117881900259	12.447964282485	12.4327603171929	12.3606691822315	12.5171964218879	12.3809242310368	12.5201738890626	12.2945096392765	12.3587867789509	12.3771052809566	12.4236839404696	12.5803868740502	12.6416561151136	12.3769602835207	12.3633807674744	12.4382327157164	12.6269392729451	12.3085406950745	12.7866500281543	12.5470827412909	12.6159411977358	12.7025183293247	12.7860260045511	12.5113010218616	12.6626941204494	12.7316853922337	12.4605229204538	12.7089294638252	12.3966476974319	12.5282708366631	12.6901874223178	12.7321976370236	12.6708713627947	12.6790907360519
GCLM_8700	6.79916893793138	7.00964419523115	7.18900854817378	6.85360722702181	6.94902533781	6.67348788895703	6.73652160521763	7.0515363000282	6.8829251527587	6.59622599612797	7.25958079175434	7.08757479172252	7.1352689334789	6.87072557488538	6.44672631450062	6.89636409234166	6.98382064430962	6.92779338484255	7.0923441925628	5.90389536049913	5.89551759697843	6.23625344186234	6.13549491514925	6.45363245273524	5.37755345235146	6.38253300277741	5.96324478805375	6.12110279000018	6.63613284135124	6.14212927313052	6.67920795125584	6.22218862263161	6.70564965078753	6.15588569836654	6.13507073246718	6.41572155191459
MCCC1_32646	4.56979317918361	4.77891756731705	5.09431573603447	4.87508483015104	4.45849200196104	4.77794774493813	4.71193957737123	4.50972492317467	4.85749598130978	4.52666981987047	4.97973977932471	5.08176427180079	4.73167693287827	4.58531130304664	4.70232823161033	4.73768225420612	4.85702740204555	4.60814483592111	5.23830465327752	4.55021024022767	3.9331320276733	4.48759482362622	4.81343206301396	4.40719149803138	3.75921485505822	5.08631222961662	4.56177814880758	4.64708558338171	4.37618108811563	4.57298215238043	4.46870096216908	4.74959074730395	4.85886931576767	4.50026754642331	4.55863114460698	4.61512960003068
MX2_9268	4.45595667359643	3.44890862825672	4.40794756631329	4.86258860557077	3.13170474451835	3.84082487613713	3.45985190981107	3.47409282590617	3.78701986236476	4.56450554576656	4.6962960916004	1.5318512452774	3.41153533587329	2.70074769512062	3.68050866666901	4.78731396591205	4.95550885818307	4.04455641598317	2.34569225268046	4.03736374960483	3.9331320276733	2.86869180181276	0	3.80705056190141	3.75921485505822	3.13065549306012	3.52367924704959	3.65335013029757	3.11884869179473	1.15154083554019	4.66181094453079	3.75977610249595	4.47605303806929	4.64902627842188	3.54709541566464	4.34407768149775
AGXT2_32707	8.95505972462582	8.92311798776023	8.70567832114927	8.94915113264822	8.89643965074136	9.07600647883593	8.86774006346082	9.03375323472455	9.05183541093591	8.87451985907643	9.15209369099597	8.25299320963359	9.12213561378389	9.07316582447239	8.98587739744461	8.97286131079578	8.97328897451822	8.92776846003955	8.36966589187702	8.86541559829418	8.56174166746317	8.9072089689459	8.92067382937772	8.86420302204135	8.33042683816308	8.29573448489427	8.74250238065937	8.48492961438851	9.07535106822294	8.7891175386531	8.66109571920777	9.14869401746726	8.76097822657131	8.97850067184427	8.88902595075447	8.78985382626298
SENP6_9804	7.50851445252738	7.37075392019102	7.35601050737043	7.18751370722377	7.34695302305549	7.32641878528388	7.40645194776225	7.29428664178479	7.37472502050353	7.2291933971936	7.56336259607749	6.96186817667715	7.27652728504637	7.39696658714985	7.4131495746843	7.30695349533752	7.51202311705889	7.28557387819675	6.82532459195313	7.31653763921572	7.73945982517248	7.56117305857222	7.04517290049043	7.4808007493705	7.55176938822075	7.44784852624673	7.53270847562294	7.595803423402	7.4591814287325	7.42977171674233	7.35572022288334	7.41080114467863	7.45041922782056	7.56448002566376	7.47223235499721	7.34155657673986
MFAP4_32762	4.78544630774197	4.56045132775824	5.61720252879366	5.06157155790459	4.5518035167209	5.00450347788112	4.7229108288509	4.99641013905619	4.98505270704892	4.77278420648665	5.48176743225671	4.11393052173896	4.81996200934597	5.63698127128494	4.2540007665969	4.64649334060043	4.75132764637267	5.90071894352215	4.38783494185825	3.43464070080395	5.92970587074999	4.84487330844073	4.25389825820699	4.50218702763158	4.48495720887362	4.60139845394734	4.83106569013817	5.12336102731466	5.02147372133587	4.47072201126062	5.24785763997419	3.92263919468395	4.92917846173417	5.08487419285208	4.10698802163607	4.01003915121058
CTNNAL1_8399	4.45595667359643	4.86328588516118	5.21515267627136	4.81149234775606	4.84303375465745	4.78958229520285	4.78704192754364	4.85815249329348	4.68452687055469	4.51383414715959	4.90427513483726	5.16968368681363	5.03811004823776	4.60026180083719	4.45033460751162	4.77506519023168	4.80514532579771	4.22323373654536	5.17257265991353	4.4612001985756	3.9331320276733	4.90681929072165	4.88873161091213	5.26854757831341	4.74517210923299	5.16641323302086	4.29120402741588	5.00825983935846	4.69438189652798	4.9220192795693	4.39812563055389	5.14567077867441	4.81001777527815	4.3691246696802	4.58266623052925	4.458677834712
POLD4_9519	1.88863540436744	2.28030320578385	1.73176196195888	2.10102602860576	1.63160145381053	1.2220991936607	1.76586110072299	1.65037499829965	1.47851205963296	1.15379093309265	1.98118385752625	1.84835907281754	2.18995294600584	2.17020809383475	1.82772353502042	1.51985904204594	1.24179072365978	1.99696220299778	1.76629392247441	1.26411546228809	1.27949115023096	2.59531755869872	2.81275808790141	1.2893129408886	2.229095112752	2.28663398827144	0	1.87691629177279	0.450004945335529	1.94492991120619	2.06048698348826	2.08325818560338	1.29231044205998	0.576887379913802	1.75504214962613	1.97760641087686
MYH7_33103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.797162133114356	0	0	0	0	0	0	0	0	0	0	0
HEATR1_8791	4.78544630774197	4.67381577508679	4.94699737589417	4.39190181158519	4.9931736358332	4.77794774493813	5.07083788425578	4.79891303320025	4.81234143657872	4.74009286109121	4.96743328870858	4.66413678832922	5.10991351384604	4.5081426093654	5.09368462812758	5.06393760480501	5.0176162027518	4.98785519032115	4.42056403950838	4.85976989097274	5.63040942848859	4.84487330844073	5.02847605292849	5.21346034913655	4.78431903618938	4.91139104347841	4.70269583319896	5.64394307946264	5.03764181883799	5.05165217788741	5.07766166622732	4.38062513435481	4.73349149589417	4.67702213810825	4.90208492784341	4.31394653057466
MIS18A_32385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2B3_32867	12.2108065696929	12.2575495112564	12.2999525278161	12.1973830344387	11.9691972734138	12.1986480169071	11.9564752753006	12.0532926894899	12.114451466209	12.5930079446858	12.246775938	12.0296755836911	12.2707925221016	12.4612676903993	12.3349972930748	12.2934111601674	12.1288374271596	12.3703462895622	12.3283920260882	12.4726637885643	12.2645247386844	12.2535040053065	11.97963878639	12.0343566522626	12.3427038175287	12.1603264505196	12.4556828895774	12.2846814330099	12.2088321253663	12.2200752913423	12.398343673693	12.4043965352443	12.5349124335869	12.6087503866183	12.353676719909	12.2148162778675
HEXA_8797	8.14464377277745	8.13566641033146	8.0241753287561	8.41533338905769	7.97841613893556	8.05416842297023	8.07192295775087	7.90221695169344	8.1476243916635	8.08489302331306	8.19938192664009	7.61868413812277	7.9474354098737	7.99895297252439	8.07371699410246	7.94188699185756	7.67746700960979	8.14893861039731	7.62018942520744	8.19955459553221	8.67188430499033	8.11434785015844	8.22544914905974	8.19333558960889	8.63348195563886	8.15557097883956	8.4708651784952	8.29337190738835	8.30953468614219	8.35736546449135	7.99266458532109	8.22138124792442	8.43827485986622	8.38297789495904	8.25662431979032	8.05460418585039
