ID	S3P1_G01	S3P1_F01	S3P1_E01	S3P1_D01	S3P1_D02	S3P1_E02	S3P1_H01	S3P1_F02	S3P1_H02	S3P1_G02	S3P1_A03	S3P1_B03	S3P1_D03	S3P1_F03	S3P1_C03	S3P1_E03	S3P1_A04	S3P1_B04	S3P1_H03	S3P1_G03	S3P1_E04	S3P1_D04	S3P1_F04	S3P1_C04	S3P1_H04	S3P1_A05	S3P1_G04	S3P1_B05	S3P1_C05	S3P1_D05	S3P1_E05
STAT1_32366	7.70165347785972	7.32527176083376	6.83836801727094	6.41172103590204	6.8968488882645	7.41261838612994	5.75999207496695	6.97694306741581	6.99398744480266	7.92767739170165	7.09965844707521	6.01236268880593	7.122987703736	7.50242999080719	7.07858005512063	7.14554562977595	6.91492901656376	7.11290122891995	7.39592014706289	7.77915872897932	7.73129079046186	6.85943109801501	7.6278560872106	6.79682711824239	7.85444944983494	7.29499172336273	8.11070222622153	7.39830493170442	6.41649428257047	7.46760188837171	8.00680732847703
IRAK3_8912	0.657264373671131	0	0	0.667550095646961	0.522908454822464	0	0.494840171980057	0.5355896444873	0	0.686391906607304	0.35056474503344	0.455903991437015	0.387604315717651	0.777498748075818	0	0	0	0.661260589608342	0	0	0	1.05721287193865	0	0	0.509139134717721	0.615374699401845	0.351593141429404	0	1.05817920930142	0.227994589258352	0.282610895048194
PKIB_33180	0	0	0.50444191358684	0.372045749993713	0.285016856509466	0.292712511882834	0.494840171980057	0.5355896444873	0.466236850875022	0.383637299911705	0	0.801807628377629	0	0.777498748075818	0	0	0.409107760042618	0.255586884359318	0.39408486376358	0.576649035524214	0.486004102692849	0.238971779965629	0.281046072520159	0.868181704622332	0.276913905530885	0.615374699401845	0	0.483221583351322	0.624008147090513	0	0.518825651583637
AMER1_32424	0.657264373671131	0	0.877468630524761	0.912695910251567	0	0	0.86261346892409	0.925292284224239	0	0	0.35056474503344	0.801807628377629	0.387604315717651	0	0	0	0.219006983862087	0.255586884359318	0	0	0.263371177959633	0.443927527600626	0	0	0	0.235504799399184	0	0	0.444420356398668	0.227994589258352	0
FGFR2_8637	4.05149493632449	3.59247458647056	4.1147339225216	3.86121973382789	4.19026208189568	3.94450593017208	4.27890721868301	4.1029302728986	4.10549391198407	3.7860035357707	3.98670411319112	3.88271681574949	4.19063669301551	3.71596570291879	3.9916121394305	4.16291326414014	4.0219852660093	3.72363949762412	4.03486165889685	4.33370035213477	3.76740580786256	3.68817846344885	3.70534024513567	3.78587414158252	4.07639034314295	3.74548503793535	4.06438503513681	4.52865393568958	4.26444242250268	3.62053738759553	3.89231637671956
IGSF6_8886	0.657264373671131	1.25267653738022	0.877468630524761	1.12217358763111	0.285016856509466	0.535935911066009	1.60683218426484	0.5355896444873	0.652832334147602	0.686391906607304	1.07055324600481	0.639197897698986	0.692818565848998	1.27995427362373	0.835594173410019	0.435467009825195	0.219006983862087	0.255586884359318	0.957785938235564	0.576649035524214	0.678829531875484	1.05721287193865	0.895537140335249	0.498435144471264	0.709115087375727	1.16429087952105	0.870192383190861	0.844565069174946	1.05817920930142	0.424827063163991	0.721751261383887
MRPL19_9246	6.50820574010318	6.46701939883649	5.95679724186292	6.47987738318347	6.57530300937241	6.60399477591332	6.24559316504972	6.53107363179831	6.62445649208884	6.94790012887915	6.40289497824997	6.36764050069918	6.49798869912782	6.29436286946516	6.35425754148007	6.5165442574644	6.53608421834765	6.75733229335159	6.49013407480823	6.5065694920948	6.75153496707104	6.05300067211096	6.60835007998474	6.71701570230206	6.61965016030106	6.56683865549262	7.06329832879536	7.02354486399218	6.73991824658994	7.18993624490577	6.65164518999151
GALNT11_32432	5.69443061539742	5.44367455379046	6.37574497808408	7.22178134260667	5.90101627125203	5.42841064552318	6.93689578781855	5.98323361364262	5.53601082682343	5.53572361356767	5.78625006703591	6.87891645043257	5.86613586981355	5.88761657384595	5.65618994760088	5.76969177507677	5.34594930430383	6.09288368566016	5.5308100455111	5.71685438846578	5.99294258438993	6.1981170462075	5.88436373479936	5.94635712023624	5.40129149838615	5.95826084561471	5.92802077941725	5.58936219217076	6.41953766328444	6.68704178713574	5.72022987467232
MFAP4_32762	5.20083145369533	4.6151881686148	4.45475000819233	4.28789790033462	3.86218544100513	3.92327245874631	3.77442902935568	2.95289582827651	3.91796115504013	4.31374424106322	4.01152077002396	3.88271681574949	4.06343220671008	3.67622007932109	4.28080112437566	3.53237379160502	3.32427334918156	3.54351701774173	4.11550474683311	3.97649517952116	3.92788610109667	3.70820206316089	3.68135454948478	3.41926787441999	3.45222860884152	3.87317663001991	3.68556589292912	3.37152385277151	2.55344855616319	1.96735249605506	4.07011277086021
USP18_10138	2.87734820101352	3.26943608082751	2.68738960912394	2.51272930462419	1.06496732716474	3.03529289141722	1.60683218426484	1.88643575727505	1.33685745840039	3.05503006384614	1.79723585474538	1.84859551602976	2.13435614035431	3.54995817537864	2.93904428319882	1.04057376056467	0.577050753275889	2.16632441019902	3.19642324062586	3.29937085668259	3.61066327448704	2.63793164635314	3.55505286300697	1.16223665622082	4.34025121383304	2.23991453128243	3.74616220331093	1.48046027985802	2.68066399114184	1.5277027777986	2.81947175959644
