ID	S3P3_A06	S3P3_G05	S3P3_H05	S3P3_F05	S3P3_E06	S3P3_C06	S3P3_D06	S3P3_B06	S3P3_A07	S3P3_F06	S3P3_G06	S3P3_H06	S3P3_D07	S3P3_C07	S3P3_E07	S3P3_B07	S3P3_F07	S3P3_H07	S3P3_G07	S3P3_A08	S3P3_E08	S3P3_B08	S3P3_C08	S3P3_D08	S3P3_G08	S3P3_H08	S3P3_F08	S3P3_A09	S3P3_C09	S3P3_E09	S3P3_D09	S3P3_B09	S3P3_H09	S3P3_A10	S3P3_G09	S3P3_F09
TP53BP2_10064	7.15194713846098	6.98052444714832	7.21034451009762	7.13641264077517	7.02557425519158	7.08884045756757	7.18151889700346	7.07271115295175	7.23737617154637	7.01050161352024	7.13519425775285	7.15813882419204	7.09539944772812	7.04325567085857	6.95235078277825	7.20121104655795	7.0334455453673	7.03479583894985	7.21985116666454	7.06940348096621	7.10203743742336	7.07203599192726	7.24956050648596	7.18588323916703	7.07481877569731	7.12502830410348	6.96486638980064	7.09555925149357	7.14238110780989	7.06363324962127	6.93920582631327	7.1393718525192	7.1515371879518	7.36499923121561	7.11962197341024	6.9652381561522
MEX3B_33306	0	0	0	0	0	0.314890035143363	0	0.562866817490076	0	0.342791183122489	0.386737564100427	0.921342119503694	0.715762705532781	0	0.316368874115304	0	0	0.581745767778643	0	0	0	0	0	0.264710689827331	0	0	0.272109234092547	0.228793956365561	0.313958717754168	0	0	0.325539352091676	0	0	0.339138738891461	0.332639487007449
MYL2_32406	0	1.17657760860839	0.679145592160228	0.280461158986875	0.849102272844486	0.573213253730874	0.949780856913107	0.778883527373229	0.570549022293502	0.851697856946363	0.691415342675094	0.921342119503694	0.715762705532781	0.840053049597514	1.1544295169936	0.755602806301672	0.719644637850803	0.319998915919741	0.728253175662268	0.963095673194678	0.297281800173372	0.507890977132823	0.28769599957561	1.2688928984018	0	0.651058461846171	0	0.754818795198845	0	0.570905396695576	1.03258704660469	0.815082291885495	1.14184804211505	0.63125059019549	0.339138738891461	1.35382660108753
TMEM109_10038	4.69276730772828	4.45434880665665	4.87065995659105	4.89501806452979	4.73574684801171	4.82368240178467	4.91225948893326	5.02215967231573	5.27935659743533	4.69729163728113	4.90201319825362	4.78232106065461	4.59243579784747	5.10635847679506	4.78035197340681	4.93538837551614	4.91192814079008	5.01299457974544	4.69777474322085	4.795744966463	4.77162695767543	4.42395073394906	5.23398075893702	4.75381675543107	4.92431751945969	4.71612287067354	4.4434211292989	4.86711586799228	4.7555930954102	4.46710433063784	4.77354121530243	4.58707018100985	4.98955656726633	5.01291290623798	4.69544332424267	4.83225289718943
CYP2D3_8420	0.582307349943548	1.46704932726656	1.38027315118421	2.00150067217055	2.16112830986467	1.56136753517543	2.24071637363116	1.65416402549043	1.9673647824502	1.38363349191788	2.02656459224936	1.88034423882366	2.61795900951313	0.337279490164109	1.3051857518727	1.90817788781486	2.37963379697911	2.45152316074049	2.39728495101103	1.62708138940544	1.99086440261167	1.30853260918953	2.03197728024629	1.68497405823084	1.51526724139471	2.144672669339	1.41173870053226	1.76806518860015	2.42654756168467	2.60816647511912	1.30098177698605	2.47414813347014	1.93186523398909	2.43062156883103	2.87971135140808	3.00027260896616
LOC100911740_32571	1.57964730358791	2.46921844793192	2.00214657562663	1.92203790455043	0.849102272844486	1.15028942560293	2.55846136021325	1.65416402549043	0.788796718800065	1.22714904465855	1.15687160120555	2.1939310730718	1.83568359755443	1.86144720962104	1.68110429743947	1.90817788781486	1.19758406162208	1.8004531190431	1.98362081487004	0.815239988852876	0	1.90411976014349	0.28769599957561	1.77262099652478	2.54402686381977	2.37360525983784	0.872070739868139	2.03329555014572	1.96988509141785	2.28795806097827	1.97376923695281	1.71290190183973	1.77115457835827	1.54654866488166	1.86790115651989	1.84525017588336
CHIC2_8307	1.31714529953819	1.00598872520644	0.679145592160228	0.716990188143344	0.849102272844486	0.573213253730874	0.551678048957219	0.562866817490076	0	0.851697856946363	0.386737564100427	0.921342119503694	1.54944923160394	1.50772052832835	0.986061574902093	0	1.38788133447468	0.995172206988062	0.989101231007117	1.09719697154127	0.297281800173372	0.70748496803368	0.28769599957561	0.681840808861159	0.801909485233325	0.96386849253749	1.02705501221102	0.894739818182556	0.571655643025928	0.313510279177933	1.41851536614391	1.17993403629222	0.85153787091909	0.349878776081632	0.339138738891461	0.332639487007449
SCNN1G_33158	2.45290568626314	3.05490326474283	2.07256995040963	2.85257997189983	2.32391714483706	2.87614122972686	2.00993205225268	2.46817040168478	3.98141456097469	2.66996931132959	1.91337829518132	1.88034423882366	3.65103129711437	2.76430023579131	2.36968247379673	2.75192228096587	2.46661001751905	2.84964710121441	2.71838840004298	3.25480517910441	2.28985178428059	2.19747056891945	3.1610514118931	2.7740929277744	1.84876807324161	2.144672669339	2.93400776624371	2.49571627732186	2.87203412773278	1.87578214889296	2.63887237404809	2.10122206404421	1.93186523398909	2.3552426992282	2.2357321508807	2.21114104253221
NOSIP_9346	3.45217875710442	3.09801446455633	3.29535142202521	3.41362629488758	3.03780686659248	3.49114851913307	3.39899154921762	3.39835499313076	4.046389410458	3.51854837733837	3.16884592627039	2.97325341302365	2.7615323420996	3.59235220433533	3.36699603943521	3.24633029403691	2.83680788012705	3.45064176115931	3.20287219725971	2.52292017660439	2.88891962652142	3.10357469837022	3.83201460804341	2.97222090595872	2.44901788532392	3.16743471330385	2.89428085689156	3.09788313014296	3.71761664198702	2.91717382076273	2.86277586276837	2.71565671743277	2.85484965035734	3.02428278231194	3.39780881193679	2.79996815882586
GLRX_8715	4.59226263776256	4.43766369937286	4.20433988817426	4.13116932407228	4.64624272084854	3.7743838892952	4.54583876541327	4.10642013719378	4.84046581458493	4.00176965797334	4.62482493826994	4.21564502567123	4.79517653657991	4.67206292115742	4.52777920383557	4.40539442914999	4.562985556386	4.87330017491492	4.66080226940204	4.93659282808856	4.68444366184705	4.94246202609017	4.59528719715463	4.95456254651486	4.95921315046939	4.55044399772044	5.01539832430856	4.71494178033589	4.76851901693025	4.64558913840127	5.03513800925154	4.67547073917126	4.68571696846109	4.96300650921782	4.80890607196186	4.47663123251728
