ID	S1P1_F06	S1P1_A07	S1P1_H06	S1P1_G06	S1P1_E07	S1P1_D07	S1P1_C07	S1P1_B07	S1P1_F07	S1P1_H07	S1P1_G07	S1P1_A08	S1P1_D08	S1P1_B08	S1P1_E08	S1P1_C08	S1P1_F08	S1P1_G08	S1P1_A09	S1P1_H08	S1P1_D09	S1P1_B09	S1P1_E09	S1P1_C09	S1P1_G09	S1P1_A10	S1P1_F09	S1P1_H09	S1P1_B10	S1P1_D10	S1P1_E10	S1P1_C10	S1P1_F10	S1P1_A11	S1P1_G10	S1P1_H10
CTSS_8404	6.6084511618828	8.56782065711202	6.88444071023367	7.21975000094063	7.37495691148989	7.61108748863454	7.28392995515126	7.07800866338406	7.56303262045328	8.09851086592943	8.26342627928036	7.38079959457744	7.8620733572579	8.10274957295367	7.11963684349683	8.44729051299991	7.90684079280873	7.75427358409389	7.28178437754814	7.93786226318144	7.92852353108706	7.80701240723328	7.87537759386937	7.59724077762335	7.55181198049454	7.67446527687062	7.8239824137299	7.4181840395621	7.4053406969315	7.60764839095326	7.14072548314302	7.26541510413994	7.85273070110095	7.46680412271421	7.81382640321725	7.35151791522463
JAK1_8934	8.93423710442435	8.05853470747134	9.03235357557426	9.19623841705013	9.10043210610222	9.0540850501861	9.14827730054787	9.22899751665286	8.86913513266276	8.89193857106039	8.89620544927364	8.75281760012902	8.68336584061492	8.74866195161044	9.09588196345498	8.79576992389462	9.09841961531039	8.81649454943982	9.32949316305667	9.10764892397834	8.41225743264224	9.34691815403083	9.02795190170838	9.10908187574957	8.78885547176779	8.78905573321396	8.73969236563981	9.24603441631937	8.8523751287874	8.76910299050264	8.86701833547917	9.1030563918912	8.42488785466386	8.24341701599057	8.6636585424784	8.33513867959429
HTRA1_8856	6.20353696070099	7.75029223408779	5.75635780663084	6.25415571680382	6.26810476300761	6.60861113128263	6.56878021254795	5.97716599682893	6.89270639694196	7.25401420589943	7.39831896203097	7.47149384635012	7.61674496585778	7.29932538227017	6.14912873661481	7.46826969131003	6.60814971074339	7.6087956449896	5.71524625834145	7.26075900516125	7.22489530536999	6.39523822801202	7.18175454709676	6.37127647055789	7.05354173101872	7.02829564693683	7.410514105576	6.27567133145526	6.00212895396292	7.3101271800289	5.94333612616967	6.75154455313183	6.42228376976492	6.40841241357842	6.18961140972391	6.86487620825021
FABP7_8592	8.30468384018348	9.86077234644076	8.19187634510154	8.08904865659661	8.6516562864315	8.49441729812266	8.23363986755668	8.20535374622109	8.96426693131607	9.18172661021559	9.33209691886649	9.65379564139688	9.52709459675027	9.06291092310857	9.08783869260029	9.84664477038769	8.89694022718193	9.48587123871892	9.48209736338555	9.53295314401858	9.54880587073226	9.16177643130452	9.80314944404328	9.74137922772449	8.95549361223917	9.83649519810733	9.25728946817126	9.21848417308719	9.53419517007367	9.73655264232221	10.0828264436489	9.94708576645283	9.31759361715739	9.54049936812654	9.60682339651643	9.03921179958812
P2RY10_32285	1.64272216941289	1.83689370968669	1.55400729135753	1.95834572583357	1.48489184684127	1.78577961814465	2.04648189467154	1.53496145899362	1.36038088953328	1.74349253977476	1.98133289087865	1.20014652404868	1.31324223299219	1.71664556299186	1.73989972950087	1.72834702235654	1.98820236802367	1.7555503106447	0	2.16429298907276	1.70612468619347	1.36803251907002	1.73904655616543	1.27394316698097	0.976025418612579	1.73724046657562	2.13180281243796	1.26342701109669	1.15132899017704	1.11933309378057	1.23899337852638	1.79716374693206	1.63762612940241	2.18170606727417	1.67471596574385	1.9840705049849
SERPINF2_9814	6.14524240261563	7.30741702608348	5.63793379120766	6.19286541175284	6.02787590748737	6.01456135069534	6.09114166035351	5.54062760984856	6.49743968591218	6.98652142350648	7.97937491697713	7.82244391058497	8.01897301932169	7.36082911571469	8.72744264596164	7.64726664844995	8.95781159586875	8.35581795504011	9.38614918767393	7.90417695219242	7.15789395216854	9.44509107207948	7.44957870830546	9.65814890584205	7.41952902878168	8.65681654911834	8.03762884516148	9.6264540096385	9.34578212709781	8.62123084410982	9.73625237843368	9.03915598153056	8.70485086100703	7.37961059367679	7.34770443362404	8.35540457812961
PRC1_9556	1.51461541121944	0.716420330921528	2.34092221013418	1.28870144456873	2.94145538429782	2.04113667745764	3.52750292622738	3.55510924141923	1.03211474826608	1.59117930806996	1.98133289087865	1.44899258436827	0.580143479361738	1.18294408694842	1.63510779439193	0.598466752786034	2.59019322201276	1.7555503106447	2.70526142564748	1.66745706158736	1.00410805603456	1.36803251907002	0	0.558501479460013	2.07842630370753	2.31259153345941	2.04350000511173	1.08441983638291	1.78340143926497	0.665604356894133	1.01453625424459	1.16200476142176	2.00593079768343	1.27187921208247	2.21855642416061	1.38537892470495
TRAPPC3_10075	1.86915312679949	3.09700824425258	1.73273779174605	1.95834572583357	2.49208442676095	2.25802015818895	1.43712324452847	1.81983540891712	2.63809667721246	3.3776501572362	3.54702928451417	3.33391175757043	3.6870551028041	3.30637504295546	2.3156251166672	3.59135523590559	3.37278454472045	3.34577905237436	3.79536253067855	3.34219574735324	2.46614781475125	3.59314842391415	2.6905671250463	3.13753442347422	3.50017495406364	3.68966138452759	3.22133858550418	3.90751871275574	3.93046751681916	3.20277136663026	2.96378653859612	3.98660926230796	3.23972446304267	3.054776978564	3.28839691888743	3.52113073900217
TM9SF2_10032	8.88488949841889	7.96787205395346	9.03288698557248	9.16683803020182	9.29654390629861	9.09046756462023	8.99091804501568	9.15087508290713	8.92215437189965	8.70045463405563	8.13879387494081	8.24482904794195	8.14036363641378	8.5701829468422	8.49362475517735	8.1654110595188	8.50392769484437	6.64581870485161	8.45414087853902	8.82496849657386	8.51696714923099	8.81902051443964	8.81353690745811	8.71453009155461	8.68081577079814	8.64256373914228	8.53227425095671	8.90190051036594	8.15134496933756	8.53379562978088	8.33717618657563	8.52224085500869	7.29140316458038	8.37014091226137	9.31148068764319	8.09821120130069
FAM183B_33213	0	0	0	0	0	0	0	0	0	0	0.452671492100968	0.518578797421721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F11R_8586	9.67346412407554	8.78949512357212	9.56033568914357	9.86474980289319	9.29300194222484	9.44252963491086	9.73721144585882	9.83979511732839	9.22895705989294	8.67462824092481	8.61897554764531	8.46035432318472	8.49035349600616	8.65991684223068	8.4547017887885	8.50661378385612	8.35498354229467	8.50078508094937	7.79357348615031	8.62315402126917	8.98689869027437	7.55135922788959	8.70590698591093	7.36460708194165	8.69210361882575	8.11673520528317	8.74670067306286	7.21012179176786	7.69329915651727	8.23012495236572	6.56259698484217	8.1329676843744	8.07718847883891	8.29198080454667	8.86816038964995	8.38121541950037
HOXA5_8822	0	0.402231037258576	0.660741398034012	0.365822541387428	0	1.22360702771648	0.650091716333261	0	0.606451566710451	0.740698892357752	1.07431117559244	0.899242697726901	0.801156075691041	0.592788041830899	0.767261430934459	1.02020926988578	0.75256879116098	0.747614729157609	0	1.06230892108692	0	0.962519333524417	0.474763933359494	1.27394316698097	0.717817907617049	0.302637065025344	0.333656942163283	0	0.492685259349763	1.11933309378057	0.422323934306453	0.694961109446645	0.92974802106143	0.305437301506401	0	0.620556894395465
