ID	S3P3_D01	S3P3_E01	S3P3_G01	S3P3_F01	S3P3_D02	S3P3_F02	S3P3_H01	S3P3_E02	S3P3_B03	S3P3_H02	S3P3_A03	S3P3_G02	S3P3_F03	S3P3_C03	S3P3_E03	S3P3_D03	S3P3_B04	S3P3_G03	S3P3_A04	S3P3_H03	S3P3_D04	S3P3_F04	S3P3_E04	S3P3_C04	S3P3_B05	S3P3_H04	S3P3_A05	S3P3_G04	S3P3_D05	S3P3_E05	S3P3_C05
PRKCH_9568	2.44369095889074	3.31245934878283	2.32304250075531	2.86463522474849	2.87142805878396	3.32622981550341	3.07686949361902	3.17389470644877	3.31446748294051	3.01950072926885	3.31720361543141	3.06552766569884	3.48572235565364	3.18389962378501	2.22338491653782	2.84405055292212	3.0455942192089	2.99702893337775	3.0664055657368	3.7385927078263	2.8899091802195	3.38975892934039	3.46444442391755	2.84919765649496	3.2144770307514	3.28004213203528	3.6231173050004	3.45810385712697	3.11046593602763	3.24193367989883	3.32044761298281
STX1A_9966	2.44369095889074	2.22618350496383	3.46069792226788	1.94715893566137	2.67134046169954	2.95835946584203	2.96679908296462	2.44843089925562	2.43022937594487	1.94243855525829	2.74927945524453	2.34919869662731	2.27078619338525	2.53954315679556	2.57200621406049	2.3864380080556	2.24077181027012	2.56421822483871	2.40685086064792	2.59458555138548	2.25456520967446	2.6256610083158	2.18362145518363	2.41288731222147	2.3620863254221	2.66610456886378	2.50126942554027	2.49299578142574	2.26852642939514	2.46609045296685	2.61753268948955
SMC3_9899	8.12622917181375	8.11058963033059	8.17131304028772	7.97595939763879	8.1675003755473	8.27914164299766	8.25422840037145	7.95928971649969	8.20431275748392	8.18684371962404	8.20743188777275	8.14762928474924	8.08745460699638	8.0234127347712	8.19237160871155	8.15384257437746	8.02395305165773	8.03187428072833	8.14705925153457	8.07219286473228	8.19819846909282	7.97998228114814	8.07716534417184	8.12970399494198	8.26695248771521	8.21178360907487	8.17454494686331	8.4245014968213	8.12989226631148	8.12320536435484	8.42940951261951
RRM1_32657	7.03453834330023	6.87866572243647	7.22055204968671	7.11547175768772	7.21454032166057	7.3501548078047	7.16549117501433	7.10713749742831	7.21001867597576	7.16523691011862	7.14777255863814	7.11910060851606	7.22468583767979	7.06050810241105	6.72343989954475	7.17116156222715	6.93320989353709	7.09309998644733	7.05043192804558	7.1637440211736	7.06768424562859	7.12025546449445	7.18265034053248	6.77245080041275	7.44572665515087	7.00606202000299	7.39178534802924	6.56321554625317	7.54061556578237	7.01002997714136	7.89447796007871
TRAK2_10073	8.91918091861634	9.11892873782671	9.03756383362393	9.06212091152924	8.99587443226383	9.14304223220669	9.05578124519308	9.14883227311186	8.91950308220357	9.15498255172207	9.05574278557333	9.02546427391548	9.07914184854538	8.9375206872454	9.18239512997017	9.08545337327934	8.85391319711736	9.15620100634329	9.0755034463475	8.96716673958427	9.02031244019222	9.04637609015642	9.00820712823313	9.1198295740766	9.05381570956828	9.00041159996479	8.96717495923115	8.75985074192179	8.99699581333946	9.02686323890218	9.03551276349619
CYP4A2_8425	8.47124167973819	8.22903860790795	8.46491330223818	8.54694232792539	8.58445233946946	8.49009177510125	8.25129676793724	8.79778745750047	8.73344883322545	8.6886123285027	8.44395722980044	8.11603347336496	8.43536869240288	8.73986401414716	8.04936998143538	8.57337368543912	8.94743920914983	8.83523176075355	8.45696934533696	8.54191523322087	8.68764232476747	8.54608894445946	8.40495279118252	8.44360499687765	8.30612957288838	8.64761887339707	8.68695340442347	9.02638078038223	8.78919561402456	8.70712145717226	8.55377012357317
TNNT1_33317	1.6871319048646	1.03641707566598	0	2.47763340795519	1.17860523361527	1.52668042402912	0	1.87771787035636	1.23309348513453	1.47364005463521	1.79921941082038	1.39953460688045	1.64407685676763	1.34510995702545	1.62024808701917	1.30086339176491	1.65875830039852	1.84257541819319	1.3430330986209	1.59266606940953	1.32697552699261	2.15308550901117	1.83138238177004	0.809201890723936	1.25119048049434	0.992920234567802	1.87338213032234	1.43594293178629	1.22429197035335	0.988260927455016	1.54911395226588
KYNU_8979	4.76542206658398	4.68378026115658	4.70177904384981	4.8574939497802	4.31858257698054	4.4139453001435	4.33730833528327	4.3341643387427	4.09082139106768	4.69382379575516	4.49567553431041	4.69944118886011	4.73975544987466	4.380859685367	4.34388748752856	4.39264431799984	4.44559026837222	4.84174762968016	4.43253651430008	4.73902663753024	4.46745334485736	4.84788310020259	4.64461528826733	4.9140559790572	4.35913345628503	4.85419044673915	4.42110695768064	5.39005358624108	3.84439326607607	4.4629130646406	3.95929003232448
MCPT1L1_32989	0.530102504045759	0.609342402251021	0	0.651893283217405	0	0	0	1.47679047653097	0	0.438764931249093	2.42981842560604	0.49522560907326	1.18604841615751	1.10793668018243	0.968908773085906	0.217404841671321	0	0	3.21706648678695	0.588819426909113	0	0	0	1.7844143280338	0	0	0.916834588418333	0	1.22429197035335	0	0.279817748339952
THRSP_33314	2.93743420248906	2.96944115395251	2.00104478071485	4.18085313038002	3.34496238311689	4.5123638097707	4.50421534587037	3.17389470644877	2.60054181689419	2.66258192986112	4.61280248959946	1.15615290229963	6.31161462173218	2.71902930292663	5.12212200636189	2.14255937760384	3.11255478645088	2.74206947419055	10.9190049554362	2.65355596662366	4.00787887153784	2.57438834700714	2.74589251061851	3.61866474282721	3.86854649350214	3.47250543671901	4.64242119311053	4.11477740645668	3.97273707166064	3.41158403259491	4.90186143489296
