ID	S3P3_D10	S3P3_E10	S3P3_C10	S3P3_B10	S3P3_A11	S3P3_F10	S3P3_G10	S3P3_H10	S3P3_D11	S3P3_B11	S3P3_E11	S3P3_C11	S3P3_G11	S3P3_A12	S3P3_F11	S3P3_H11	S3P3_D12	S3P3_E12	S3P3_C12	S3P3_B12	S3P3_F12	S3P3_H12	S3P3_G12	S3P4_D01	S3P4_G01	S3P4_H01	S3P4_E01	S3P4_F01	S3P4_G02	S3P4_F02	S3P4_D02	S3P4_E02	S3P4_A03	S3P4_C03	S3P4_B03	S3P4_H02
PIK3C2A_9479	7.23164700366379	6.94118856229653	7.13289118680464	7.04984497145809	6.91250900353741	7.05945305296791	7.03570570113774	7.00974782387806	7.30641410371053	7.2633955659368	6.78518821912184	7.13551948585101	7.31208515065458	7.19908307057369	7.00434370062176	7.12841277605036	7.02715993223812	6.91759979979706	7.16275011426263	7.13378761002366	6.80485014794471	6.80116842758057	6.95735890140975	7.09730635838774	7.31921402874912	7.54041592284927	6.93314358038781	7.48295194411934	7.30135662958192	7.31962504285438	6.98100066391852	7.15427502392468	7.00327794301583	7.21985633382227	7.15828340596738	7.3711055139749
PANK1_9421	10.4941664740635	10.5226990279505	10.4131041405872	10.4440353086609	10.4272109741447	10.4070343885098	10.4984964381171	10.4660809527757	10.3480617255461	10.5334152662455	10.461011545513	10.4120452155259	10.4409123463443	10.4938131349027	10.4114208815594	10.4431873882409	10.6202856949429	10.6304223770462	10.5772964368825	10.4713223353826	10.4538190142588	10.4570896797988	10.492091822667	10.6342681643654	10.4387093063577	10.2799028579271	10.638961360115	10.3590798581053	10.4344248229659	10.5260846913907	10.4907504300467	10.4268383802908	10.4288422107349	10.4654442691537	10.5269752513718	10.5246678169544
SQLE_9935	7.43886690157004	7.3928879992669	7.29393429885847	7.31562194768189	7.37920205172036	7.61165966928873	7.11335043217152	7.39738269420369	7.60607552186761	7.47881289808632	7.48984060265623	7.64185854952539	7.78729674751051	7.60467096043685	7.88023606012845	7.56219307419007	7.39026386651282	7.50304157324784	7.72411209217076	7.39478625814421	7.3310366570504	7.39175966185466	7.31622198856517	7.59379038386392	7.65599399448036	8.00943562370326	7.71009058121487	7.97925590023393	7.5858283368148	7.55251686932881	7.52663851537085	7.50570856033541	7.65645015926359	7.84385713289377	7.83089503914717	7.4899937511725
ATP1B4_32428	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235514855931567	0.577090597544765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATF4_8096	8.46606772114088	8.22112448727774	8.45369947419807	8.61525702254931	8.48622159497233	8.36908297028775	8.37361965956622	8.43237549042424	8.59052490277708	8.74046389158119	8.53630922870344	8.58285687620236	8.35984348973933	8.53696874642918	8.40468391979935	8.44930007543646	8.28260025160957	8.19256659242035	8.33722416958226	8.31322401518044	7.86342916962978	7.96573947582017	8.23042265933651	8.34433224709699	8.38032569999456	8.405117589412	8.51265885419843	8.16378179562054	8.52182439718338	8.20853553674796	8.33763959593676	8.257248012541	8.06441783712641	8.3259502567895	8.29303891191593	8.24644137704153
CYP4F4_32350	0	0	0.386192465840511	0	0.489141010405983	0	0	0	0.482531928054926	0.46534192162876	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66531082894606	0	0	0	0	0	0	0	0	0.218611710101274	0.279739318945203	0.248680895050233	0
CTSC_32456	9.37116217520298	9.31387523941989	9.6613966041734	9.24519078190247	9.60502454080304	9.24328396308325	9.44836758593439	9.48150878010097	9.37571997429296	9.24098893055298	9.17773247784864	9.48901803825563	9.00540528916642	9.10003817813945	9.3867407846228	9.2115157814967	8.964803293256	8.79019612174379	8.8910822373385	9.09363328343792	9.35426243381845	9.22268160444124	9.18696703164511	9.12766462877552	9.35249555709464	9.04192088304671	9.21739776650494	9.17421952216034	8.96585119141711	9.00128818200803	9.27345552061431	9.23889465832016	9.24405282038127	9.18950162529541	8.93253298012631	9.31019105499647
RFNG_9680	7.73561741105769	7.85251494713185	7.86637190597396	7.92682432575658	7.80080220858407	7.81286472235252	7.86280394524704	7.81647815544564	7.72459981307026	7.90487013220697	7.90696909963923	7.92975228615652	7.92906155612939	7.92511587590678	7.82184839414209	7.82554264161018	7.7978985551711	7.707123087537	7.78037508463306	7.75670582711665	7.90663819572025	7.84059864282053	7.60766191219986	7.82384690957829	8.11387550156362	8.22316641114933	7.66684330709861	7.98906479352651	7.92887985020422	7.84668637737959	7.71051631902123	7.79539210596174	7.77218726751217	7.77787334127289	7.85922306609139	7.79719946778491
TIMP1_10022	6.65338950294856	7.02998037406036	6.65031119827158	7.37506352573124	6.65956797145165	6.90385033777837	6.38989852085461	7.20949682104908	6.82028865530785	7.05205725650004	6.60769286505897	7.14944974703609	7.25798650025819	6.88956698121664	6.95943707927698	6.43760177456874	6.87588698415397	6.27877599199868	6.95972944131206	6.71766343004224	6.87179308174807	6.62871164471677	6.86345183216687	6.51143843360993	7.11586607656919	7.32813726713758	6.99739544528457	7.13386189693054	6.65252090344529	7.37099134789764	6.72595330040111	7.10414593122685	6.96600232007663	7.12130743486932	6.97195302683536	6.9881199757099
HIST1H2BF_33070	8.5669637039193	9.11849898690149	9.0301079228826	8.80731372004433	8.54352455179199	8.85284745743624	8.78798479251438	8.91470300104716	8.79399616206935	8.63252383260938	8.85388136228879	8.90505903073663	8.86949507454846	8.75929826281591	8.7932909595309	8.83160806021347	8.84261958525455	8.70831217502367	8.99672316279085	8.86529167621169	9.24991551831271	9.02097650646293	8.97547588629287	8.72401971587245	8.47099018283072	8.37563260937215	8.79966860821428	8.54689887380536	8.61034006133827	8.82217726426459	9.07207393512351	8.75388677857676	8.96537160730834	8.9663752848078	8.65737390019673	8.51296895466291
USP1_10136	4.05396848022199	4.213481733502	4.27920203490403	4.5785635441275	4.43189398313585	4.36631647315463	4.79331326097238	4.31082908383535	4.51384742071472	4.82814441579227	4.07313998969826	4.59645571795903	4.50078969156491	4.37039284546186	4.6210678121038	4.4181784848661	4.00113123299059	4.13614874998575	4.19062703658908	4.02167425870994	4.33031754225396	4.12196317793618	4.26853017371988	4.1214695121899	3.67045875119939	3.67314103741481	4.04086169964605	3.99277257852114	4.10258002773293	3.53793624526103	3.88613955591598	3.92784679431368	3.97500630941512	3.79061886386904	3.84363617404221	3.72123467846772
ARNT_32339	4.49912259408222	4.58960010278948	4.72661253957413	4.30055559354778	4.43189398313585	4.31901570800869	4.83250927777684	4.43205230209936	4.61084305792366	4.52840770929615	4.61428207513167	4.22766621108615	4.16679007100093	4.66071039567768	4.56221399977038	4.44597461375942	4.12372055653815	4.50702110490001	4.59900963158592	4.00486222273597	4.40454055543512	4.69340781854794	4.33223786585905	4.26026715555811	4.37574997002095	4.67199230560534	4.37770343332453	5.02510125012184	4.33718625817084	4.08089036925416	4.63295574257415	4.35460946021033	4.47701222316419	4.35556404414813	4.07056995279898	4.2692656822515
CFD_33235	2.20234770530934	1.84809954473629	0.690532591186398	1.08186454274438	0.853770400632469	1.22064131439821	0.466590574223032	1.29263341268787	1.3722692217868	1.0989137507778	1.01537148720184	1.24137216539245	2.5056056583534	4.82315472012499	3.06653108011508	3.01266758647372	1.39120595663174	0.291722700066822	1.07479321751537	1.32504180460763	0.437240391713099	4.16384422928955	1.11117038053244	0	1.16028378994795	1.56529874579394	0	0.654296135521429	0.590334638795676	2.86246931898801	1.4173826838906	1.69829869763605	1.30598209449851	0.89212056565694	0.809398900393237	0.746013568067291
OASL_9389	3.65619153455721	3.24044140410104	4.0036058587464	3.42917911147959	4.26020642758421	4.31901570800869	2.48080278605491	2.93900861252	4.38264508299164	4.0863651495099	3.83577285904059	3.77955815307087	4.64265793812293	4.25454379801625	4.10690474719745	4.27054805021163	4.10683275514783	4.13614874998575	4.11894256789349	4.07096590278819	4.25206784364972	4.22447082606239	3.5876023936864	3.2911097299379	2.23420748956956	4.14198824930255	4.41999301222103	3.50198203853703	4.22464675749836	4.44279748930878	3.92633562358308	3.2640146572639	3.51995097401836	3.60011826357536	4.20907790429109	3.92791493557543
DEPTOR_32826	5.79270968439706	5.838713281851	5.87540273873252	6.04552716100078	5.92443530163271	5.97426280506278	6.01719323457867	6.14726311444413	5.80252192984667	6.11135210308858	5.29658129714006	5.77240900482876	5.66428564726793	6.02662983309071	5.54661381780772	5.71626244191284	5.86319487670784	5.83918797549203	6.07908988817652	5.89079460824063	5.95986413062594	5.90019455271626	5.98552757082113	6.24786050046279	5.61957562040649	5.25657169237418	5.77609292741885	5.55175695338248	5.98158554977289	5.86834914363789	6.11047713545737	5.90984713054033	5.98869119191036	5.87709115876879	5.74614285504493	5.61699873488004
