ID	S4P4_F03	S4P4_E03	S4P4_G03	S4P4_D03	S4P4_C04	S4P4_A04	S4P4_H03	S4P4_B04	S4P4_E04	S4P4_G04	S4P4_F04	S4P4_D04	S4P4_B05	S4P4_A05	S4P4_H04	S4P4_C05	S4P4_E05	S4P4_G05	S4P4_D05	S4P4_F05	S4P4_C06	S4P4_A06	S4P4_H05	S4P4_B06	S4P4_D06	S4P4_G06	S4P4_E06	S4P4_F06	S4P4_B07	S4P4_H06	S4P4_A07	S4P4_C07	S4P4_E07	S4P4_F07	S4P4_D07	S4P4_G07
SPP2_32854	3.16500349196173	3.6691206259748	2.9676412273396	3.19647764674962	3.55803643508343	3.30393896886191	3.30415729006701	3.61451028011745	3.49452485282362	3.48438885964441	3.12293192250762	3.31160719084983	3.72853475621749	3.6337777584278	3.26045739488208	3.60497750413801	3.35561653946104	3.51584145074361	2.78912429711889	3.22952401724651	3.10415925132593	3.55685405489698	2.95748410954792	3.45488589893986	2.96930744096189	3.11032379787801	2.50403043096828	3.43326038646553	3.54511679810479	2.94095076665925	2.76441078554061	3.18514199796307	3.16527450655394	3.41912693245567	2.67763223291139	2.78726323684657
FMO5_33281	7.50613224283733	7.30996106422971	7.54477364215067	7.15210648648676	7.49025872056724	7.36664431523514	7.3124644448956	7.37535761548889	7.39776018922676	7.51109336297037	7.15121962867758	7.30610487227414	7.49034422255034	7.51901189496371	7.36122263099983	7.53771149829761	7.33962544056509	7.43575305594711	7.9183749961524	7.68326161671196	7.65298048688154	7.6423104824577	7.55642326505864	7.5048014120318	7.5871013232924	7.63739036382617	7.74224091747313	7.60012840699494	7.47181160988509	7.37228469045627	7.61434479474364	7.53861576758903	7.68412947870827	7.59486756637809	7.64571930002753	7.55785645317526
LCK_32705	3.36953972309562	3.6939859203622	3.77584557944088	3.57965929475941	3.24313845866613	3.63650764884547	3.14935187334644	3.61451028011745	3.60737693993079	4.36236708024302	4.13681061888985	3.64152036629745	3.63830492158379	3.69758207538164	3.79434318282488	3.92915348129472	4.07327059354131	3.48979259367841	3.72753876125016	3.59046021587451	3.97339367815254	4.02602256620311	3.51519639965502	3.48194567949486	3.17144133599026	3.73357821560879	3.74338134068144	4.15702499675288	3.80021454563964	3.3482128036219	3.63022547780482	3.2632440922274	3.47578132203014	3.06835242391613	3.77332990067417	3.87812052024313
RFNG_9680	7.8614998060038	7.83922437982523	7.79302249808598	7.86583573796073	7.73015074600518	7.8013706089679	7.83689925832555	7.77573121799658	7.75458216085193	7.9568722494324	7.9650525672881	7.8537738564616	7.71389283005595	7.77335113321231	7.90657212382862	7.79262845506688	7.7930541082378	7.74194361206017	7.61388658364895	7.71890995114783	7.86502450725162	7.74291956897789	7.73984133852514	7.68734804001944	7.52202627923482	7.82989814236104	7.738128415918	7.81985430462335	7.73765901201898	7.71808088488038	7.83568503938774	7.54644638301392	7.82236895373297	7.71704463502126	7.75790730866751	7.82927565368297
GOLT1B_8738	5.94941256166205	5.92910508205748	6.09734868738138	5.73848297770028	5.9722717233361	5.88352130142598	6.00709577815396	5.91149753077832	5.86806281472311	6.06703208056247	6.01261315555563	6.17487598345329	5.927702835303	6.00957650828535	6.05314281963981	6.00144921795535	6.33677718032664	5.87072878794231	6.33274761532436	6.16299815137895	6.11666589725341	5.91747753525466	5.82149053978076	5.9742653215891	6.09039102371757	6.09248534054178	6.24341920626272	6.29763177874819	6.04132304482351	5.76087698589535	5.99337953453913	5.97102986539614	6.01721560032091	5.99546786015876	6.01353169261277	6.13673452987507
LRPAP1_9158	12.5973142893009	12.6433369375945	12.6021608355833	12.6320168460141	12.5976835419729	12.6766803916503	12.7259896411634	12.6506974442724	12.7008688807275	12.6683478641121	12.5717515376822	12.6868266491919	12.6966056832728	12.4473264405742	12.6754410349737	12.7516882841931	12.6329014484668	12.6660342193995	12.4715667553673	12.7133249535039	12.614842986371	12.7007470299782	12.6626092410969	12.7450174273611	12.7034324085003	12.7121596591444	12.5519454597241	12.6064022416571	12.6488307228334	12.7391756831377	12.6525558714689	12.6097957472158	12.6453649112614	12.5783911530064	12.5867204319613	12.5384548945452
HTRA1_8856	8.73353237819792	9.00642086792111	8.92078114771081	8.81950332832688	8.5972326225322	8.93222004514624	8.9045343312092	9.10654980908401	8.9467622589299	8.90204553042564	8.67517449079284	8.74064492818134	8.69933904430505	8.49426543467278	8.46870882715962	8.64137443823834	8.27190736780593	8.65386484359305	8.37812616692601	8.77815513133462	8.54437790167708	8.71904927983898	8.71193306421673	8.97205022411675	8.63725956843641	8.50996182062709	8.28839283132998	8.7313539705329	8.44072591953281	8.74022638625352	8.56487562385899	8.63361339869362	8.62187056476549	8.83455175849147	8.58241580607605	8.41746957894535
PPP2CA_32614	10.8984974476175	10.6542946703876	10.8657511979162	10.8448725325462	10.6914888434383	10.5586380386504	10.8461454682884	10.6847649191566	10.7580751122239	10.7109338806043	10.7598873333861	11.0042612574851	10.6637007589026	10.7965414785417	10.7424023907403	10.502873017878	10.7537523596527	10.655759243154	10.7772501173767	10.6769389626216	10.5466876190111	10.5229012146477	10.6801422781971	10.5558922951246	10.7931071305557	10.6209673565083	10.6763431655313	10.6556144992875	10.7890867913826	10.6096083284512	10.7607742344172	10.9234259566567	10.6853582295947	10.7120257521144	10.711445374544	10.6863072565741
CTSZ_8405	6.0118334390583	5.99060994059275	5.95915679373709	6.26107555252526	5.51261184028766	5.90011093412771	5.59702202619941	5.66640388942774	5.74024531892563	5.97652460048119	6.54026620252142	6.15656686325128	5.63870118912476	5.6658498687032	5.68558307030947	6.04036881919949	6.25605659283911	5.77151233700163	6.42426504482417	6.11623565005428	6.01643093867676	5.97788319053276	5.68186058470569	5.76437764983163	5.58839971852902	6.123539461325	6.31511181286796	6.19743042189707	5.7646205400046	6.14392106694208	6.21051873387466	5.66782109182103	5.90239478046145	5.99023750078672	6.40976122651032	6.19601839159094
PLSCR1_9508	3.57644894242201	3.81226344431089	3.62888287457827	3.80198271490099	3.69297503472164	3.93906555950084	3.74363436063172	4.01084007926388	3.84687347652774	3.93250748877741	3.55452184644429	3.81964226106433	4.02408256130657	4.06317817964424	4.09894084821276	3.82154699426335	4.29956904626075	3.95719031072635	3.83816792528147	3.56746888726267	4.03940270765142	3.65877593326255	3.60151543832754	3.89821132803259	4.04856610491423	3.82277931506214	4.3142527145252	3.73505112980242	3.59497984785913	3.96446229091661	3.70080769456113	3.82324752047137	4.06407554354062	3.44993434254093	4.21741193089509	3.81468881627063
