ID	S4P3_D10	S4P3_E10	S4P3_C10	S4P3_B10	S4P3_G10	S4P3_F10	S4P3_A11	S4P3_H10	S4P3_C11	S4P3_D11	S4P3_E11	S4P3_B11	S4P3_F11	S4P3_G11	S4P3_A12	S4P3_H11	S4P3_B12	S4P3_D12	S4P3_C12	S4P3_E12	S4P3_H12	S4P3_G12	S4P3_F12	S4P4_D01	S4P4_G01	S4P4_E01	S4P4_H01	S4P4_F01	S4P4_D02	S4P4_E02	S4P4_G02	S4P4_F02	S4P4_A03	S4P4_C03	S4P4_H02	S4P4_B03
S100A9_9775	5.96332518137667	5.59702371638381	5.874384361528	5.11893466082332	5.15287491596664	5.09062382643635	5.5837903571863	5.42912764186626	5.59700283143548	5.0604255113649	4.75894739012103	4.10555490236749	5.12486622715371	7.12553208515626	5.42037997220163	5.17717543395667	4.93276188748792	4.97808124626249	5.84812988936821	4.96711460682948	5.7661744700539	6.01143130584058	5.58562447250228	5.14412513624695	4.36832715859292	5.07963377518211	3.84605155651428	5.22759405419794	5.09163907407504	5.29037372819464	5.08747247675644	5.82907215588423	5.42181632613991	4.83075922592502	5.06030262719647	7.17948934305092
VEGFA_32415	9.35794662377164	9.73553016721466	9.63649534891507	9.59895615641856	9.56543433797275	9.7514125122909	9.4440233065408	9.70900727661493	9.37824773034104	9.50233590017487	9.33138761143013	9.47202537366966	9.80465209761314	9.52872072414929	9.5576971924535	9.56203601419518	9.54846405703357	9.67340432276038	9.60283610808161	9.59041938169045	9.4305703767749	9.25082420411868	9.86221892739896	9.28966061788837	9.27354530154097	9.05321276147333	9.19108472457747	9.23475807676814	9.5364921389385	9.23224291128886	9.41621171097944	9.41692758359704	9.43044283887979	9.39926707505846	9.31972827522339	9.50887308338023
GSTM3_8760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506836549144684	0	0.601779058043106	0	0	0	0.929231480653935	0	0	0	0	0	0.474180403389981	0	0	0	0	0	0
GNRHR_33263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295499182888091	0	0	0.706107526996812	0	0.33204153324452	0	0	0	0	0	0	0	0.999371035856855	0	0	0	0	0.203757782800668	0	0	0
RAPGEF2_33109	5.11635424776818	5.4529965032549	5.49311866100176	5.64416331517263	5.64533164583679	5.68455346847902	5.67702627465121	5.60993506634713	5.40860953214715	5.29326384639919	5.31558062137773	5.50387689255144	5.6269818962081	5.21591300703418	5.50224671818519	5.25518882147191	5.40339434716461	5.58929242181609	5.36740363564665	5.32473159873436	5.61373272605535	5.50197427111367	5.53775044366974	5.63894590873962	5.7476396406511	5.32728865867953	5.55334324305304	5.61347733007899	5.49217937633792	5.51569401879219	5.5962363877921	5.79051262482317	5.70379196003298	5.50269610087935	5.44693261657446	5.71091344015002
CGA_8298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240307443668259	0.506836549144684	0	0	0	0	0	0	0	0	0	0	0.447547969746432	0	0	0	0	0	0	0
CDO1_8275	8.78510777098684	8.90790018529038	8.62852310134525	9.51811198974385	8.77491158843357	8.74595037007696	9.760368110579	8.76445155252976	9.54527830017258	9.20769773113558	8.70209993377114	9.92569049395053	9.04151382435826	8.40643101246386	9.38599782646246	9.2482360914636	9.0989741967206	9.79014667458086	9.1294296860817	9.82213131375402	9.09695759802057	9.12122086867301	8.54806152148089	9.20156002282206	9.41195405129328	10.1161296223971	9.2922737338029	9.25259134421075	9.67324073143179	9.04619279672156	9.6905784467059	10.5089895401722	9.43297800187535	9.38485492609801	9.63787189865949	8.86766808082511
LY96_9166	4.87457510643286	4.51933546183215	3.96108805072987	4.63061691783467	4.16079641964976	4.56044001173334	4.05776844954938	4.34890210350382	4.6988207242939	4.73472350539099	4.52480385756348	4.39607820130326	4.34819242385395	4.46576918666784	4.77441331567991	4.62186328117479	4.14359597278558	4.05088898877575	4.04232547891587	4.31411056172679	4.3995713315687	4.284988959657	4.20965956551669	4.61534535082767	4.33444848553887	4.81038143068911	4.70132153063671	4.49065083714063	4.68554734977996	4.89702417085871	4.24567976715863	4.64322045927569	4.50412966493248	4.63208668038229	4.48995712767856	4.66658004225566
CD37_33149	5.07652621877807	4.957406184163	5.22633709218858	5.0180123057999	4.84509107905406	5.21030376388147	4.28538703152656	5.18683382678508	4.95650528120245	4.55325573568645	4.05707353000468	5.04449738644155	4.6208246017537	4.31008401018488	5.5166450430222	4.53069558984029	5.1763788778841	5.06228108577976	5.24370157857516	4.60237415512772	5.41440081573323	5.42203607183351	4.50350014003483	4.90382703354999	4.72279280029561	4.74992906058722	5.14258242480549	5.08624166026393	5.332056679587	5.29037372819464	4.94171096389931	4.82590960544742	4.86113352563416	5.08531950964698	5.27849141614112	4.55201217168329
ITPR2_8931	6.04814076725456	6.13618502368449	5.92039348163623	6.25594570758887	6.45026473642829	6.26628591194723	5.89106688989794	6.16689268771817	6.01089582809038	5.64393360298158	5.79363711752363	5.40564259235053	5.87029255100503	6.12028518159895	6.60217096839582	5.93807245429023	6.42936238606764	6.09484764616995	6.28462111167434	6.04910664602826	6.29556054479135	6.3871805521364	6.16053793666351	6.72648132183338	6.34079022835155	6.41032409700708	6.61698635279757	6.42502118866024	6.74424696595373	6.34270654100459	6.47926983681817	6.35689785701799	6.52144128516221	6.41285506695931	6.39227810319006	6.41786083401953
HMGCR_8810	7.72752549155373	7.47760053845108	7.63216377855711	7.70787768282064	7.44199167971102	7.40360962820349	7.60916281185374	7.42173720264677	7.61241073009255	7.48041483083108	7.61677615408525	7.61157344975423	7.4978838381801	7.46398185569266	7.79257938493123	7.65847173991513	7.57700646861924	7.59675594870738	7.72465620981631	7.19927465911935	7.60429862305402	7.56022398916311	7.47667582981641	7.66927157659019	7.52070073278724	7.58167543915368	7.45556980340689	7.40389068676725	7.80240789017302	7.44750859898217	7.38354308319093	7.50515297300697	7.75354490532825	7.43859667272427	7.27443081436599	7.37330190840416
CLK1_32739	7.57151068110246	7.65519614012698	7.72366575209492	7.21262198753041	7.20702824420902	8.13939871409296	6.97583208690616	7.95632008701793	7.17891130519124	7.8444173075052	6.9320250264747	7.3386491037287	7.87045384689999	6.9254471609587	7.5000783965858	7.21197777077031	7.44066885487184	7.23899620861189	7.43409423084211	7.30458041008493	6.96672859010612	7.10265739438627	7.38269553014157	6.57051117911746	6.96755774553753	6.71706176417309	7.21127074903077	6.82530137495713	7.72763379057184	7.31980362967875	7.14128238003481	7.22334387945893	7.08432483563588	6.73277287511735	7.495491386453	7.0035598547772
RPP38_9741	4.11866002269424	4.37921872332706	4.47428475466157	4.6476085031007	4.22423965470402	5.10442253437366	4.28538703152656	4.4118177202317	4.26296573732083	4.78263858362709	4.00595539996941	4.14087911297507	3.89920890871287	4.92528292853062	4.91148182007028	4.53069558984029	4.92417528164792	4.88866101073901	4.81437752722513	4.76224965256001	4.79244225000732	4.66826585493159	4.2889179835938	4.25438441304952	4.52672448363393	4.14533961536835	4.56613544004165	4.16873672777007	4.46569947572456	4.32677552505211	4.49598321404172	4.76754640664806	4.75976377368143	4.6671573100117	4.36090665061444	4.66658004225566
