ID	S1P3_F01	S1P3_D01	S1P3_E01	S1P3_D02	S1P3_H01	S1P3_E02	S1P3_H02	S1P3_F02	S1P3_G02	S1P3_A03	S1P3_B03	S1P3_D03	S1P3_C03	S1P3_F03	S1P3_G03	S1P3_A04	S1P3_H03	S1P3_B04	S1P3_D04	S1P3_E04	S1P3_C04	S1P3_A05	S1P3_F04	S1P3_G04	S1P3_C05	S1P3_E05	S1P3_B05	S1P3_G05	S1P3_A06	S1P3_H05	S1P3_F05	S1P3_B06	S1P3_D06	S1P3_C06
NUP85_9382	5.72707935126048	6.14776415019152	6.60969285138215	5.59718383288819	6.33133766821098	5.86534562060318	6.71634189828082	6.30351649097558	6.30374745244796	6.11272378110562	6.38066684945523	5.80052391270805	5.86890225348955	6.19944170841347	5.58728796197966	6.58482902016481	6.37854907960116	6.06612647556455	6.55662759824144	5.99448272726828	6.30270929894991	6.01758709916153	6.09098458351459	6.01503191526414	6.42934919115317	6.58143156644319	6.21982054387283	5.59050756802122	7.00600001419024	6.01304753632234	6.88865106280134	5.77532853657947	6.60892255084168	6.43306725106685
CTSS_8404	8.83477396987683	8.35750036352635	8.27423997878675	8.22533999410802	8.23065706811248	8.21580710954382	8.64937649448175	8.25305853390239	8.28096908184207	8.43451871877077	8.11847026808025	8.3101129329631	8.53595022384343	8.5734139833654	9.36238432952685	8.52597342697189	9.21674575420467	8.78608311972482	9.70025213426203	8.03192085434177	9.08108714758468	8.38082534613877	8.634014389711	8.23392319386411	9.1594198787706	8.10547371178482	8.70240291773056	8.78397507675932	9.18695444732166	8.54792348986088	8.28196610378709	8.34696841395527	8.48385300254479	9.09676578522759
SULT1E1_32446	3.27224991932673	3.36741725865962	3.14990695872766	4.44235637811109	2.04214279241227	4.4777861767655	1.26184527752602	2.21015005755022	3.66672552463397	1.69244376900825	3.35979495753626	2.26203625150511	4.33248664014785	3.28519238405388	4.08799969606545	2.93534249495641	3.14776505074028	4.62796353759132	2.53446174989659	3.50480569035302	1.80493048657789	3.38166804419114	2.8393350947747	3.38995415267576	2.26467860946599	2.85202247101684	3.13062456320931	2.94056158124434	3.27904076947039	2.75600187310313	2.44470894868555	3.53059294347399	4.74998574693819	2.56737403198297
LOC501110_33182	7.19488985957002	7.03020288242078	7.40309422682834	7.55962968106739	7.54947230540199	7.70670772486548	7.81175115414049	6.84113447154432	7.3899204119235	7.02744329980688	7.3843460139185	6.93283334898053	6.9149015282486	7.30430912401654	7.64823760057935	7.12605429042456	7.97668032903943	7.18072683060388	7.77625692580661	7.26382319813573	7.90200583206657	7.90587553425373	7.39056498618533	7.34169973711544	7.02988163005249	7.33324050456194	7.85833949232246	7.34900231269428	8.28964615488177	7.33626489483074	7.47968781420524	8.02395514668402	7.74426280813307	7.37916185029215
SLCO2B1_32680	2.98717797349392	1.73555796660535	0.779048279084476	0.991081035778011	1.35574023693873	2.09562227550017	2.16833927912589	1.77321824068329	2.55456086914829	2.44997708727092	1.64998129389742	2.05793547416019	2.06734669813785	2.4809347524777	0.957207864628269	3.10421745916364	2.74812008534877	2.52236277431771	2.92974226018051	1.55625692001186	2.04182261736845	1.66652364793356	0	2.82702527810002	3.24627632682209	1.50051988538062	1.42575589257502	1.87611035123012	2.34977858848249	2.63391940568285	1.414979393303	2.10393631360311	1.67609982137882	2.66400573319129
BCAN_32892	0	0	0	0.991081035778011	1.73938410453382	0	0	0	1.560692663351	0	0.439764200071664	0	0	0.874362841762592	0	0	0	0.897447797020905	0.542539350363805	0	0	0	0	0	1.60838400933901	0	0	0	0	0	0	0	0	0
SEMA6D_32964	7.73023946109645	7.87996086972709	8.67889986075192	8.07492968114975	8.70504075005804	7.88713252159954	8.41244071077258	8.33096261731935	8.90015390322924	8.04104780147441	8.30397355021643	7.43559666214665	7.73614198419385	7.93001167048959	7.83828858688476	7.76540048059035	9.17988204637034	7.95776569913643	8.9351395531754	7.81282084796065	7.82078285794618	8.69401865097491	8.25760694695886	8.14696262950178	8.38677111254582	8.6628737310045	8.5957540969816	8.04238513171646	9.67583553638962	8.73027825595622	7.78599552718583	8.51640101513532	8.45525827097127	8.41702808361885
CDC6_32573	1.45011782511863	1.73555796660535	2.75017510659053	2.57006677985313	1.73938410453382	2.91613447605441	2.37686487679669	2.54505700895199	2.77607518852751	2.31268433876168	2.81936254562893	1.94392512766504	0	2.11529736088139	0	3.25537997221405	2.40294269879021	3.44914255981336	3.0136903134796	2.90104280283494	2.04182261736845	2.51384173733693	1.6954919974256	2.68229257600544	2.43053445215952	2.21998722900671	2.82203423837276	1.47537557220285	2.48790887141662	1.79348853657685	5.59982178848423	1.40566755898899	0	1.95391922094333
LOC100909655_33228	0	2.85071015176228	2.40490064582977	1.57305825321646	1.35574023693873	1.39892623276045	3.60693738485292	2.93544635743881	2.29275490885318	2.57533229979469	3.14411451517376	1.17986773781014	1.37605461317433	2.58476765512556	3.24396422037991	1.94475859658115	3.25966670088976	2.00708319130423	3.68592706132104	1.19782277284676	3.53605584708741	2.41926240246457	2.12376876048986	3.07908493414797	3.24627632682209	1.97346965614798	2.59923606863803	0.531209312515354	2.93703787625121	2.27405603980627	0.637396717487086	1.21382800760557	1.46283917851702	2.35221607059572
C1QC_8170	6.6148423968853	6.13187309139829	6.10893956015114	6.88914721805524	6.8136376114357	7.19670207402184	6.93814426107676	6.21235959134279	6.42329271739482	6.32397015100813	6.19663991626815	6.63971960925987	5.513368264448	6.71057484815731	7.20829865833084	6.2843439626226	6.82303367602517	7.17212187174505	8.13953426154206	6.30893783215187	6.62781599725652	6.96933696830351	7.30634285033072	6.87655555586913	8.12459850403976	6.33563813169141	6.19346495984113	7.24700158453912	7.46915977433469	7.65542612085482	7.57733634412414	7.02583976438055	6.09140873275321	7.15227615435681
