ID	S2P4_F03	S2P4_D03	S2P4_E03	S2P4_G03	S2P4_A04	S2P4_C04	S2P4_H03	S2P4_B04	S2P4_G04	S2P4_F04	S2P4_D04	S2P4_A05	S2P4_C05	S2P4_B05	S2P4_H04	S2P4_F05	S2P4_D05	S2P4_G05	S2P4_H05	S2P4_C06	S2P4_B06	S2P4_D06	S2P4_G06	S2P4_E06	S2P4_F06	S2P4_A07	S2P4_H06	S2P4_B07	S2P4_D07	S2P4_F07	S2P4_C07	S2P4_E07
WDR12_10166	6.26130378090405	6.55546668583914	6.15651954860035	6.06368222830013	6.2754375117439	6.06209606731841	5.98598569340565	5.81452888430424	6.17225825438018	6.15894937168823	6.09173429879513	6.06891027317103	6.39129400329991	6.10712123272263	6.24313724635754	6.0573518589607	6.38088399983042	5.76697625221768	5.98413312296094	6.08558487440499	6.15533704924543	6.04821033506647	5.88712675737384	6.04179207710209	6.13306445217478	5.79070407343172	6.0990670048473	6.04403643778694	5.96048083529928	5.24944638324315	5.88376002523097	5.55554802500572
EMR1_8558	4.05396991831924	3.20334692162937	4.67326143357722	2.80928219346044	5.61341252101778	4.30526208705136	4.19074751104978	4.00684864579349	4.83624458911564	3.65687956374107	4.42757811315221	4.64279529255228	3.87163239873575	5.31661147413721	3.91237202259068	4.61713546183184	3.7522446294314	4.76358825497597	2.99731936333034	5.7751291892703	4.43653005265978	4.99095087802012	3.63760605504916	4.53056609040439	4.58234013666623	4.19032368046618	4.38689898200009	3.63184749644675	3.83108302371054	3.44089582552617	3.61718199521759	3.56991842479493
DSG2_8499	3.98453356376622	4.53841009275339	4.01576673692828	4.23369271081298	4.27672868009283	4.60197355173967	4.33211096149562	4.04394952525365	4.2355009297463	4.17256056109788	4.44467211652975	4.33176615324098	4.07591295906482	4.3096512449782	4.5151699585573	4.46120865527451	4.31117992184147	4.47257330357076	4.43148068568767	4.77067643848033	4.24574281616626	4.68649657518513	4.51967382475859	4.41726216099787	4.48439970046506	4.57680129638756	4.3057061477492	4.35036295480597	3.96997391970874	4.17427866224063	4.52221070146335	4.53958517310054
DYRK3_8508	0.333612302098261	0.424515935947464	1.11594585591353	0.894122877518888	0.847408450831446	0.307543470414345	0	0	0	0.600411426642693	0.823328964927102	0.569954962903094	0	0.308432086925879	0.739317327781261	0.753319390481548	0.873172312643738	0.745571018423711	0.958983008178129	0	1.05165778146673	1.24792513300159	0.966305182380682	0.661652020970263	1.17497249621102	0	1.10091102973882	0.788626242637406	1.44675078641225	0	0.64482577788744	0.590566574090024
SLC5A5_32559	0	0	0	0	0	0	0	0	0	0	0	0	0.354253093618511	0	0	0	0	0	0.249491234851609	0	0	0.35049636025326	0	0	1.36309099373775	0	0	0	0.36474690686384	0	0	0
CCND3_8225	5.47403052852099	5.8182314535167	5.60200402459677	5.00539489790768	5.40242912117096	5.35461312449759	5.18499022278829	4.73040477538373	5.40032251954031	5.13199380760357	5.10199960911186	5.33931179938345	5.36031505918822	5.31661147413721	5.75171733818667	5.21380547716593	5.47654071271314	4.8450959676571	5.19695702358658	5.39913038954097	5.41194408861228	5.18883207408152	4.71570140945094	5.31091754401334	5.3442391429541	4.44012685853923	4.93255468017383	5.48826446590434	5.26285567264561	3.94388860663018	5.0124368415328	4.83633677730924
NFATC3_9299	7.37229269944447	7.45236606725017	7.43861726211056	7.16929226921948	7.43553360677768	7.38029849147711	7.03220954762505	7.44084736502277	7.28516013902299	7.16706849502614	7.33597736176092	7.21454562141543	7.39465547871078	7.38077257008957	7.41993574047453	7.35518886070037	7.40560999683115	7.43351023741926	7.26070098544978	7.51597144653357	7.58278049966147	7.49864569882871	7.47714287121265	7.47959731560243	7.61450589072361	7.45713614483761	7.43241782071328	7.40325517400507	7.27783101924018	7.43137149809055	7.22395868893841	7.48629520991685
SCCPDH_9785	9.56323114898622	9.62496257464776	9.71382599262632	9.72334476013854	9.76144674673403	9.67445922598122	9.5821337882854	9.68450093920466	9.82382586621166	9.69864806454271	9.72782811304261	9.78981228149802	9.60892514659269	9.77600323697049	9.77533600597556	9.62231815253971	9.66613244308961	9.58087321586286	9.59916231433464	9.58276362821946	9.65838444107614	9.49099714810944	9.62188706126322	9.71389985352008	9.6530304055367	9.54686115664582	9.58511960991103	9.56422761264146	9.60461512051177	9.5082113834545	9.64355458862561	9.57562423910042
UTP14A_10144	5.99909481644933	5.87820143039069	6.04616165907864	6.13149915712671	5.86494696165202	5.61456018738496	5.87692960936193	5.80915122099493	5.76847923095689	6.01668320914602	5.81769666733334	5.87412783564397	5.45489425140108	5.91532776218578	6.04774651101463	6.12032456272503	6.00468443858786	5.96749223982778	5.82987983283594	5.97600404327476	6.22424468811671	6.04220251083841	5.83383963564455	5.96994842622871	6.05332989152104	6.18644927190632	5.91422651845901	5.89915764585786	5.89224796836248	5.80461774178599	5.84184850768787	5.71686681429904
GMNN_8719	3.22114555838087	3.57868606377581	3.76013937116748	3.47081479401223	3.72850953060273	3.3598508017289	2.80359282235924	3.46607320666938	3.1117739771957	3.3266244051931	3.16210331493002	3.45045684636906	3.18132274572035	2.89447833455928	3.77803280475167	3.01528766957557	2.51422026806024	3.41933318224001	2.69484602815861	3.10382383726021	3.44948497998154	3.37155514820075	3.4923244206187	3.28220181337571	3.09547122224712	3.0589976493334	2.79773621239518	3.28231310409476	3.46831613082614	2.66209161949648	2.90319839798765	3.44146237225569
