ID	S1P1_B11	S1P1_C11	S1P1_E11	S1P1_D11	S1P1_F11	S1P1_H11	S1P1_A12	S1P1_G11	S1P1_B12	S1P1_C12	S1P1_E12	S1P1_D12	S1P1_G12	S1P1_H12	S1P1_F12	S1P2_D01	S1P2_E01	S1P2_H01	S1P2_G01	S1P2_F01	S1P2_E02	S1P2_F02	S1P2_D02	S1P2_G02	S1P2_H02	S1P2_C03	S1P2_A03	S1P2_B03	S1P2_E03	S1P2_D03	S1P2_G03	S1P2_F03	S1P2_B04	S1P2_C04	S1P2_H03	S1P2_A04	S1P2_D04	S1P2_F04	S1P2_G04	S1P2_E04
IFITM2_8870	1.24709974299104	1.16992483446374	1.21104934511383	0.712368390529887	2.1461145722819	1.64318533258019	1.76834786886119	2.19687678575473	1.5466265308716	1.83585430137775	2.18665173769763	1.94024820064665	0.834037775046574	0.348601807120216	2.13949050224943	1.50632190641781	1.76891934305579	2.04760171822696	0	0	1.88878521565617	1.29026377113555	1.92745874639749	1.97747843903626	0.372083910571242	0.416922910238466	2.1270897758367	1.01160963584663	1.68980870553393	1.79347238066563	1.87697469093486	1.18532118491765	1.0731363215922	1.22788492838002	2.38190922433002	1.66394832191444	1.11857463603979	1.84763918063611	1.0145709444623	1.55618713093824
PF4_32963	4.59233152158987	5.31288266228421	5.84007422146715	5.69673132951401	6.88613899966664	4.55990903694225	6.92090499767961	6.66357233973207	5.17524256606496	5.39633890966897	5.8620194833801	5.49135955330379	5.8901728480123	5.23364580553575	5.87330265337114	5.56929133280002	4.95883446684982	5.62515189828541	4.78797103663649	5.19248794612291	5.61238032944254	6.08305629024358	5.61236054682326	6.33658338185116	3.8613760518159	5.41107174213415	5.45516148911542	5.29555163125796	5.82409269684481	3.94921171415372	6.08376662126027	6.3446657450777	4.82863455484209	5.80816813903674	5.7775975328016	5.88744786580999	5.49569033547183	5.59645004189921	5.07979252547589	4.6916278460467
ELOVL3_32452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226570586673323	0.255894191274506
HIST2H3C2_32796	6.26264010605658	4.7571118778313	5.85326152658606	5.32005120822045	6.94903969781637	5.91789288856257	6.70493989683872	7.21920132641409	6.35219285779958	5.68281530023503	6.70521470631162	6.65660543263559	5.59548557632253	6.02144151685713	5.90097803491982	5.91569691967781	5.66576342547376	6.6751001569592	5.01770828484022	5.66867962545914	6.38493864634085	6.99926595072911	6.83185843992816	6.75152870806784	4.95468649119265	5.67034373951284	6.7935165174804	6.2770672951017	6.26094274994295	6.5603171126105	7.42047269927381	6.87493795396711	6.29396202135457	6.2036772075916	6.92303390801388	6.70820694925464	6.35095854927642	6.93024606195631	6.35056541134843	6.07826683653751
IGFALS_8880	7.46991449272269	6.36559309940993	7.98429559959406	8.02008627634338	8.65346343041129	6.94260176070868	8.41759990272771	9.28835225683029	7.95116522246938	7.55325641610647	8.14433956644396	8.31661762756092	7.88381405594748	8.0530002483408	8.15974035045416	7.49571699129438	6.77821769791205	8.11040620421463	6.03952103861269	6.90892428096034	7.80667093134184	7.97881036878597	8.16742846861981	8.16475312658668	5.80785239596312	6.8148147958749	8.11799344362207	7.08184820426486	8.08112695121405	6.95386769658621	8.47006920623346	7.87139798892432	6.43563164005129	6.88261887929456	7.27657472245732	7.45607074808734	6.98996197214186	7.43079618820069	6.58071884098581	7.13484071948448
TFAP2A_10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC606294_9128	2.59375330695583	2.36923356727747	3.4237719275677	3.28185454725256	3.35399564080042	2.63513751887447	3.40960065401903	3.73237110864328	2.00692152649113	2.11795282769064	3.4179974474649	3.06661678705534	2.69569849253606	3.06691606702807	3.16148190273843	2.07775055753106	2.54002024639835	3.24899987205122	1.91909344492005	2.61669780444448	2.67952861706176	3.13863910569957	3.51736361472728	2.92800908536174	1.30515610134232	1.22669831717969	2.48367650085392	2.68246459401212	3.37152886527184	1.79347238066563	3.34549705126156	3.24705675217209	2.33571438146132	2.8607158396718	2.61232605206352	2.14860033550629	2.45682536705603	2.9995665899229	2.19252777440159	2.72861553872379
AP2S1_8055	3.17198923133242	1.89077071073409	2.76261719545484	2.45139368250962	3.19700122407701	2.09823280086649	2.65411459728826	3.6756823077294	2.4307180037888	2.49202985801221	2.46501698090967	2.9654185985866	2.176962429621	2.56556492335399	2.96571564550832	2.48597322218435	2.89167106965276	3.49799867245821	2.19429785270311	2.43298515170172	2.73383455314393	2.49219380179937	2.1917303323681	3.01796960128742	2.43651204991026	2.5087018183758	2.89345813127075	3.13595419897971	3.43229302841141	2.65198600120744	3.0453372222686	2.50381869746954	2.43723025153252	2.67105195317954	3.14123163275831	2.59945905097238	3.17057301203714	2.6776539762091	2.76164933880357	2.92572807350267
UGT2B15_33121	12.2885410350495	12.6605156292689	11.6877721749828	12.9117861954543	12.6959213477682	12.5563575315677	11.8668833405094	12.4169081480545	12.9394702953575	12.4990399135214	12.1392415057391	12.3715862981855	11.6372060250614	11.8480468137574	12.5903792097207	12.8265619605557	12.8639771904567	12.2611195353044	12.5144281300011	12.5411443428539	12.6311240589304	11.7279624878444	12.2815217560353	12.1466954891904	13.1850217797512	12.6727135988265	12.4473721799043	12.3939004683986	12.175280205248	12.6158917412849	12.3585453582935	11.6782652224274	12.6208991832469	12.4075978095865	12.8557977047198	11.7277492783798	12.6900077966526	12.4278649261522	13.0952222193028	12.2837308726698
RSB66_32897	0.297414030338568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533802741360244	0	0	0	0	0	0	0.19800432566601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.473164736489834
