ID	S1P4_C05	S1P4_H04	S1P4_B05	S1P4_A05	S1P4_G05	S1P4_D05	S1P4_E05	S1P4_F05	S1P4_C06	S1P4_B06	S1P4_H05	S1P4_D06	S1P4_E06	S1P4_F06	S1P4_G06	S1P4_H06	S1P4_A07	S1P4_B07	S1P4_C07	S1P4_D07	S1P4_F07	S1P4_G07	S1P4_E07	S1P4_A08	S1P4_H07	S1P4_C08	S1P4_B08	S1P4_E08	S1P4_G08	S1P4_F08	S1P4_D08	S1P4_A09	S1P4_H08	S1P4_B09	S1P4_C09
GNA15_8722	2.21008921200712	3.6754984827209	2.45757011405189	3.45298826988921	3.39722594082583	3.17943866799776	2.61799512085001	2.75997763516688	1.85116611204356	3.678115263369	2.84930508823414	2.13213159798551	3.24412795151981	3.29609388787132	2.10914584283304	3.58891691282613	3.18996067690482	3.63667373783523	2.92359537401245	3.13176005204832	3.07519768531127	2.31681195342084	2.47538531644667	2.10124960578684	3.15143681019461	2.19260851482603	3.20273182957015	2.39012618180494	2.76399425033513	1.60142423553949	3.03010322668665	3.02276899146536	3.75327806429582	2.20420310448581	2.97136758252799
NCKAP1L_33041	3.36830338930591	4.56761533591508	2.25806702875455	3.83470871697843	3.21168932606902	3.17943866799776	3.64236599999891	3.10067292679732	2.6359479317979	4.47885892743937	3.68883522371172	2.64695770603252	4.42500818216205	4.27432513384545	3.51305524731734	4.54844928911242	3.69485741729942	4.27057958660794	3.9838171267574	4.25689123158233	4.64770935548164	3.65998959651951	3.02990054445694	2.9225056810032	3.51206613235052	2.734347281908	4.95848772473086	3.14264932036279	3.88340228298882	2.82848571437564	2.71713156709689	5.07412379675462	4.33327613669206	2.72525132542436	3.90955484178209
PLSCR3_9509	6.73744712643925	6.63246217303247	6.25613431677728	6.82445632283065	6.92444143717024	6.55858073369515	5.78424913372623	6.76684639012872	6.77464664717257	6.32978263497954	6.35199770841315	6.48746610933581	6.58482382746	6.2035457990148	6.94436372963476	6.87874577792007	6.59749184988612	6.52632848863994	6.19241988977568	5.99181565680139	6.13400241018216	6.78206461941917	6.60154965733225	6.89385541494193	6.95066474418815	6.2647314898159	6.22178172723068	6.54954727837767	6.2763566909497	6.17402591838474	7.18949516797271	6.45945984275294	6.56104889132689	6.61501114916449	6.45222205460572
RPL6_9738	10.9298445827917	11.3881843265421	11.4368043497176	11.4772326349696	11.0843730725954	11.0442802662626	11.5821129781459	10.9460087562988	10.8128976023264	11.7423051001787	11.2913836583818	11.0686009417362	11.3981446880998	11.5564826913668	11.3387291173077	11.5766963875935	11.2320004499747	11.4706242108282	11.6084461273811	11.5967389446496	11.7503866801768	11.1515832394464	11.0182323804276	11.1968151980111	10.946161321181	11.3378538199866	12.0485012537409	11.213456708365	11.5488649785088	11.2181376318686	11.5352936562029	12.0470860054676	11.5344927805288	11.1467914291526	11.2311292844324
HMG20B_8806	7.49823089659276	7.93141603636231	8.08742724933238	7.51738221620723	8.29211866098331	7.92809750863026	7.58759618418453	7.95741632231975	8.09691597586707	7.56838296696176	8.07100793812253	7.7825732151183	8.11632995168524	7.72815718949965	7.59419585708431	8.10408378723091	8.57817822468944	8.13476372547029	7.93505782753141	7.24943938364163	7.45703256101101	8.1989470396013	7.73534511388559	7.75305138855841	8.0203751705608	7.19212889327985	7.52583213155644	8.07092938495244	7.54760302454276	7.65870582214998	7.59811117013	7.67938922354601	8.37719707061413	7.58371200183284	8.64977907899966
PRKAG2_9563	6.30816443001998	5.74918669305371	6.53527397063076	6.0349818789631	5.57668380533698	6.04971656488085	5.36474166044825	5.91126108794314	5.70363151426807	5.69084475321682	5.7060853015313	6.59797797362514	5.6664925229115	5.85342331829693	5.82961121347717	6.49076519563154	6.23510911865965	6.23233656496653	5.59779611746715	6.16833443748472	5.46213904007418	5.96745656017658	5.36011949824203	5.95777989275571	6.11780466550201	6.20778162579339	5.7701286848255	5.77718761261712	5.73812065069321	5.51593316188181	6.80369592160041	5.99255843771117	6.1445257575593	6.05199189946931	6.32870010240679
IGFBP3_8881	7.07895600902737	4.5417957461176	5.19797523698754	5.27849516163487	5.35932079312556	6.50472149927783	5.13582186531903	6.85493590594569	5.53536105401159	4.4601161486526	5.36955218179856	6.1016697859899	5.06555294910518	4.13638388609604	6.26222173595756	5.83712781931094	5.35446334537501	4.9265594529303	3.95346656118328	6.03801107041172	5.06118291833529	5.61747285101156	5.65881539056824	5.77478380779375	5.44563278643858	6.35141888976264	3.40256371435276	5.440298478849	4.93959366410355	6.18751234716658	7.81774274739354	4.40278636839074	4.42287103429163	5.95276399457733	4.33341094601578
FOLR2_32628	1.02594786640562	3.06363109415532	2.68678809663676	2.89002923757381	3.05498192423312	2.91157538346829	2.61799512085001	1.66229509363423	2.37090833198537	3.26819898927526	2.36111921590626	2.55765269954321	3.3478448183116	3.18851529548656	2.74022736644632	3.11929354607951	3.18996067690482	2.56119590113149	2.85956786729612	1.84331876724699	2.59719010288845	2.40289431665356	3.1406360039204	1.24559929540487	2.98898500227045	2.19260851482603	3.16655992365832	2.55940674099576	2.28149903316102	1.60142423553949	0	2.22851507771862	3.32780583399638	1.92841853962124	3.09205054941215
L1CAM_33172	1.35300999813446	2.69331527215368	4.05371465549169	3.59175672787643	1.94887574730823	2.8360465289054	1.3285262335685	2.08671408769631	0.60557339412583	1.59201435975676	1.61769525569521	3.42961328116017	2.73335624818651	3.01042534069663	2.10914584283304	2.9423509402521	3.49528892335436	2.39186986137543	1.9870682560002	1.61855644786053	1.31359914529739	1.78686659366274	2.38828901038143	2.27479149145246	2.98898500227045	1.62445924280725	2.35148760846185	1.85219116156508	0.568254525409291	2.52280827876505	2.06560010745223	3.29977695352006	3.32780583399638	1.92841853962124	3.90955484178209
ANXA5_32426	6.44315301247262	7.78640519483105	7.75455467432587	7.81949052486762	7.68217762594258	7.59453158562454	6.5928197581131	6.01150530816759	6.09348107933108	7.44988993426236	7.1064561762314	7.50948279476656	7.51180429317969	7.59756051537377	6.27991157990515	7.77247793532536	8.07356538504156	7.38381908933877	7.00523322426069	7.24943938364163	7.05765785034749	7.02198223518712	7.49336191476069	6.49387259154193	7.81948696072314	7.16545875764839	7.48785887963361	6.81085133597368	7.23732683020871	6.58405961144645	7.29570421843739	8.12138635152326	7.53508770607703	5.72021067719773	7.39494534239453
LIPA_9004	7.19063020721634	6.83206494557775	7.20565330049957	7.4998634070434	7.91088894648711	7.8170854026572	6.71823464602163	7.58148153833166	7.54041558228756	6.67681209377003	6.08701342963117	7.64843069591276	7.07126345784032	7.06655930542598	6.56603849290612	6.74574010142168	7.75073600661634	6.54159201507236	6.6740617974833	6.12618795819006	6.68943716788661	7.5488151082018	8.08260525837992	7.63858961316755	7.98309279717299	7.25812691516219	6.86520097507401	7.81281117919032	6.865590926725	7.83401405743121	7.45481676644003	7.44514847404397	7.53005589571803	7.36958445589714	7.22718997672305
