ID	S2P2_F03	S2P2_G03	S2P2_D03	S2P2_E03	S2P2_B04	S2P2_A04	S2P2_C04	S2P2_H03	S2P2_F04	S2P2_G04	S2P2_E04	S2P2_D04	S2P2_H04	S2P2_A05	S2P2_C05	S2P2_B05	S2P2_E05	S2P2_D05	S2P2_F05	S2P2_G05	S2P2_C06	S2P2_H05	S2P2_A06	S2P2_B06	S2P2_E06	S2P2_F06	S2P2_G06	S2P2_D06	S2P2_B07	S2P2_A07	S2P2_H06	S2P2_E07	S2P2_F07	S2P2_C07	S2P2_D07
SLC25A4_9857	3.9976500039068	3.56207616987892	3.78639194355618	3.26799013673847	3.38601413138152	3.29182154216017	4.10390806735903	2.82273232127786	4.01531039463184	3.50300399145704	3.99039975195686	3.56017876561999	3.58359050288776	3.83791757529736	3.3194856884958	3.63665662445615	4.13754247553507	3.33823182633434	3.69675959541214	3.73797955550592	3.280681292077	3.06407472885532	3.41970923420989	3.93889684471377	3.49550114894922	3.27212248866759	3.16746593672401	3.77262990079489	3.51454085916529	3.37984378254817	3.3262352079211	3.74704949397034	3.37332688506416	3.30548537456432	3.68799156020819
RALA_9654	6.65572952521653	6.05667728647066	6.29671341792932	6.55947617830173	6.51980220493823	6.28434657169214	6.19870685419078	6.22139059267205	6.68511765500404	5.85225773148977	6.36777140385487	6.34935271105099	5.60523713406354	6.32164319635709	6.34351645995026	6.32942879247982	6.3883370796699	6.37543652376705	5.62383005038455	5.64376411507955	5.89895260276968	5.53161358661545	5.38832374054703	5.80260703941206	5.62377531211896	6.15122263757425	6.32279811956437	5.42668006868828	5.54536791060794	6.72587627876764	5.13322048462739	5.76267008838351	5.98297641063343	6.0688280371027	5.99122212365328
NEFL_9295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5A1_8108	4.53816938628994	3.684524566242	3.5009299861569	4.01886400879126	3.65020887594789	3.29182154216017	3.78507343999163	3.55097538787177	4.01531039463184	3.05083991376189	3.27345231181445	3.23581586972809	3.11038683533572	2.74413761804305	3.25630402352447	3.02177002401575	3.23528933798112	3.10344865621663	3.01640450514464	3.26340903554107	3.05387483108392	2.96800500297062	2.98722514886239	3.20514242743002	2.61806044205566	3.19152729835449	1.67617033959754	3.30260193865101	3.26123359405282	3.01027958961731	2.97274197870268	2.75177893152648	2.33592096736556	3.64390266051635	3.20002199010866
ABHD4_7950	5.11178120603162	3.2280357950295	3.9104031499929	4.25461369556672	3.87342953966284	4.31910778995299	4.33472274948247	3.86586296480945	4.33471536191044	3.29456436684874	3.8192092659052	4.12178920629388	3.36630365604271	3.75333448234933	4.30900891081602	3.95038211173348	3.46647167391331	3.91690251581746	3.23590140954607	2.87938514880501	4.02818580439531	2.59182412887211	3.37222635625588	3.1026428132866	2.96047443576069	4.0658017837704	3.10189190410478	3.1393625988015	3.26123359405282	4.06993399066424	2.94384266939525	2.94324310278785	3.01529777267298	4.270237018766	3.5645701456083
DCUN1D4_8444	4.9088323670024	4.40784843008395	4.56719303562947	4.9354112301191	5.01364035513352	4.715962207099	4.53365241265792	4.18213380208549	5.14358766081926	4.21910911113316	4.99545061910461	5.15161405111505	4.56816446673548	5.04561590466435	4.86950389594392	4.55114299942526	4.99380365019109	4.53188979576367	4.04549744721358	4.43103315035543	4.39425181742343	4.02373502286877	4.02190985698416	4.25787422517394	4.00059367525736	4.9866836918667	4.5083166362331	3.90050499385818	4.20810862626883	4.96556116103109	3.64626704473318	4.24209547619339	4.28335418637853	4.47061467728506	4.4682430724783
TCFL5_9994	0.539785474576025	0.431619123480803	0	0	0	0.350266667421942	0	0.440796567871731	0.653041040674997	0.74661814449958	0	0.517854781979054	0.246404860600186	1.06052717673537	0.279629341759767	0	0.303119671222984	0.283319284089599	0	0.247332965983921	0.305241668007031	0.238289195880436	0.759537140217916	0.507578098899058	0.269715018885819	0.336219840820973	0.262573650357151	0.508159843424838	0	0	0	0.309150543868479	0	0.334994714226659	0
CD44_8248	3.57169524636065	2.16590040883571	2.358509226871	2.10056547886526	2.31955540701081	2.50373952181178	2.27370448236441	1.47859281975308	2.14889373385204	2.24129202156707	2.44517984656849	2.57675987068692	1.60820404281924	4.37947587454131	1.99796494859179	2.72486511217619	2.0141851689011	2.2292366681223	2.44153079272252	2.12637589934789	2.68243594929878	1.73756100795648	1.62238791181771	2.19664594265973	1.40302623848364	2.14135989802695	2.2608445055592	2.74419817634772	1.34117499340631	2.88461567472442	1.80364312053912	0.967841395104187	0.814867978043173	1.62806539242167	2.14873943600286
COIL_32558	2.06222338697239	2.04918385411232	1.16254550671105	1.40293347722446	1.81603706452774	1.79625142717694	1.43548211486809	1.6526569276448	1.44224709257005	1.82454657126869	1.6883897109614	2.22357984330885	1.51726232160256	1.39426184138536	1.83454767350506	1.65904357267574	1.2647508278856	1.56214469543532	1.22011535726353	1.3196675098603	2.02259252452689	1.28495480689052	2.04203605443808	2.44027367873075	1.15925327415254	0.837808589942319	1.26142111746358	1.42703751747865	1.65397998546994	0.741673925304429	1.5964309139329	1.54192306676836	0.814867978043173	2.22008815110694	1.96570381656072
DDR2_32999	0	0	0	0	0	0	0.512157435924069	0	0	0.22584717917273	0	0.282039181396673	0.246404860600186	0.346444522692796	0.279629341759767	0	0	0	0	0	0	0	0	0.507578098899058	0	0	0.262573650357151	0.276338826115344	0	0	0	0.309150543868479	0	0	0
MYPN_32601	0	0	0	0	0	0	0	0	0.363159477368338	0	0	0.282039181396673	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336219840820973	0	0	0	0	0	0	0	0	0
