ID	S2P1_F01	S2P1_E01	S2P1_D01	S2P1_E02	S2P1_H01	S2P1_G01	S2P1_D02	S2P1_F02	S2P1_H02	S2P1_A03	S2P1_G02	S2P1_C03	S2P1_D03	S2P1_B03	S2P1_E03	S2P1_H03	S2P1_A04	S2P1_G03	S2P1_F03	S2P1_E04	S2P1_B04	S2P1_C04	S2P1_D04	S2P1_G04	S2P1_A05	S2P1_H04	S2P1_F04	S2P1_B05	S2P1_D05	S2P1_C05	S2P1_E05
ANXA4_32944	2.84598425053994	3.07118627245485	4.11312495711715	2.9964989774294	4.15658588442684	2.51705524197649	3.33947754437712	2.47108356995395	2.84244501829713	2.52015457445691	1.33345314707843	2.31125471744316	3.44230795836716	3.63262329422111	3.71066007630914	2.60521683463754	3.84282482935618	2.87830289288654	3.9581176270603	3.49042814786875	3.81615767183682	3.48721373937202	3.16247443364725	3.10100699883599	3.83755693838376	2.46803631880163	3.14203816818137	4.56717630684958	5.49149064749795	5.59688002942413	5.14076695614343
SMNDC1_9903	5.83598284329794	5.58183515157765	6.52026089608181	5.71559464797191	6.68856292432342	5.66115999895743	5.905970960326	5.65056854066982	5.54165108368205	5.81710804495141	5.84854567301378	6.02393950465901	5.84038154309628	5.84974197237318	6.50364287689457	5.35587016740504	6.18152323119197	5.82240915140243	6.23346038512717	6.35356141676889	6.41457742927595	6.46534239064696	6.03986380256676	5.72240753634771	6.33921398762698	5.36677099379175	6.30186554075395	6.43642016674158	6.6000632095024	7.01951986058458	7.16402240615453
SERPINA3M_9809	11.4261700457443	11.2254859425558	11.7434777964974	11.1084895778617	11.9185599592024	11.1061258259803	11.2030225646295	11.1547325439043	11.0165190031949	10.9975956997881	11.2150599003645	11.4713056661712	11.4035943542356	11.3608042264523	11.9785008882822	10.8195437120692	11.645492382372	11.1498377109504	11.4514022625165	11.4849726767327	11.4240121568559	11.8095869726782	11.2932961508537	10.5813844487299	11.2514497333268	10.4454984318519	11.2633485578328	10.886659434602	10.0291089607655	10.6089227829414	8.8502106805565
COL5A2_32669	0	0	0.454776372790504	0	0.36213632753897	0.558181927816432	0.918377773044174	0	0.560515232525823	0	0.464681694913012	0.731638775922882	0.791711314684877	0	0.710563571891122	0	0.415446849331279	0	0	0.295759429275641	0	0.28370444941898	0.661725627720809	0.395984739854526	0.247648084295451	0	1.33762933626545	1.65437073038951	0.819685185876578	1.64848930404036	0.812432637762676
LSM6_32830	3.94890410714481	4.37474116304084	5.05483196994596	4.60633527453517	5.00453415515124	4.34829712622508	4.2154674627704	3.50482254738662	4.07943443270998	3.99439771305	3.7592009963022	3.72461734536143	4.03154169977105	4.4186807923305	5.14437010245328	4.23242309108277	4.68339701082147	4.43607863612215	4.65015653580702	4.85729977860394	5.22759855607699	4.73570414910331	3.88492782616432	4.406931086948	4.68479869751303	3.86776853309346	5.05595098995285	5.35363389921142	4.98189063934376	5.38472298859538	5.86959833695003
VNN1_10157	7.91390991146281	8.32716005107365	7.43416647693802	7.50959584090256	7.97941823248589	7.30232781224095	7.60746039836737	8.63715957493344	7.38729304214185	7.98162303642273	8.47082949918156	8.59524312452122	8.39012794602554	7.62403301540397	7.71692115190647	8.11391715670509	7.34592254534582	7.50403815306005	8.02705406692921	8.03955343327278	7.90415635702925	7.06372350261145	7.81789088188549	8.71031439614177	7.60325491553121	8.80786180702819	7.9776192011963	7.94706056009389	8.74942674706242	8.17714794211946	11.5189914963221
H2AFX_32900	0.498418535332342	0.769944299578219	1.31166665296001	0.852362438869435	1.09849444995027	0.558181927816432	0.289831194825497	0	0.560515232525823	0	0.815596486210533	0.411710543434033	0.449496241494295	0	2.06426766069737	0	0.87521330436853	0	0.819977342525647	1.60775818737461	1.44156592769083	0.724169881886706	0.661725627720809	0.395984739854526	0.458948934291537	0.341008005651903	1.10132572243789	1.34152167886149	1.54228380865949	1.5467323335641	2.33139208763639
VAT1_10149	3.60192615758417	3.98270002257247	4.69087591659743	3.87703101928083	4.85609546981313	3.17488781250514	3.84296211531181	3.47237244118544	4.13896627309872	3.33750130190074	4.08411015351977	3.68811725132045	3.74729649767789	4.53075811244796	4.82614471687847	3.38449950873092	4.34733109038937	4.03145807389183	4.30390985779395	4.11954129123516	4.69400265003459	4.46464941753001	4.30867759626708	3.8660322154734	4.32923427851186	3.36910976298358	4.67968434102333	4.58572996381009	4.94653489645988	5.65305135154797	5.30614111550857
TGFB1_33273	1.40634981657571	1.04110692232481	1.84558735315071	1.65438050918295	2.3203659775483	1.27335927476254	1.47507337786463	0.324785051998394	0.775845947931599	1.67176763519751	1.0976367738712	1.40670567992253	1.29997923748387	1.91241085654841	3.39871274236331	0.44699946947668	2.17119815369976	1.64044302958667	0.819977342525647	1.60775818737461	1.92172279725369	1.56357282592217	1.23752619101055	1.68297065625623	1.8566990299368	1.22231394406266	1.95001815973992	2.31871603420614	2.62384121099838	2.71174483733078	2.09651061136562
FAM20B_8600	4.19628402719227	3.95015865016054	4.3146303629001	3.85042435272001	4.03630116622333	3.78189872905281	4.05092008065847	3.89591136753563	3.60379862970153	3.81928836721078	4.40194992884842	3.89443061954804	3.96555656644745	4.37129268671243	4.9501339581395	3.92266237980258	4.26207890665551	4.47093736965564	4.35875814316115	4.61091796264534	4.76401525047721	4.14839557503803	3.80708830106919	4.19937658079393	4.50610188320764	3.84117449809757	4.4843311757461	4.25575597710566	4.52320738751604	4.62638513940211	5.13042259161655
NRP1_9366	4.5666038626529	4.64252449812139	4.01733259681869	4.79952766615205	4.60862467737013	5.16826201475815	4.42423315435336	4.48932549196206	4.43653620433447	4.12063012681642	5.07386754937216	4.28500845635709	4.65117691746911	4.92464617741226	4.57966030186518	4.76290960517264	4.5764769042553	4.40035673875357	4.67197857759523	4.54213640891912	4.92548480414364	4.58709857418163	4.02903828652849	4.95442235966342	4.7159731225824	4.81749078984725	4.88004973293656	4.56717630684958	4.66046149879353	4.62638513940211	5.1612357970358
HBA2_32600	6.40549594174206	6.7527271586081	6.47890292251706	6.99386035134812	5.95559520466895	7.29366598911698	6.83606411214953	6.60279606900848	7.05004933835247	6.71200748855043	7.50990265874659	6.64022139925152	6.78533398704739	6.82843273420135	6.6570910334997	6.79977947066637	6.22400721723676	6.59726453038507	6.96568363043524	7.10824892702005	6.88943256563742	6.67623273313022	6.58288284970476	6.86148176462115	6.29516810782166	6.17379149624718	6.67776622770534	5.6465633329366	6.34226901008824	5.42112283821914	3.7658355583912
BCL2A1_8136	3.39111823274602	4.3248470707554	4.2598710409319	4.4378498766243	3.66657929337653	3.92337510309441	3.92977420811622	3.43917561657452	5.4348559713231	4.12063012681642	4.50212256801486	3.04714861795916	3.53621918420682	4.69373152897372	4.75991071956035	4.17556443884935	3.27448597008019	4.50497367108105	5.08369271820861	3.73190795361161	4.19975647838409	3.87685545814551	4.04608056399218	4.19937658079393	3.98133498317961	3.54419495053661	4.27264145021697	4.38849272936381	5.98525438780215	5.20433133738939	5.38657606221232
MYBPC2_33202	0	0	0	0.343106448314519	0	0	0.531063959150216	0	0	0	0	0	0	0	0	0	0	0.612969444817944	0	0.295759429275641	0.280385537902126	0.28370444941898	0	0	0.247648084295451	0	0.466589736999328	0	0	0.279180272867679	0
