ID	S4P1_C06	S4P1_A06	S4P1_B06	S4P1_D06	S4P1_F06	S4P1_G06	S4P1_E06	S4P1_H06	S4P1_A07	S4P1_D07	S4P1_C07	S4P1_B07	S4P1_E07	S4P1_G07	S4P1_H07	S4P1_F07	S4P1_C08	S4P1_B08	S4P1_A08	S4P1_D08	S4P1_F08	S4P1_E08	S4P1_H08	S4P1_G08	S4P1_A09	S4P1_D09	S4P1_C09	S4P1_B09	S4P1_F09	S4P1_G09	S4P1_E09
SLC13A4_9836	8.55509241479393	8.17741762482895	8.53623306538423	8.17222363675852	8.33450945227469	8.74245461871971	8.16364011463801	8.13302048686204	8.56261595713694	8.38484062312163	8.28377002240501	8.38035242730354	8.25636659193959	8.54542437200181	8.13645164704721	8.57550727866234	8.741293351791	8.50082753858924	8.79866957137332	7.81719362231841	8.60256909212827	7.28512784647325	8.68998491181694	8.28178269660501	8.73085597569292	9.06260024218215	9.09064707558567	8.78588947676336	8.90701720093084	9.00788367785271	8.74971725716779
CEBPD_8283	5.7730391169116	5.26795734829818	5.29184182477019	6.23603967781034	5.95324707314398	5.57780894150941	4.98563516803075	5.1169454705893	4.66638134404841	5.88974593642912	5.44844022725794	5.43076575058595	5.10690663356346	5.60332565443657	5.37823971196544	5.15579786682605	4.85174822731961	5.43281399970837	5.37583741457374	4.9021802784443	5.0639767749871	5.43392506065987	5.86612871914758	6.58153156981715	4.6333524376489	4.43788057887597	5.15405248749618	4.7295249651017	4.64108969533215	5.39361844474432	4.71211884546514
INHBA_33300	6.50635592644422	6.07239587148407	7.22899574844789	6.20190550205458	6.30315895312869	6.81564799576488	6.39715806765673	6.41371107964475	7.14732584858213	6.60401242926797	6.70472502702312	6.73864078821568	6.89509092501584	6.93077183898779	6.21417097725165	6.84977870799452	6.61265555810611	6.88140966019869	7.06889947299883	6.80340146756186	5.96107467638084	6.27435285209365	6.31993119561874	6.55839476280147	6.70839441111555	6.55969369565851	6.67050214361504	7.02309728115493	6.49974670862495	6.86575844967719	6.82082191577684
GFOD1_8704	0.284782330520681	0.233126894005799	0.545902522263914	0.769762367729251	0.527804488484283	0.664057052441047	0.503303160741733	0.419020673337272	0.485315229697247	0	0	0	0	0.522893030395821	0.527289709182807	0.282804523039761	0.486538203930919	0.516587891955894	0.214335977593223	0.837099357792728	0	0.478016293441377	0	0.686582139395432	0.783898398247484	0.486902893001761	0.276214114211399	0.558530488266613	0.725295530307664	0.353078275994348	0.719353835200353
KIF11_33013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOS1_9918	5.52897364926397	4.45089351869488	5.19553799379131	4.98490912391775	5.08360246201912	5.10090786870857	4.91752081366814	3.96904500847105	4.59656065724534	5.01326937426048	5.27174005743987	5.13967885097832	5.02881676064253	5.05856280571443	4.89138241991864	4.86554653591249	4.97645513355412	4.85732955359098	4.67276364314668	5.4805313262086	4.95967313930195	4.66421470350315	4.84523819719017	5.17169912698778	5.13356224125565	4.90222721902928	4.98170910876151	5.27878264638354	4.80738357598208	4.97733197154552	4.5622763567955
DHRS7C_33024	0	0	0	0.234191326905173	0	0	0	0	0	0	0	0	0	0	0	0	0.263682812985315	0	0	0	0	0	0	0	1.39176690167474	0	0	0.773281097166287	0.521546135358693	0	0
SLC26A1_9859	7.29089854935264	7.91555422322751	7.40178100840611	7.78416239379452	7.67225937078576	7.61427929795986	7.84663695764335	8.19737918963404	7.73160899535217	7.39223099528472	7.50756616928782	7.49059980951784	7.29364177902415	7.65468356617789	7.28009051503251	7.66721598825814	7.27251986595337	7.30521591273364	7.61180912848891	7.80709673873714	7.51554240901968	7.34561279584005	7.29560645788082	7.58547039562595	7.20653772627282	7.30525068059797	7.3879233942398	7.27726385868351	7.49871793796745	7.2751197305111	6.91913965748227
PLOD2_9506	2.01976249022385	1.99329575148502	1.10422487153671	1.46596000435012	1.68197424559445	1.29943851184256	1.03113970614901	1.59555995691342	1.58470209318797	1.85912740498831	1.76424816809698	2.62131896119967	2.29008603297043	1.20820565944155	2.60265166476674	0.900126832939789	1.38090429486727	2.62452528951337	1.54697477577938	1.46963759723613	1.43123971272125	0.987006478481716	1.94161474400459	1.6476051623076	1.81812244883955	0.850292356869777	2.19761934628279	0.773281097166287	2.01736961878867	1.07664954930893	1.55548898116813
EPHX2_33282	3.282300110218	3.54820997500951	3.66996793081298	4.10557292780275	4.4869764818378	4.42348605834053	3.82271378360181	3.69646102460126	4.08709519342236	4.0045548818637	3.89747489557901	4.35049686121631	6.88245931421298	6.87816842379081	7.30244153986309	4.84395176428366	4.35419307559441	4.46583234686235	4.31469921264017	4.1783473834877	7.13286825212886	4.04585136442217	4.51696922996041	4.48099607888043	4.30496400497584	7.78124012817158	4.35142887224962	7.57246306893737	4.57672614074396	4.65097279855847	7.76526216006099
