ID	S4P3_G01	S4P3_F01	S4P3_E01	S4P3_D01	S4P3_E02	S4P3_F02	S4P3_H01	S4P3_D02	S4P3_H02	S4P3_A03	S4P3_G02	S4P3_B03	S4P3_C03	S4P3_D03	S4P3_E03	S4P3_F03	S4P3_G03	S4P3_B04	S4P3_A04	S4P3_F04	S4P3_E04	S4P3_C04	S4P3_D04	S4P3_A05	S4P3_G04	S4P3_B05	S4P3_H04	S4P3_D05	S4P3_E05	S4P3_C05	S4P3_F05	S4P3_G05	S4P3_H05
SLC25A14_9851	0	0	0.638624705550639	0.571203101928492	0.518301028993236	0.650215678294922	0	0	0	0.224162320705574	0.637016277490468	0	0.273348059562605	0.462815082807644	0	0.267358712609819	0.566621809317953	0.717047418770206	0.273217632402907	0	0	0	0.760506972856313	0.452608849565143	1.30210822680669	0.743324399270676	0.733830229779362	0.282567248807105	0	0.644668258686077	0	0	0
GNAS_8728	11.0301454767155	10.9911014316575	10.892507064514	10.9955456141416	10.9934403556345	10.9233974207378	10.9289003044311	10.9778359577726	11.1534572240262	10.9163448600993	11.0681426141712	10.9583174430423	10.9996182455535	11.0220588856208	10.9114494064457	10.8965669444133	11.0431437261471	11.0222822940285	10.8192367981827	11.0501900953726	11.0138415399183	11.1266048545741	10.9333555412164	10.9344763589774	11.0630173620398	11.058332684374	10.9435184235197	10.8912674467944	11.1250995558294	10.9171991085069	10.9789164002016	10.9578618034688	10.8732434712414
TH_10010	0	0	0	0	0	0	0	0	0	0	0	0.270504973534651	0	0.462815082807644	0	0	0	0	0	0	0.281562088215497	0	0	0	0	0.292400458033368	0	0	0	0	0	0	0
OLFML3_9391	0	0	0	0.571203101928492	0	0	0	0	0.562696287490685	0	1.07739289125743	0.270504973534651	0.273348059562605	0	0	0	0.310951682974139	0	0.273217632402907	0.757869599947027	0	0	0.429795815719251	0.634843302331267	0.370920786122743	0	0	0.282567248807105	0	0.248283740295814	0.577849090361942	0	0
HBB_8782	11.4438097832583	10.8095110993522	11.6800825680262	11.4720638088733	11.5334242277123	10.9076615086581	11.2053625933795	11.4653895515417	11.6319533102205	10.935665095176	10.7385290424132	11.6218573230292	11.3867609062288	11.296716703694	10.5021393074184	11.212723413716	11.6361329862198	11.4954653108186	10.7587175847685	11.0183431237546	10.4470811660582	10.6907897912713	11.2423794925899	11.1114257863732	11.3783902540708	11.0713457688925	11.1713010200708	11.2481795874973	10.9726328569641	11.2836766809264	10.635438783622	11.0026805633769	10.4253661875608
CSK_8392	5.78852835301071	5.97851493189415	6.14170953583537	5.95898232052292	5.91218652265515	5.95247567341409	6.00003792427815	6.11122026308389	6.263922806923	5.80653832378788	5.88963196348353	5.8089873148334	6.10866374643297	6.12593176012083	5.79421218414544	5.7422590736343	5.72665583214372	6.10014744528718	5.99454669221835	6.26263534009705	6.18089199890596	6.18758129290284	6.17280346902038	5.93233463221982	5.93313529620148	6.14719118639851	5.79677921925312	5.65952088131646	6.03828275415119	5.74872697738638	6.12351727832966	6.12389075630286	5.88447999635178
PHKB_9472	2.55354260368156	2.53966280286766	2.29216637803376	1.77770811169756	2.629289178244	2.14287633105739	2.710205387327	2.47647214323349	2.40415210898033	1.8834569888692	1.68725712790729	2.52187717719254	2.63580890100527	2.46955829870137	2.00232961210989	2.39934812221579	2.34736454766814	2.40383923798974	2.31077709078352	1.6196361123826	2.34899584108281	2.96083672819055	2.4624601739458	1.98115918956673	2.89722384179254	1.88600981563154	2.49603773472761	2.47079878970443	2.47803277149896	2.19158531645839	1.57070043247002	2.37409470815573	2.75425089492719
DNAJB1_8478	7.23459069923756	6.69641109420808	6.96781748996853	6.76605417850179	6.83610214682702	6.57774399040022	6.78621630597539	6.78420548883569	6.97706347783561	7.0103680517071	6.93090166079726	6.97699771757251	6.68664049296859	7.29305900737348	6.77868728238526	6.88102453041051	6.90472156786221	7.11438449024195	6.89999822275357	6.95950574767956	6.72435004348385	7.06564085054774	7.03497602244265	6.82053472042041	6.75502031531321	7.12309288217804	6.61509394639745	6.51812231075777	6.97855313248654	6.96296252785407	6.95886438353485	7.17745805611349	7.09922873012026
DDX10_8452	6.54757442566213	6.67391180809167	6.73877357462016	6.67982170053454	6.72258556518913	6.64495347602286	6.81878651045049	6.8819480504737	6.65390070372559	6.74014843338088	6.91771431571835	6.75257625872009	6.91578130375296	6.89719688177252	6.71817979817187	6.61644996213058	6.75854949825307	6.57955304399911	6.79284976168621	6.84566108984949	6.78199172302395	7.18607835884073	6.86499446225389	6.62702498107124	6.8386979018566	6.80722720549513	6.80671217568665	6.9729440506582	6.90225554362153	6.9300140772904	6.92417280747176	6.88453585490157	6.85724008923736
ATP11B_8102	4.30649147094859	4.17937824577767	3.53356864009074	3.96096221551694	3.56153254515588	4.08264114498013	4.09832107268091	3.84246259715002	4.10592284338997	3.69320989873154	4.14186505439622	3.86900052664017	4.11032420700227	4.31552452346537	3.89771452640169	3.87197677297483	3.59265849664074	3.94284491877266	4.00108248138602	3.82057140152191	4.23934860500679	4.37302848045486	4.25143368106014	4.10555739302525	3.6698337484186	4.08338497788334	3.94167449532119	3.73686182802212	4.01415072480616	3.95047590934884	3.70810388987818	3.69539070982756	3.98379328911671
HSPA5_8844	10.1522469449117	9.92073344147838	10.0309385853224	10.0304936359991	10.1132277065629	10.0288941674054	10.3170168791852	10.3743977401092	10.3756546115841	10.7401153643294	10.7277074900956	10.1716934905729	10.1637754575336	10.1148240937046	10.1222057621072	10.1311151057147	10.4812771764227	10.4507777105116	10.6378162720157	10.4005149732516	10.419423271951	10.5062318448753	10.2889221040876	10.3718487457119	10.4136111919878	10.5131313117227	10.5033577484923	10.210295806558	10.2033119142409	10.343215646572	10.1559918716259	10.3589966003056	10.6683596202258
