ID	S5P3_C06	S5P3_E06	S5P3_B06	S5P3_D06	S5P3_F06	S5P3_A07	S5P3_H06	S5P3_G06	S5P3_E07	S5P3_C07	S5P3_B07	S5P3_D07	S5P3_H07	S5P3_F07	S5P3_A08	S5P3_G07	S5P3_C08	S5P3_E08	S5P3_B08	S5P3_D08	S5P3_F08	S5P3_G08	S5P3_A09	S5P3_H08	S5P3_C09	S5P3_D09	S5P3_B09	S5P3_E09	S5P3_G09	S5P3_F09	S5P3_H09	S5P3_A10	S5P3_E10	S5P3_B10	S5P3_D10	S5P3_C10
ITFG1_8921	9.43930351135119	9.60414490892224	9.36757354899819	9.35861702237367	9.34833599122284	9.24531002175505	9.39768311512351	9.63300572892666	9.72853305092197	9.42875288474129	9.46872199324854	9.26958246124994	9.36623542644345	9.22579776418368	9.29697373076271	9.47142047198707	9.33072635013768	9.43937378502493	9.39653659563245	9.42515359533443	9.30648938137812	9.37434976444479	9.48784918791603	9.17227949765962	9.3973555855156	9.16522947169993	9.24077954316869	9.42398633766169	9.24760924230932	9.16872509696192	9.37633162168735	9.26609519701423	9.49754557719857	9.40533241644091	9.37533250100116	9.13465401962574
COL8A1_33062	1.53681748090131	1.77491844753645	2.07224305189462	1.00746869097505	1.96589146017999	1.04342651802593	1.4323869832305	1.31715006665379	2.33113672725761	1.5401855712701	0.765015767557591	1.53187757733122	0.765138565928505	2.10720288313021	1.29466550969582	1.13581286505988	0.55027634557686	0.743264891095307	1.59446377123756	0.290624693597209	0.804371241971606	0.502350546914845	1.49391133033243	1.17966888952166	0.423241609448328	1.0990561156646	0.955565102913972	1.13092894292951	0.931398569177174	1.91793598177935	0	1.61679508010424	1.19436224510256	1.05650580858675	1.47644426575717	1.78093551876268
ADI1_7994	9.32479885442145	9.35319429777029	9.08600965103269	9.47840229474719	9.01984308237044	9.29915580510775	9.2170845840156	9.12106745343066	9.3079166724825	9.19920148815574	9.21338434347209	9.36164724279786	9.23784203116221	9.36862867558774	9.06026470004502	9.30865214399714	9.00857805360399	9.18920827482136	9.2114211159791	8.9463582720676	9.12682530626285	9.03211136216571	9.27047569906268	9.07002719908482	8.83120971559748	8.86726374530598	9.11750003895701	9.01064764151091	8.87367765945116	9.09793861424479	9.20041080429362	9.13433572660962	9.37131931103225	9.12957149243453	9.44954714970235	9.32987943978286
SPTAN1_9932	10.3098462306189	10.3119692749306	10.2564961385721	10.1816767724577	10.421469167967	10.2995294928913	10.3453202236374	10.4767555989201	10.6369629178709	10.1418143380995	10.2352329627471	10.2581433778454	10.3914273582114	10.2434185924466	10.1311084898128	10.2607574885574	10.2578270241452	10.2179436123757	10.2233375935008	10.0857659913068	10.119093826373	10.1850376196895	10.591972034363	10.2677760345601	10.1617944651661	10.2982767159729	10.3186469680196	10.2481944501827	10.2531398990309	10.336158827119	10.2733424708177	10.3659955214444	10.2733024672013	10.3144450040853	10.347189726226	10.2661155764252
PFDN4_33123	9.41079849941521	9.49554076999877	9.41211361879007	9.51472433053407	9.44073729037171	9.31606657099286	9.44818172546703	9.46777246447704	9.4934974269478	9.37015444660988	9.22410953521353	9.48721143282291	9.40198006884195	9.30779381703873	9.41274452724927	9.35884743568912	9.47467986592979	9.45700490013531	9.3420653190432	9.39295009903418	9.3555308793653	9.44416119666084	9.26804881218899	9.38869776595756	9.47267091930357	9.43652712502638	9.41118616596988	9.41496069461583	9.4599393381736	9.46283465685396	9.48228601232477	9.48995102187978	9.41417948864508	9.59907530192236	9.37080764407452	9.4474635778626
S100A9_9775	5.39296567542248	5.79439505989711	5.51965514972018	5.4408189263694	4.65656320275569	4.97760591305265	4.81674626002982	5.65039758193912	5.2124113429564	5.34332329692651	5.66267801756728	5.13130737421338	5.43313209386255	5.53892862123313	5.04310055482206	6.13239588674309	5.46551917382718	5.04986673841814	5.16542334298861	5.35569974736581	4.83876156246663	5.81754919123099	5.01791145298071	5.5169534999308	5.38930718893908	5.44253858081496	5.65964314699064	4.85029594964169	5.46972860942706	4.82400751648251	5.17243748336376	5.38974601293274	5.60502458761446	6.45386336405181	5.78326878217808	5.10495353503237
CAT_8206	13.2939833754039	13.239752680798	13.464228516454	13.2796332114249	13.3966077149771	13.4022109086655	13.3510672432816	13.3298037719523	13.322315061741	13.5122427020873	13.3668820680549	13.3673257985167	13.3841451786497	13.3097379944389	13.4660285050673	13.2520016171039	13.5405769433941	13.3560555888245	13.4872526753925	13.4839667101667	13.4006951968416	13.3660348892738	13.3907384373688	13.2634512560372	13.3516916584892	13.4472871590654	13.3564219787052	13.5806198897158	13.6138782910339	13.3846880634746	13.3395630897672	13.3628890450026	13.5351982395188	13.195594698248	13.1132894732686	13.2864068283747
TRIAP1_32347	9.25210619186438	9.23638642328252	9.23453572671855	9.31694310786071	9.29704211002829	9.03232184899994	9.2837676118205	9.12877684549092	9.06776130268078	9.21839356648331	9.19513866156205	9.16174135182365	9.15529100074208	9.16542591175456	9.00080168750459	9.24103000669511	9.06094543219208	9.18253028192126	9.18754045637922	9.14766739268122	9.08182952991488	9.19116765582465	8.86507572778579	9.08556597490561	9.12435731527477	9.12033978716167	8.96449751855801	9.14468528980674	9.1438541461495	9.12092236833349	9.13026349458516	8.99517771262683	9.12809027131722	9.19150204387333	9.17263649244554	9.05286819891755
SCAND1_9782	10.2236502796134	10.1757057872832	10.2283053057228	10.2840135838681	10.1632235490405	10.0946321148692	10.0523775263644	10.1673347550539	10.0540861556999	10.1829538339371	10.1736660724474	10.3237598323427	10.2113321869711	10.3920172903707	10.1661993416904	10.165824422549	10.3420465483616	10.4040614412852	10.3454398818518	10.1809204338386	10.1338644173762	10.4521612454561	10.0317616144935	10.4276654348594	10.2074380253993	10.1396391558348	10.1992350212973	10.1698813829617	10.2917593045117	10.3351246960859	10.2427439883262	10.0695347112095	9.88481758198296	10.0426178939835	9.95482765736987	9.98567611703409
NUP133_9378	5.08191183081564	5.42303450385104	5.38141918584885	5.42394105149529	5.43919241155932	5.32178583192059	5.45807456275731	5.50632498436631	5.8965224993777	5.36853233948175	5.56659523956652	5.20714183376268	5.36945773450654	5.52171525516395	5.28634258950826	5.59389822531715	5.4502771714538	5.15366769000306	5.38417732314937	5.24119254866998	5.43613259681864	5.52958281274513	5.64518038685147	5.5169534999308	5.38930718893908	5.22188519661515	5.61194827773232	5.11094437715075	5.48441941823162	5.2759622497379	5.735236992536	5.20807146514875	5.43283565699037	5.36547650054362	5.29742420169047	5.54217009818469
PACSIN3_9411	6.0126955035029	6.15958138582091	5.78777804732461	6.10214376684975	5.96628666048888	6.07863336127829	5.83452551902936	6.24006050292248	6.01960482563846	5.98319680855954	6.01964608904192	6.09569100025763	6.08580728680274	5.84601900432172	5.9884040221299	6.01040925863924	6.02419844919316	5.98763031856261	6.23935629251135	5.93677563793148	6.09116255670801	5.99761887556327	5.55249659207301	6.10469902919659	6.03953448261678	6.0859704722898	5.91117299955388	6.05935178465152	6.07567863014615	5.93017454517331	6.08489229667062	5.8174624791953	6.05983676488996	6.00996108983885	6.1400057225315	6.06895631921092
RGD1565356_32319	1.99571245964077	2.42221576550824	2.73792302827128	2.40439028747203	2.76830723181082	2.39079661488933	3.24711400078247	2.73738158149408	2.79533462199536	2.40428133820651	2.95619723177896	2.51829542822823	2.66972708673107	2.19669012201742	2.3554118933319	2.80469728240543	2.99376356262208	3.11073258762875	2.3849519849969	2.56309359248863	2.31635355794314	2.18282463078609	2.62994962599402	2.71525431454879	2.61213002842076	2.5353086904405	2.10019957021377	2.33513736293745	2.9215597671875	2.43290573034888	2.63098350149022	2.47177151217671	2.46192864118081	2.25689224833851	2.85582478149676	1.62686872951061
