ID	S3P2_G03	S3P2_D03	S3P2_F03	S3P2_E03	S3P2_B04	S3P2_H03	S3P2_C04	S3P2_A04	S3P2_D04	S3P2_G04	S3P2_E04	S3P2_F04	S3P2_B05	S3P2_C05	S3P2_H04	S3P2_A05	S3P2_D05	S3P2_E05	S3P2_F05	S3P2_G05	S3P2_H05	S3P2_A06	S3P2_C06	S3P2_B06	S3P2_G06	S3P2_E06	S3P2_D06	S3P2_F06	S3P2_A07	S3P2_B07	S3P2_C07	S3P2_H06	S3P2_D07	S3P2_F07	S3P2_G07	S3P2_E07
GAD1_32823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC691496_33185	0	0	0	0	0	0	0	0.267831392086615	0	0	0	0	0	0	0	0	0.256589206137267	0	0	0	0	1.17257248695109	0	0	0	0	0	0	0.254233794429203	0	0	0	0	0	0	0
INHBA_33300	5.93270287929682	6.11422018262036	6.7842349881795	7.09813850460153	6.79368929352555	5.94437255671105	7.10389466051005	6.44437869907962	6.39982191085285	6.10669547055307	6.41654741147372	5.51941210177635	6.14696582950992	6.91776003705356	5.20903334006597	7.14813607188351	5.8636260792619	6.81419867654805	6.35379747048201	4.70004902544239	5.07229768114029	5.00179259735349	6.64147884244984	5.24230793494547	5.89562576889865	6.71260546392593	6.44724262321396	6.26282262275835	4.91159681876997	5.33706779567746	5.74345479527766	4.66644097104211	5.18809597483347	4.21203757961781	5.28885345309554	4.65108359980195
HSPA5_8844	10.4650435400817	10.3579432877074	9.82139892172924	10.3438112465112	10.4813490907185	11.1741583841326	10.0632655885594	10.2195805796783	10.267400521045	10.4467816743728	10.6682510292658	10.3843589466044	10.4981349480434	10.3667407086215	10.4914256614373	9.86912925735765	10.9168500975197	10.1719032588456	10.4126540300114	10.5792024867621	10.9714076299018	10.5285657104503	10.1719172444006	10.5746924932578	10.8944565713699	10.6323597897618	10.5234494654125	10.6029259692723	11.5014591328496	10.8247320777723	10.3752653022947	11.108511180305	10.725297432443	11.1048681786569	10.9486262763496	11.1046396236099
SLC17A3_9840	8.54255087588374	8.59306420481447	8.341945797669	8.49982645291806	8.17983779572594	8.49781728583813	7.9845162855077	8.010286385361	8.26858621450256	8.34463721825749	8.48713675311901	8.36903645174524	8.44601586415492	8.31870265944206	8.18933575588429	8.06984591754261	8.64608517668604	8.41145766838222	8.44037806303863	8.2588106625241	8.63785405011137	8.29130451755483	8.22119801076925	8.24429950422675	8.3274311318615	8.59692005382918	8.81436959525705	8.45688369382768	8.55532177008215	7.98734592527864	8.46269363357304	8.33846126484619	8.42711648624156	8.24767361620384	8.69752362828231	8.6162556101211
ALB_8020	15.1332732586729	15.0549935872031	15.5476910011593	15.7031339780185	15.0598290790455	14.3857925812927	15.5952195764998	15.3532879659044	15.1507864572088	15.0097296771111	15.2300685319305	14.9300732008505	14.950457768611	15.3823840804087	14.477220867364	15.5559833518888	14.724995549673	15.3914064593963	15.0600470949518	14.6739105923583	14.4814560316389	14.4306988359809	15.4689655140118	14.8809456769987	14.48766689797	14.8084605264076	14.9287661450481	14.9000736543469	14.4777197965316	14.8731190116053	15.0939152436994	13.964909594782	14.6444436615056	14.5471348163651	14.4668369615771	14.693293020878
RT1-A2_33098	0.774876317121331	7.65096708830794	8.62300280302017	7.48024784862918	8.53791337896627	8.20575467479245	0	7.73162137657994	8.84577246327332	7.5776265209131	7.72228595311966	7.6017463981942	8.96998236625071	8.65018768455524	0.512732316077585	0.999188988124579	7.99446399940933	7.4274450632218	7.79470718491266	8.7936462661148	9.07715870925861	7.72370032838843	7.55375971204038	1.41959455112753	0.464758777515048	7.91555055474199	1.20422927420408	9.15537916851489	8.96829051445949	7.75000354825143	0	8.76036279922969	7.68040779179906	8.40425131714807	8.96218420967021	8.66114109620366
PPARG_32510	2.66284925253384	3.17808600924183	3.86876704832409	2.78228261877756	3.44582858565425	3.58994794186508	2.97819815806915	2.87261140647409	2.94153279566177	3.30337013373491	3.10341533900392	3.11682513199529	2.86740879870253	2.96460237910319	2.968643035848	2.90548455180048	2.68935009944472	3.54977404339609	2.96736333523423	2.08128790165491	3.20844767648284	3.09166540470178	3.17606180691966	1.95293195308944	3.13615444684855	3.04323642458159	3.28634568190934	3.2859515412667	3.09007148982855	2.23581993878254	2.59303301855511	2.96644792739952	2.91465660738756	2.25488428423331	3.39552241389289	2.27292861115783
CYBA_32388	3.67041156242256	3.22852588916081	4.68790155275729	4.44452646790337	3.78406730934556	3.22585479080524	4.10951525414041	3.95268422424846	3.21842283006628	3.56168542965135	3.3230013112305	3.32945231538117	3.86582532260405	3.78779672609098	2.88776823461222	3.99847897855143	3.70800635553466	4.51648115417491	3.21927099387562	3.13034376598827	3.42322772798454	3.97600245136809	3.89573386298935	3.46605530875776	3.31208929149855	4.12350988013725	4.15117144865374	3.79703465153319	2.95318604353601	3.73231039138348	3.90519534055443	2.59033505714101	3.85051925719853	3.05727374532097	3.36621336348437	3.5357054563949
PLG_9501	12.8222253600034	12.7725964538217	13.3233126303265	13.2487230630734	12.8017789913572	12.0394732836679	13.3927036134568	12.975009662045	12.7347888391529	12.460572018258	12.579870145238	12.4551193811525	12.6133884526028	13.3172077128316	11.7930801744282	13.2790034807297	12.5129889621602	13.252077622053	12.7406263312217	12.2999759064668	11.8792578227871	12.1938905638178	13.3782944536814	12.3195987076702	12.1273653144642	12.5711461557313	12.6953499276897	12.5111728429868	12.0230672403732	12.3469485976274	12.7978297264241	11.4226932096876	12.1798849632492	12.0272549230891	11.7862889443907	12.2733794975929
