ID	S1P3_G06	S1P3_A07	S1P3_H06	S1P3_F06	S1P3_D07	S1P3_C07	S1P3_E07	S1P3_B07	S1P3_H07	S1P3_F07	S1P3_A08	S1P3_G07	S1P3_B08	S1P3_D08	S1P3_E08	S1P3_C08	S1P3_A09	S1P3_F08	S1P3_H08	S1P3_C09	S1P3_B09	S1P3_E09	S1P3_D09	S1P3_A10	S1P3_H09	S1P3_F09	S1P3_G09	S1P3_D10	S1P3_C10	S1P3_E10	S1P3_B10	S1P3_G10	S1P3_H10	S1P3_A11	S1P3_F10
ZFAND2A_10197	3.25112980718338	3.81893652641495	3.94623994115911	3.12371269498845	2.17596819981341	3.405415016487	3.8336528508594	3.5288782945066	4.39408591594742	2.56780963141109	3.08280771236775	3.16723297578054	3.83664448388509	3.0035708770524	3.56628008392595	3.18573754904133	3.47341638465656	1.69135822195905	2.3562673684068	3.71176949892505	3.3076008238147	3.44285249876351	3.09599679753698	2.2822821686784	2.30122949954721	3.72069759825114	3.36941064674992	3.79784502671489	1.91899240314624	2.99447147314856	3.90920576997537	3.91582959855211	3.52772070404803	3.44131627878684	3.81908541248776
NR3C1_9361	7.49139868938106	7.13934236902855	7.27386434115317	6.12079076600232	6.5851129204928	7.15090590494452	6.84911243866264	7.30260914503858	6.8905844501266	6.85655763533279	6.62995018174746	7.31590945251217	7.51945242236004	6.89740821776102	7.1496747408513	7.0862169590199	6.89380770346899	6.41088380968516	6.71372101407552	6.71951213485976	7.32290731269297	7.31704380507373	7.48613148323767	5.51815219695972	5.76067499398763	7.40449041922714	7.22404992563787	7.31400066913186	5.4356334615487	6.6059988841009	6.91206258161102	7.21494463722797	6.85938329437887	6.33379223803208	6.84497212484218
CYP11B2_32978	0.648993656389082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871065709694685	0	0	0
SSBP2_9944	6.67408171291758	6.13278730570934	6.52815621339641	6.50816362881005	6.83530434974234	6.19476512563147	6.73610609501636	6.28075365708619	6.97553946304676	6.38641391476978	6.58573913149514	6.6166105954077	5.98249328971578	6.74335021533658	6.25711279507583	5.66792467118788	5.58996375921027	6.58850526058148	6.75240666814443	7.25916754874179	5.2652546964931	6.37183318031028	6.84532847155211	6.79117466574952	7.04914526671911	5.80289715523111	5.52280277485062	6.08090130944248	6.88731856285391	6.92150993636629	6.30032663481255	5.16263568516638	5.88099374321691	6.4257833344599	6.22325641259641
SNX7_33286	8.62659743451426	8.3924594754613	8.4245469604805	8.21746403632321	7.78361443485819	8.33926685892438	8.1191320530779	8.64511159317278	7.2009030555929	8.49363168465519	7.77019285348729	7.74517806980336	7.98432768003657	7.91671323688735	8.4716775521695	8.27909109521125	7.85311207555757	8.07759182082305	7.80824083499875	6.99059749683722	8.63067066668271	8.12112528476741	7.59554958766483	8.00899273351119	7.61478468851054	8.20556675201035	8.25372034420491	7.9481889052156	7.47950018226744	7.97669856100591	8.26971212511403	7.91040226446969	7.73585182786559	7.18137842751543	7.71061434257446
CDK2_8266	4.34443911912189	3.7503062373595	3.80459864039072	4.24828096759537	4.23937413587028	4.52442730285652	4.04817679896217	3.93901399484323	3.88437409692424	3.79612578078181	3.51874463902182	3.16723297578054	4.06377098847478	3.88350921990077	4.47621235762796	3.78364459040804	2.4573487864417	4.23548573982212	3.10550433636503	3.6081949705902	3.64355153127867	4.20144575063143	3.21429823270323	3.36102777623856	3.93418237119499	3.68094110556037	4.26640427105431	4.03719870636331	4.18949638040348	2.99447147314856	4.14880648492447	3.91582959855211	4.07037189609925	4.26364570973705	3.90869108408815
SULT1C3_9971	2.47108133079976	1.720167756511	2.12546680269675	3.12371269498845	2.43258841692959	1.09011686639367	3.27589688950706	2.12881660810899	2.15118574146739	2.47246832527035	0.37729557777861	1.99772893461121	1.68460426168754	1.92900706018112	1.66408282246213	1.35475445800037	3.31963681399142	2.9427618928135	3.10550433636503	2.00921221320163	1.84646451318788	3.09140989929623	1.55998011449804	2.2822821686784	2.49648772302799	1.81082784399501	1.98917534802326	1.65596380541861	2.29108012538323	2.16501180260307	1.23705584994498	2.7661911029926	1.70359415276177	1.33190281724748	1.70535238348457
SLCO1B2_32950	2.14026955939544	1.20869459947406	1.7665777622768	2.40240095471807	2.65038175222356	2.13314868648558	2.47808247170014	0.507615270028829	0.701154178287412	2.47246832527035	1.62869561781098	0.414280874643248	1.47072825712593	1.568300274318	2.29408197630111	1.66927634727947	0	2.53050213285886	1.6864770684941	1.64059149065431	1.51319409206523	1.26940203308477	0.981303884137498	2.76483501407255	1.28015217155177	1.48116440613	1.43146250377722	1.95175512079431	1.07904382227755	1.11207755497962	1.70573471626236	2.36318997958999	1.70359415276177	2.01245766433824	1.23673840427067
GUSB_32941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956362163170095	0	0.471392306349304	0.440592388661762	0	0	0	0	0	0	0	0	0	0
NS5ATP9_9367	0.648993656389082	1.720167756511	2.53727567029548	2.61922219192519	2.17596819981341	1.93443423241538	2.69730172991622	1.63621447001619	1.17095688589523	2.01195480260696	2.37425097212913	1.99772893461121	1.58162595960891	1.92900706018112	2.41636480195919	1.80407725085687	3.14748813544948	1.69135822195905	0.96411795998836	2.11376241218383	1.31239240744038	2.2514595998564	1.43559422990939	2.8446165473541	2.30122949954721	2.07899619924279	3.037926865356	4.64519769823554	2.11699887905871	1.73254446884592	3.51159080983478	3.55792164816499	4.69087812801657	5.67447131087216	4.66787658892536
NUP133_9378	6.11205122412186	6.01340147840651	6.13321041567987	5.8899793998815	6.52666166868137	6.31214672841637	6.37209895284714	5.72434691956537	7.12208140010255	6.16798007831635	6.44928826775766	6.7651832592696	6.1716503715485	6.12503713946756	5.94802591644846	5.63212621493328	5.68750124066466	6.4376368636472	6.1698914423668	6.94527041386579	5.67438017174706	6.13175817741015	6.53261924976933	6.5625498089587	6.83115555942819	6.09527908827828	6.22551016780984	6.57982586681517	6.50091597689151	6.40314540212962	6.20622891899608	6.0729863857727	6.52414088796786	7.39803047695509	6.68297856855859
