ID	S2P3_A06	S2P3_F05	S2P3_G05	S2P3_H05	S2P3_E06	S2P3_D06	S2P3_C06	S2P3_B06	S2P3_G06	S2P3_F06	S2P3_A07	S2P3_H06	S2P3_E07	S2P3_B07	S2P3_C07	S2P3_D07	S2P3_H07	S2P3_A08	S2P3_G07	S2P3_F07	S2P3_C08	S2P3_B08	S2P3_D08	S2P3_E08	S2P3_A09	S2P3_G08	S2P3_H08	S2P3_F08	S2P3_B09	S2P3_E09	S2P3_C09	S2P3_D09	S2P3_F09	S2P3_G09	S2P3_A10	S2P3_H09
HPN_33226	7.18953103093917	5.79179113180322	7.01496528770168	5.55583330750088	5.77579892251896	6.14581720205574	6.4073587824467	6.69426525146099	6.55088886836457	5.88902673095164	6.18726881630159	6.63500912373707	6.0903825749607	6.36239814018173	6.81877211449596	6.17582604039258	6.16287417510611	6.00522450379824	5.78444508430558	5.96922835857524	6.24771629764451	5.92610052870114	5.94857273369812	5.65473415377415	6.28211809765263	6.13502479513921	5.47385768533839	6.1177441463979	5.76243789054523	6.91427890263673	6.69445957749169	6.17351521376947	6.37518941906149	5.43161992179109	6.3273842662162	5.62672287135465
TRAPPC3_10075	4.79707689038922	4.11979413581821	5.65158886598968	4.21881688257087	4.2927620049062	4.76265930208109	4.92046834633746	5.32538197776861	5.17247262339641	4.94383570554548	4.83750253635464	5.71900848042041	5.22917331223931	5.17107756170406	5.36835450469968	5.23234831646183	5.09431057261415	4.70731801604374	4.74926888923716	5.19408044479271	4.28278058104199	5.1591320185823	5.27578775880614	4.76557705453604	4.8588597909975	5.33783960453389	4.8018197316527	4.78686771720209	4.82644760178834	5.70144399781524	5.33349138963928	5.02629061918113	5.41748661661086	4.51945052622814	5.35013378253207	4.63691230717446
EIF4G1_8551	10.7876483165639	10.7930536762935	11.0081941103622	10.6364140336196	10.8108742881705	10.695525622754	10.9663089788856	11.0303196538546	10.9721690853758	10.9494575194375	10.8782990624379	11.1085829783931	10.8702037786491	10.9029489529821	10.9457311741188	10.7759360489658	10.9672510480959	10.6385389653707	10.7975827479073	10.8372248396929	10.8442474108926	10.730076728951	10.7843299189299	10.7853856998309	10.96331600372	10.8935927060489	10.501706157662	10.9154309683936	10.743861059288	11.0255225414946	11.047306668774	10.7446941430546	10.8586981919252	10.7476065607676	11.0600204758742	10.6073490851285
P2RY10_32285	2.42912210396591	3.11211001284175	2.72365084485474	2.61249822284987	2.52997252863647	2.66236629520042	2.8488318767188	2.6741816743919	2.06612451108144	2.62732965344456	2.94022426841772	2.69611282532364	2.4996642639555	2.07219056912097	2.23465350546313	2.57473285171454	1.95740637678021	1.67448285871252	1.96700493468778	3.36464991883331	1.70530164636506	2.02952139843361	2.72223287166264	2.38748291129135	1.89195861803292	2.01225516784846	2.60694523073244	2.60343684200811	2.11878134569971	2.06686869212763	1.80596431507848	2.05618431887408	2.17863589335607	2.80367119960982	2.93198941192556	2.29241929572087
AKR1D1_32336	0.572690945739462	1.4582575025677	2.35904637542085	1.09545453623066	1.70581407235171	1.82310987401764	1.31556645169559	2.22741606490898	1.54228851954071	1.35255731639731	0.918417377598775	0.605926341829783	1.30461026630907	2.59378803013003	1.51260526195005	2.51640100598895	1.16081833195453	0.743710264072295	0.368439431666276	1.64424427415039	0.810366618631933	1.6112334173827	0.871427039340067	1.26951926020229	0.784953391133135	1.17901288610498	0.398632456290613	0.686414646781835	1.89390817736916	1.18644050501121	0.501927899978342	1.17858055700503	1.30432920367374	0.891102422080723	1.0740053153087	0.4058806698743
RALB_9655	4.09429848565011	2.91726193288589	4.17881738380936	3.38865328904894	3.46648474366516	3.47945368249518	3.60496120914201	4.5987750888829	3.35671391597291	3.53811176581378	3.8204957375612	4.18781027683968	3.90367595390357	4.0302828146607	3.94135742017671	4.39687892718518	3.86732950688689	3.15786844947575	3.40620143265757	3.6957549187078	2.99482000167393	3.84381707514736	4.20311532159547	3.36051197796788	3.54408850737155	3.77000232785163	3.00030114151626	3.86861125837194	3.69046137125693	4.62083548027969	3.94069400878149	3.29935857358398	3.83057968050466	3.16610466403043	4.18044117883226	3.42585171904687
MS4A6BL_32383	0.791557950553893	0.906029670599596	0.669067119214531	1.09545453623066	1.17423934038971	0.816828524347715	1.57789227356424	1.82770973667864	1.37506794324295	1.02556929651252	1.68934478864644	1.74364444624689	1.68043906036883	0.754321991868283	1.10988213515699	1.74878967903303	1.02138623403503	0.882131077321253	0.368439431666276	0.84574316129051	0.810366618631933	1.70515612905665	0.871427039340067	1.14356816747254	1.39332419270208	1.46983662133992	1.18461730894904	0.85787932007282	1.41772267964434	1.18644050501121	0.87358434130329	1.42477135709116	0.37176820114844	1.27758088724761	1.41028959370044	0.981627851079411
UBE2D1_10119	3.17638173631379	3.31575237692128	3.50153829032094	3.58365202056341	3.39933704307357	3.72076765370883	3.63409016510346	3.41038417923553	3.26401492596138	3.74729615192349	3.40162208373569	3.6717465684505	3.5280983665042	3.61097931324052	3.57141388664401	3.87700182387545	3.38884938094021	3.36093366061013	3.23843740241961	3.66586162217496	3.24468031102357	4.07249131822077	3.85588148097414	3.41604802538341	3.0722988943204	3.26253577698075	3.60158011528288	3.53117425566457	3.34964694590929	3.11360575694897	3.22065395307413	3.7913959001626	3.76970011194388	3.41756692099539	3.17204068086717	3.42585171904687
TCERG1_9992	7.04795312566541	6.74971572846303	7.47105165582094	6.71968307300448	7.01332089243783	6.92570850896871	7.30912045657609	7.20148274662553	7.36494679803884	7.31715634494959	7.15948294242902	7.47949678213251	7.17578996379614	7.21152253358725	7.17156138384657	6.78533372404672	7.18375998921529	6.89522281184579	6.92773758006259	7.13723738390065	6.92358551291895	7.33727496774765	6.93928489678639	6.87642826225955	7.20196865117852	7.24502771640131	6.70204111503158	7.04433977768123	6.99578204503848	7.41258190172551	7.22246951181699	7.04884779018766	7.11133314179132	7.06028388472257	7.43123162843238	6.77926809557349
PLA2G2D_9493	0	0.727189513424884	0.372976871169457	0.250315637550545	0.323482743622794	0.326356852015067	1.16403555428828	0.35986235530248	0.399182309467008	0.829299090260293	0.289846502181158	0	0	0.543884284969185	0.300599401987429	0.305768036942311	0.497686324037161	0	0.368439431666276	0	0	0.496744419020389	0.500532669353453	0.264890197679702	0.239714731441649	0.325206332064081	0.21304096537606	0	0.503764577395485	0.399418658945816	0.272682953356297	0.275710262790797	0.37176820114844	0	0	0.217167066103177
CYP2E1_8421	10.8499177147914	8.31585556468587	9.25945168312271	8.48745327317326	8.89800451875872	9.33429046171848	9.06019325131711	9.77778821808479	9.31786874082111	9.2117381723785	9.00592911345703	9.75584841533031	9.37087566805243	9.40073741513246	9.4557850211362	9.40829549250621	9.56046597575745	8.70908743392544	9.48474220605684	9.65492629079947	9.28211225301639	9.11650731880983	9.75326420146901	9.1490952401801	9.92969024921458	9.91376752796906	9.46372870767779	9.68816037302518	9.87657942866389	10.3739358520843	10.082309331019	10.52022703224	10.2027538989245	9.63827428816947	10.4043242877646	9.55521279210183
CNN2_32878	6.88204174516022	6.30765416805986	6.88415620760708	6.06059133559107	6.36080874045784	6.60298152034086	7.01183141509513	7.10680441268976	6.68654647811657	6.54199281385295	6.7069068272122	6.92256398152796	6.60431048006693	6.44812002263441	6.68874417942081	6.64264460701966	6.89009372280582	6.3564466669754	6.32967779266035	6.78069510445276	6.20782097497194	6.95059924482512	6.67518840001451	6.60493593408765	6.7574257972969	6.42126720024734	5.99674805687652	6.33293134042148	6.3440909626459	6.78671235149741	6.88681246688017	6.38822131354569	6.88607646528038	6.0556897534588	7.01974597144278	6.09968790590116
PPAN_9534	6.06670250121164	5.53735305465309	6.42074145803953	5.64046386506637	5.89026847406181	6.22138421535935	6.49332479502214	6.50922867091105	6.31711920172277	6.12677073931797	6.31774924710469	6.35124229906177	6.24286228663773	6.32991898322357	6.30502351254776	6.03749120657163	6.0949411262579	5.71228886074449	6.04183672239945	6.03501706684038	5.94206817149956	6.19653917450346	6.17661319165507	5.97439603664563	6.27540056834902	6.2687698247585	5.47901414699487	5.89951151841829	5.71157096509865	6.41833710575556	6.34901582790197	6.02746218662349	6.31254495386737	5.8853866251528	6.46460840177066	5.55375939372479
MFSD10_9223	4.03120075408551	2.91726193288589	4.05625217132186	2.85846280052183	3.43330151705057	3.26763558889014	3.48218174636756	3.65711880605249	3.78140274035131	3.63149873443142	3.65197361810408	4.05820133680419	3.2958727680563	3.52751155193906	3.32690905979272	3.8057266086941	3.49808290606732	2.85577229517718	3.14662302876438	3.28822462888044	2.85153327679484	3.23665026354822	3.21641082230902	3.2115306754715	3.49866858870497	2.82135236078892	2.94174717744355	3.05508290099508	3.28925630022997	3.91024892212882	3.45766152246243	3.35979624427163	3.56994020855498	2.68086909418786	3.74784798312099	2.66920993215728
PFDN4_33123	8.73609285905484	9.08022379622903	9.57784897613771	9.19447523875183	9.2141473638919	9.20063623110421	9.29773746330576	9.4463455559867	9.5423043889597	9.38544808792345	9.22345237096733	9.44830994245765	9.27940557536068	9.33883469525225	9.28522431926111	9.30815948857057	9.51244979484618	9.3495595247951	9.17265795826635	9.30584779691065	9.18924463642386	9.62601859340797	9.25030481587654	9.3052427185182	9.41460500321254	9.5161406747414	9.1338360808905	9.24610592093446	9.23950324039263	9.61662930893523	9.436674190631	9.30841491292288	9.50411266719427	9.20481386493324	9.70550498342006	9.30069851679723
PAPSS1_9423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNRD2_33001	5.21178470351776	3.92605382860464	5.24327985960129	3.75540499044614	4.17725171933583	4.85413249486155	4.71770419342642	5.00734711857104	4.74521476212727	4.17712704891827	4.76851272337598	5.42684948978118	4.71358125060028	4.71061824211042	5.22380851864425	4.91998292377913	4.73013655931793	4.39682261848988	4.22868743948301	4.69925337165207	4.16649718440879	4.82442261717595	4.87820560006142	4.38907907301284	4.77562149040315	4.78390597755473	3.876279454257	4.38564642758308	4.18064550789489	5.53277316375236	5.3918470801702	4.60735889564034	5.23810728356789	3.78856996524388	5.18462315588625	4.10809545601873
KIF18B_32882	2.66908263890352	3.14810970889756	3.01445058184222	3.2518750155639	3.21637337266237	3.1487936932644	3.34797301423883	3.55649456051583	3.5653350021972	3.40337729634757	2.94022426841772	2.69611282532364	2.4996642639555	3.34452299996526	3.25871082369755	3.56797360945066	3.30112940501769	2.38279978769397	2.57197913630534	3.36464991883331	3.06145756151874	3.03438343057317	3.36898561344662	2.38748291129135	2.76219852550166	2.71425855922541	2.36102450287534	2.65086098133595	2.18657136924724	3.11360575694897	2.93690636504135	2.1953567061716	2.84251478992094	2.6153118850745	2.36310454810025	2.66920993215728
CSNK2B_32771	3.8480585999696	4.95095540660407	4.56783212511876	5.06989028382306	5.05191622896648	4.80257431050534	4.73124696769332	4.63212220260477	4.9072359808287	4.94383570554548	5.07506189781997	5.04877125217405	4.97193485480247	4.65925666246658	4.55278495124161	5.00728963192397	5.03209856290131	4.63083074688014	5.21251096971096	5.20451489989377	4.65059367971445	5.13402151216069	5.03242222312074	5.09823672411933	4.44541576519675	4.87373859297569	5.05758715202605	5.08325919414395	5.11443555265847	4.56360468732193	4.47387377783968	5.14266501293241	4.89752595931005	4.85383084414747	4.53015824271325	4.7103684215322
