ID	S3P1_B10	S3P1_C10	S3P1_D10	S3P1_E10	S3P1_A11	S3P1_H10	S3P1_G10	S3P1_F10	S3P1_B11	S3P1_C11	S3P1_D11	S3P1_E11	S3P1_A12	S3P1_G11	S3P1_F11	S3P1_H11	S3P1_B12	S3P1_D12	S3P1_C12	S3P1_E12	S3P1_F12	S3P1_G12	S3P1_H12	S3P2_D01	S3P2_E01	S3P2_G01	S3P2_F01	S3P2_H01	S3P2_E02	S3P2_D02	S3P2_F02	S3P2_G02	S3P2_B03	S3P2_A03	S3P2_C03	S3P2_H02
SLC35A3_9869	9.13655157985703	8.29081883372935	8.42929548146238	8.35114056374335	8.11426043149806	8.80821380927785	9.03005756104801	8.25342733153956	8.25730864303115	8.48971001727765	8.68046576062876	8.0579561472456	8.55381692044301	8.71624260986865	8.68082496390186	8.75532515784826	8.67936564403812	8.38342158368707	8.21144107418353	8.57886574860387	8.4568779217239	9.10024047611842	8.85050331864442	8.5259953446997	8.54852722045003	8.67956979159361	8.56756800415152	7.73635178511238	8.76774437913691	8.81626246710763	8.29492579188328	8.81123910200835	8.09817185090772	8.18258412331781	8.36770772923491	8.10615840643548
KRT18_8977	5.08752172186921	5.68436113214089	5.76320447748984	5.97470300620072	6.17212531127809	5.36847499907216	5.19004889371921	5.9992780012932	5.9528790103805	5.85226293860573	5.58567416973105	6.62643009860588	5.57516636748846	6.08961489837192	5.66211999324598	5.38711815485886	5.75405046637351	6.02513890670472	6.17721139590387	5.74453883696396	5.6402792514141	5.34496320519632	5.30027328866829	6.08886316365271	5.34912301781061	5.07053879023621	5.70975949127822	6.51789622631728	5.0824096499715	5.07417621849398	5.12100150591612	5.00890844074606	5.86259116036012	5.84161056382167	5.72264070128352	5.85533544175883
AIF1_32886	6.722992543012	6.32765428612704	6.0647702958709	6.76752251252187	6.27792466365284	6.41316158887098	6.27452985519986	6.06423293846624	6.48147082134811	6.72747987290011	6.63519444690842	6.20590108536525	6.55567599558067	6.18662114698341	6.70668758615309	6.65016023212458	6.62384502184341	6.14670438207894	6.33268880220491	6.4783904084975	6.49997654669027	6.57576594148383	6.47504827381807	6.24550827428093	6.74632739942248	6.1032352038937	6.98632746327917	6.08335561932125	6.50621477775135	6.59059288935513	6.30645807394673	6.77754175157134	6.26706856507027	5.90342478434277	6.57551549374212	5.9575799920493
NADK2_32534	5.97062158764967	6.71374314416691	6.3787375265637	6.57996758049059	6.72368914360288	6.46110037551134	6.72755705659351	6.61785270300523	6.71135854504119	6.48779935896484	6.52696455945837	6.84228662837568	6.35355635566111	6.60452215021372	6.42250318107377	6.36977740726819	6.48690324596991	6.68126128675686	6.62117379213564	6.48756449893114	6.75328165336934	6.48746365353163	6.67018450673369	6.61806254023697	6.61593835230072	6.34032594936421	6.75159459095636	6.40102210819481	6.44143455545986	6.33363658792787	6.45969649931426	6.45953292139707	6.58786246190628	6.54855373800994	6.25237709462634	6.76169676397519
S100A6_9773	5.88806034209499	6.3528742165761	6.23565993257833	6.85111958232301	6.86620716202854	6.23619597955539	6.35155119120203	6.28467816266282	6.28375737891968	6.93568974289775	6.28663340236776	6.97316419804586	5.78715718556769	6.55693034066543	6.58641387726358	6.21971138854069	6.68125181830185	7.08874026314817	7.1706483398217	6.56327505361737	6.10265849210502	6.44433028377959	6.28184973651491	6.0813223288349	5.56645029070175	6.16413150481511	5.95875989242175	6.85374356296932	5.29986678989922	6.38810718896954	5.87113751091258	6.39123238379384	7.0682482849534	6.56564823970942	7.09751109304959	6.5316295574698
SUV39H1_32313	0	0	0	0	0	0	0.470855705711758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMBL_32468	4.66764583554681	5.34550563878961	4.98113884884416	5.55650417321631	5.46716766086374	5.15189124764736	5.32117255389954	5.28273932195057	5.45439570996787	5.16017375218161	5.118685607579	5.94469671388448	5.21157597597612	5.69816860634984	5.37660549459108	4.83510736241657	5.23446050112888	5.68324463812213	5.39820878096809	5.48535050151295	5.15960146354503	5.33149867368301	4.91822679024045	5.29731793984299	4.94583549663099	3.98365618594004	4.72783949405621	5.65404528869933	4.75695952980498	4.3093808429483	5.03922409973879	4.62298171364214	5.72670162944473	5.52944757834671	5.07329436220098	5.38883365994827
FLNA_8651	2.3289971135404	3.78110380174958	3.54379782781674	3.40709655581098	3.84679153483842	2.90277783810317	2.76319248209511	3.29830802441641	3.60613361908383	3.42386029581634	3.21298716463285	3.60429505222704	2.89303551688188	3.5912022935952	3.50087394291958	2.77305924486005	3.70158675712689	3.4989910247236	3.54053124139154	3.66225198951188	3.11358487397028	3.03097853785503	2.74387482114179	3.4509748356504	3.31415411786922	2.50020042066493	3.29858273062495	3.85912121649537	2.52396507614599	3.04283370967898	2.9015477913818	2.72673375298641	3.42806215882973	3.09277250220369	3.75906281490097	3.36647132309699
ARNTL_8086	8.01292339424046	7.47842778022461	7.42525485134949	7.16700441934829	6.91687475755322	7.58315985136569	8.02214515835222	7.01285201176043	7.2719869231586	7.6508467745336	7.68702925520871	7.19347879563648	7.50867317690049	7.43213199667269	7.61911409822081	7.7485168520037	7.60970430586095	7.42786399469782	7.24105163747473	7.37709348631869	7.29237721825481	8.05758373399796	7.98570469842519	7.45893515926676	7.68023475544398	7.68901666713127	7.48502109518425	6.27033545345034	7.5312427921963	7.70396385438935	7.15654765369553	7.81754865141203	6.93891882733846	7.15402663324816	7.4033383193445	6.70682846769231
AASS_7936	9.49679259643016	9.36364015022943	10.1497328229196	9.46365956701711	9.260015587877	9.54311832652533	9.69357528327821	9.36017247932381	9.63455907709184	9.47554421428901	9.55472837155086	9.44945693617142	10.1358594717872	9.51650072046058	9.68381531075211	9.36315080445159	9.94070751865285	9.47767517215551	9.41228403631918	9.80919738733809	9.80701277500565	10.0839475340176	9.86627757570766	9.71278149115847	9.67377963394707	9.70441234823548	9.87707736496923	9.01785648974254	9.77456612941019	9.54703475132098	10.1876606704382	10.1918897928305	9.6021242915947	9.38418153511046	9.93232113516057	9.5803005546094
