ID	S4P2_G03	S4P2_F03	S4P2_D03	S4P2_E03	S4P2_A04	S4P2_B04	S4P2_H03	S4P2_C04	S4P2_F04	S4P2_G04	S4P2_D04	S4P2_E04	S4P2_C05	S4P2_A05	S4P2_H04	S4P2_B05	S4P2_D05	S4P2_F05	S4P2_G05	S4P2_E05	S4P2_C06	S4P2_H05	S4P2_A06	S4P2_B06	S4P2_F06	S4P2_G06	S4P2_D06	S4P2_E06	S4P2_C07	S4P2_H06	S4P2_A07	S4P2_B07	S4P2_D07	S4P2_G07	S4P2_E07	S4P2_F07
COL5A1_8357	2.84411072742965	3.18955633112616	2.56140707171985	2.20976671631407	2.54310200263529	2.48137646804576	2.66959356988221	2.6625261906724	2.57377401683603	3.12958143930859	3.13534242131922	2.99655568863127	2.76224073945667	2.81839663564093	2.74129417877031	2.53007800360866	1.81548778696292	3.13754248373468	3.2168511330706	2.54605404081429	2.56104456427287	3.1410466948297	2.57461226439751	2.63993922608496	2.68700887663358	2.61215142245858	2.96226625027924	1.89347646630165	2.9664071572365	2.21884870322233	1.27510444703055	2.41116852476704	1.89622074165291	2.32497478323224	3.02801709510433	2.863304656406
NFATC3_9299	5.40757667476326	5.62647858452211	5.84254037961508	5.51823936095951	5.46602505488351	5.56058165911117	5.17948240547843	5.34475230382776	5.59442561403445	5.70857055793166	5.48992683523982	5.62063374849962	5.73517052132705	5.20234718897705	5.48071032733313	5.25750200007406	5.29780574261953	5.38317115288874	5.72679006356441	5.7613867394468	5.8596141940995	5.42254321607966	5.3551665558545	5.50025761377586	5.70622267735686	5.68710496214917	5.58185957614982	5.7167327842617	5.44998417142687	5.59549431021231	5.88817576948088	5.5926210393988	5.57007191382423	5.94440678103219	5.81514371082592	5.50417418700463
INS1_32525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR1H4_33039	5.72764871006117	6.24416567496998	6.08509795703196	6.07866599366125	6.25692854118378	5.80765375888204	5.55349195158636	5.76939812876237	5.87616392406174	5.88803797098955	5.85593995983946	6.25664194417342	5.53759358227194	5.6492407895783	5.98610218540311	5.12950257808344	3.92778207563008	5.12822609975781	5.55556051529809	5.30602265426338	5.19119837157272	5.93403784776052	5.30579871657938	5.30720167315528	5.46411255658947	5.98765267870821	5.89509705021846	5.07798980543696	4.68730379592543	5.60044320712812	4.94595555815884	5.63010819955014	4.79545284661327	5.62462512870558	5.74686759091461	5.0271621946812
TM7SF2_10031	6.24592744692818	6.19168739039173	6.32455326180766	5.89906316891507	6.19822161669038	6.20593677452454	6.62459944183711	6.22327773108353	6.13650060849519	6.05838117966931	6.30814021296945	5.67327236504258	6.32787006734812	6.96405495420729	6.40306191639886	6.24216602435692	5.85935235357426	5.97854399364611	6.14039830643063	6.12376808584619	5.56644252999381	6.35137721695287	6.0857850797237	6.0861783392895	6.2413851953631	6.38277550536296	6.68205270288048	6.12623165694679	6.03893654940994	6.1452990633236	4.92362666923057	6.08360143731723	5.41761552384901	5.15451650196621	6.2195684890548	6.06889858552568
MYL1_33311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215796484155517	0	0	0	0	0	0	0	0	0	0.221748756056858	0	0	0	0	0	0
HSPA1A_8841	3.28178687299646	2.68156974735727	4.18268506729571	4.62841483745524	2.01775133016278	2.76946174082556	4.30514954139554	2.49467322036172	3.11880750784226	3.12958143930859	1.98783402888593	2.05590252823167	3.0410001765588	2.65467789524116	2.97406852814338	3.07905469136391	3.85786701644434	3.22036919354423	2.66314909388327	3.83089227318427	3.0621255421093	3.0830449048003	2.76198589281779	3.59934634773087	3.02289557598892	4.25791416909107	2.48594961318151	2.88759085069041	2.78807813781237	2.96569139950155	3.88051372909477	2.72013801372445	2.87817450377719	3.27118484887018	2.22862681271382	4.09932460539375
TNNI1_33096	0	0	0	0	0.326683180129279	0	0	0	0.227513702310138	0	0	0	0	0	0	0	0	0	0	0	0	0	0.350944043577016	0	0	0	0	0	0	0	0	0	0	0	0	0
ZMYM2_10211	1.82577175473537	2.13248137621816	1.45996197197541	1.2132210629611	1.33614658942045	1.93399093639922	1.8801955722626	2.00482641952042	1.68732993359717	1.49275225484949	1.76985999285173	1.87160689092104	1.88192176710316	1.91634260730789	1.66645034120995	1.80055210711594	1.73976233514752	2.21415928723194	1.83523300995612	1.63109665161195	1.786878206819	1.030608117532	2.43464657960857	1.45646519891277	1.42664267069597	1.92202088923187	2.36841666591582	1.96688956550205	1.80700603443372	1.49958261727722	1.53284116220096	1.18288850560813	0.931649811938831	1.6372978908625	1.93333703983756	2.12517919698759
OXSR1_9404	5.02813993168827	5.12296662932586	5.29175244783177	4.87522782341673	4.81719160226006	5.28854145265142	4.53705175228142	5.07398489614847	4.62896888151869	4.7043011807636	5.10316689613395	4.9030849753093	4.91308316741455	5.17238659852884	4.70533534435598	5.08147086916935	4.50957879434051	4.86199780743327	4.94634160638005	4.77928927526593	4.36495003723986	4.89981157921403	4.83488776630764	4.66794427919911	4.89236525499595	4.86815829278273	4.95525535800854	4.40400095794154	5.11374120757546	4.64911008155846	4.05500447716702	4.65167549682098	4.5096290298463	4.92317234066544	4.97096926895695	4.97669936071272
