ID	S4P1_F01	S4P1_G01	S4P1_D01	S4P1_E01	S4P1_H01	S4P1_D02	S4P1_E02	S4P1_F02	S4P1_G02	S4P1_H02	S4P1_B03	S4P1_C03	S4P1_D03	S4P1_E03	S4P1_F03	S4P1_H03	S4P1_A04	S4P1_B04	S4P1_G03	S4P1_E04	S4P1_F04	S4P1_D04	S4P1_C04	S4P1_A05	S4P1_B05	S4P1_G04	S4P1_H04	S4P1_D05	S4P1_F05	S4P1_C05	S4P1_E05	S4P1_H05	S4P1_G05
TSPAN12_32937	5.64913940119474	5.69840309846559	5.31431671635909	5.27878174736615	5.39928253380067	5.47244715824575	5.39497492579598	5.65827919592468	5.35382204960626	4.91564438662475	5.57728559907547	5.19634556348272	5.54366761633349	5.11956734073405	5.39127419103759	5.46901978850448	5.16266569692791	5.613302828323	5.62320333328018	5.57138946393516	5.45660319185059	5.47796155083504	5.62885338723202	5.52153713521269	5.34530657873884	5.78787646863057	5.43080736886231	5.68798917284086	5.58849605374021	5.60359146136552	5.27437172686172	5.34847897629695	5.48621242208525
HSD11B2_32369	2.40430156273302	2.97370491389732	2.82469274031979	2.34448277738845	2.70927609742225	2.67803684820684	2.07784448606397	2.52602956192355	2.71515174341191	1.29814751503281	1.89136868233663	2.23300501081457	2.56109044752132	3.19766185602256	2.52704822291581	2.30327326731804	2.46585520201554	1.84882192011356	2.46652904868974	2.10344026171823	1.79886560296511	2.64642435713522	2.36142313952684	2.64916511373399	3.09807843741774	2.13440580048065	2.37122712335013	2.66573410163145	2.54649597279794	2.59988310097316	2.67494329642427	2.48877782193449	2.49662729648134
RRP12_9752	3.71157057289952	4.36367368890704	3.91367543257611	3.84285252422582	4.02101937409175	3.86785776083516	3.77459511716548	3.42729490828114	3.70719540005682	4.19385869481158	3.86288285880041	4.15569096922972	4.00098731315019	3.89350367949441	4.07721782967036	3.98502681967137	4.52560277931209	3.51200396327636	4.25614240542892	4.32251460267215	3.72318699512189	3.90447365062737	3.76695498636975	4.18544640932518	4.42222847615802	4.12359897206659	4.09583853971873	4.62485735229564	3.92162068819512	4.56601992567649	4.6517904561306	4.814850964101	4.37403038539753
HIST1H2BCL1_32672	7.17249272893348	7.68086060871147	7.79901441134967	7.49261948366061	7.72934874623265	7.07463544550717	7.24237298493546	6.57356989740203	7.63831751406356	6.72870011582723	7.06375785247881	7.146111649067	6.97012281777191	7.33673625691125	7.19746929371791	6.76927084216083	7.01414287056092	7.23653346276236	7.77350175430911	7.32060812609736	7.4648363203014	7.13022328203644	7.56388648170541	7.61377675109676	7.02210117524617	7.11862774142678	7.53328227512538	7.0127842824325	7.16648226862514	7.6447221543935	7.22513472098038	7.46184653657782	8.16281516567629
PAX8_9432	1.35692072822674	0.575001754504865	1.71445948251129	1.84622814298543	1.77556521118852	1.37848605476834	1.14284465398285	1.75698980300587	0.94693337399144	1.17036232366783	1.01163968451916	1.74642423302007	1.65279480950885	1.27601295882564	0.397906011263916	1.32984415556242	0.478649378207666	0.455988919151055	1.59074822344124	0.828503340097101	1.33675455799284	0.990201873693199	1.57087234337243	1.38119405352316	1.50568464437489	1.62597180623383	1.13258815593197	1.50219984215387	1.20392281341135	1.52353872826923	1.67552318051064	1.16476541278091	1.85281803667502
RT1-A2_33098	7.80410845727458	8.34286582425472	8.32221139935779	9.0662564471588	8.64215644792171	7.30738723848154	8.40891924766686	7.38267191141921	8.84529302533878	7.7161734001583	7.20624976338418	7.58833182887869	8.57199027561135	8.62240589526043	7.12053274259848	7.94562579718489	7.39918425710876	8.88822981859315	0.587858262431241	7.9078120571193	9.09955917839768	7.21727947952666	8.74903002613188	7.75674078890736	7.62816519433014	8.17200428628179	7.49246476418377	8.22239909400766	8.15675244790403	0.247921889908221	0.48436816368383	1.04582291112993	7.52005526161863
XBP1_10179	5.19066904973748	7.25087534172627	6.65844178523993	7.0593449135507	5.87830998271332	5.7003989681531	5.94507754053217	5.51546416265331	6.79163419169396	6.62892084860604	6.152140606414	6.08654293931696	6.71220079899362	7.03043565453349	6.10779538960504	7.15365067177469	6.02526102283088	6.09342957093166	7.10136372042466	5.53564133343002	6.35187536983918	6.35271527715246	6.41201923870411	6.76491745561667	6.94282410710267	6.52801451730281	5.94531797364733	5.9420576253256	5.34583167953268	6.83838077093443	6.24805909938978	6.55685192439884	6.11277391462671
CTH_32463	10.0056203715906	9.58465766966651	10.0679939015363	9.46556686031051	9.60036738218307	9.51959476043145	9.88812417418199	9.88724933984588	9.85677456806299	8.35778677693899	9.8523551043634	9.11150100886641	9.75331305311115	9.45875366856139	9.68574527061384	9.31395874343692	9.48950405720082	9.58261032659329	9.92603304678154	9.75832980313131	9.6156499062515	9.73580364300086	9.89202357643187	9.71205545122592	9.71855347908341	9.82795923345136	9.67011488278509	9.59469002577944	10.0845755275686	9.22396611766334	9.76679424670791	9.903384618201	9.97241669797888
COIL_32558	2.04360976465839	2.55993048919356	1.71445948251129	2.44614537338704	2.3659585943539	1.76550541776799	2.20929106848013	2.33510212334372	2.57243127712518	3.01564007803356	2.01742449922047	2.88612995307053	2.31686917992819	2.49069481832059	2.3585997760998	2.38915777007425	2.46585520201554	2.11952377072822	2.46652904868974	2.54819328479146	2.52812179358659	2.25744554794118	2.46804596535547	2.42115349024039	2.79235157036734	2.91079263215305	2.13053513299838	2.79834411284512	2.4997566418989	2.88261226262009	2.19873219140461	2.81401999132864	3.0453897858709
RFC2_9676	0	0	0	0	0	0	0	0.308002183850814	0	0	0.42086908014953	0	0	0	0	0	0	0	0	0	0.251844010963369	0	0	0	0	0	0	0.20505288714142	0	0	0	0	0
PTPRCAP_33252	0.475442652561052	0	0	0.455016451536017	0	0	0.264668516778324	0.308002183850814	0	0.27315422928413	0.42086908014953	0.418422707858569	0.385537047523723	0.774708182868076	0.397906011263916	0	0.478649378207666	0	0.587858262431241	0	0.466189814741681	0	0.670163131189713	0.297793231169829	0.689923506881871	0.334353747756483	0	0	0	0	0	0	0
