ID	S5P2_C04	S5P2_B04	S5P2_H03	S5P2_A04	S5P2_E04	S5P2_F04	S5P2_D04	S5P2_G04	S5P2_B05	S5P2_H04	S5P2_A05	S5P2_C05	S5P2_G05	S5P2_E05	S5P2_F05	S5P2_D05	S5P2_B06	S5P2_C06	S5P2_H05	S5P2_A06	S5P2_D06	S5P2_G06	S5P2_E06	S5P2_F06	S5P2_H06	S5P2_C07	S5P2_A07	S5P2_B07	S5P2_E07	S5P2_F07	S5P2_D07	S5P2_G07	S5P2_B08	S5P2_C08	S5P2_A08	S5P2_H07
SMC1A_9897	6.54900813521629	6.68992640937701	6.70662273123031	6.48769243727823	6.66392462031857	6.70296726340737	6.69273329786782	6.85942590987947	6.77725079427172	6.67092900603158	6.4952369572147	6.85765519604805	6.77573012509367	7.00494509629999	7.03814643958826	6.70857379087633	6.89415055533517	7.09608824179735	7.12103288517499	6.46623275049151	6.95134087299536	7.07390750530116	6.87414084258314	7.09180054854507	6.88963197963178	7.04423084781103	6.76304682142389	6.61206858622748	6.98847053613138	6.80279707615219	6.7357632500279	6.81640314869763	6.59028257232423	7.03554740853896	6.62292884175002	7.02606423833282
GBP4_8692	0.479437912011934	1.27504744152101	0.999628289063894	1.29209244137517	0	0.909310580945548	0.835945416547603	1.3998083593708	0.548435181850709	0.902867083765724	1.72734313676739	1.81161288128916	0.589748335247325	0.882815317966341	1.38418356656112	0.881413267272786	0.621582155192804	0	1.73661263486813	0.635303737823012	0	1.89884524789659	0	0	1.89470189792942	1.14588913302114	1.18492841851128	0.686106509340964	2.32437603897708	0.898732706382503	0.677958204094693	0	0	2.27178634955681	0.722815125497789	0.801817572827406
KCNQ2_8947	0.838670042345574	0	0	0.4459463983004	0	0	0	0	0	0	0	0	0.589748335247325	0.50790633317727	0.619879980955234	0.881413267272786	0	0	0	0	0	0	0	0.745923648144325	0	0	0	0.686106509340964	0	0.898732706382503	0	0	0.775347234733848	0	0	0
ELOVL5_8556	9.31479890445596	9.47161187350301	10.0959723160066	9.70716602701417	9.77664475894741	9.60636450028137	9.7951830726732	9.49342263374945	9.67065169220078	10.062751017272	9.75949883283309	9.46845147584382	9.64728740060725	9.76814662921303	9.66347222474067	9.93109693994079	9.54270421201308	9.87505505375236	9.85280584663121	10.0277733567567	9.66859420309866	9.58987422307421	10.0043196116517	9.62650761127531	10.4132299065995	9.3733051110051	9.61276158953615	9.92247342397904	9.55956127783644	9.86416823413085	9.5279559308197	9.64918844996506	9.21201681599072	9.37939058811634	9.79992374348769	10.0028223579424
ITGAL_8924	1.126048482028	2.06872324082663	1.32148203027008	1.29209244137517	1.46540865998267	0.909310580945548	0.835945416547603	1.60801985526224	0.548435181850709	0.520939199670416	1.51042512254919	1.81161288128916	0.589748335247325	1.42650111800181	1.05206433545177	0	1.38718861037262	1.95510734907351	1.73661263486813	1.07486809526498	1.41080178189225	2.34871933749416	1.42088635202014	0	1.23831342897601	0.683842243531063	0	0.686106509340964	1.10116809770547	1.84530237650378	1.13733813748866	2.02910207716694	0.775347234733848	1.18675559502562	0	1.99029564651153
PLEKHJ1_9499	2.86931985267256	2.39511855218535	3.45875570932054	2.91068155346538	3.53213000720481	2.64820924492913	3.32593375094565	3.32375326182281	3.35754788722636	3.2114627203427	2.80921979241691	3.00521427064876	2.81962942391843	3.03099749177964	2.78747857380459	3.29908046396172	3.41874422146276	3.26788681395087	3.72745426361181	3.21707107751436	2.82424767550401	3.57489878620597	3.23074068467054	2.95800299955906	3.08333954020013	2.69102286156409	3.11121945777219	3.15642279030963	3.17264468309962	3.7117135143069	3.23238979491633	2.4911504591351	2.58043826590767	3.00364057158977	2.29348698873488	3.7693520342007
ITPR1_32307	2.61461674661677	3.13920304531787	2.6998106127503	2.76454122737216	2.65174066628695	2.64820924492913	2.69937058343016	2.46109095668767	2.60584605416937	3.27765471009063	3.48144991339088	2.70548238982233	2.71255751362379	3.23874127141261	1.88116993213587	2.38153121274357	3.18244173904942	2.75593346062911	2.34536979427073	2.70766775505998	2.11026225820689	2.96769702869397	2.72064298698661	3.07852849845752	2.13686866082343	2.01151768916316	2.88119585275474	3.05436684511185	3.49921429397942	3.39351266394969	2.37826671761766	2.02910207716694	3.25387183453531	3.2167055869281	3.42706837231934	3.19790568757199
AGL_8002	0.479437912011934	0	0.584714704071998	0.786106887314091	0.769405070128764	0.52514066769725	0.477691006593886	0.863409348347233	0	0.902867083765724	1.72734313676739	1.58893698664126	0	1.18011937374778	1.65397228737223	1.63480120169998	0	0	0.662779255435013	0	1.41080178189225	1.24157965561435	1.08292943663715	1.23517267911445	0.748128720599578	1.77637746378594	0	0.686106509340964	0.653189913378643	0.898732706382503	0.677958204094693	0.824056493647572	0	1.18675559502562	0	0
HMGA1_8807	3.80824212258617	3.78456782724236	4.32122176220446	4.20053230974655	4.01330006786916	4.14443862946826	4.16011891315771	4.28058405351201	4.25076780874384	4.42221859470983	4.5062110758347	4.13490087327496	4.33552608647724	4.16022669351736	4.68315617339116	4.01428586746249	4.31104196076201	4.23574055187446	4.25376346153576	4.56583196145856	4.4235200985243	4.27960017545299	3.79294176169037	3.56471493602434	4.91759177208323	4.72624909958197	4.61824694288377	4.51864080141102	4.47169074354831	3.97225772998995	4.15351915011796	4.16577455606949	4.11826378466897	4.23799448677467	3.51177023509657	4.83298887387547
NFIL3_9304	2.9451218973935	3.30384261704015	2.90624623577162	3.69519709860503	3.48751431736291	3.82499351838468	3.48611494221771	3.38160530149496	2.49184934492881	3.62142077540922	3.93821833568062	3.52900250718249	4.01341990021487	2.95452415876208	3.41433202758028	3.35951684450198	2.25396834137048	3.35160470890912	3.4480024453496	3.71938324684118	3.03357191503561	3.73130888658663	2.59275571356755	2.52088315440291	3.08333954020013	2.39091149155197	3.48390206119002	3.15642279030963	3.07798478233899	3.50755746513359	3.88724253813482	2.84056692765671	3.02077234620292	2.88401406647149	3.24110661154358	2.63298291504246
