ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
RAB11FIP2_9636	2.3787033262853	2.39492710544221	2.30218234498614	2.52304577936791	2.57121764561888	2.37215816138629	2.64684210506473	2.53795277219122	2.54511878958154	2.07159411019041	2.03938981967702	2.61962304677111	2.6010438210609	2.46667765932469	2.25957514706127	2.11604068344993	2.22609317097096	2.02644466217951	1.7567544802141	2.87318752695168	2.88669091136799	2.19627390641304	2.54046551796928	2.24464491793407	2.15898139813258	2.25577602655907	3.13306165601802	3.09925954317578	2.36392759299872	3.43247690460641	3.04684068459501
CCL17_32810	0.92611184898695	0	0	0.250861822687575	0.29241276798639	0.876118117780655	0.309438095456017	0.401094716879497	0	0	0.646701643023919	0	0.341072153623698	0	1.09528398418917	0.382041008749072	0	0	0.260966101282418	0.905092897919746	0.383561274919417	0.261894601649713	0.254244125875928	0.55326274423751	0	0	0.54323079257017	0.611762329462401	0	0	0
GMNN_8719	0.678160913259496	0.857052867220255	1.06504234368981	1.21997330315124	1.08639905097251	0.638725722001346	1.13496000655341	2.17811062717273	1.34919530259357	0.937561527835902	1.09164539188134	1.7167996811308	1.87459083790117	2.00664359206537	1.09528398418917	1.14583183513077	1.33040889581113	1.10617985285396	1.7567544802141	1.06407669251866	1.33502060533752	1.25904114524558	0.82443608265712	1.73855290451269	1.10790972687576	1.9141824002144	1.24591948891028	1.26803469670318	1.10577092984732	1.71625520897669	0.28702456681235
XIAP_33225	3.94508037797532	3.67404793528026	3.65279067786541	3.3385742739179	3.28729242121791	3.75824458747989	3.64186939387534	4.60864343710824	3.862190840511	3.6891590393517	3.6547205858798	3.46020605188756	4.08762035927665	3.43429500267387	3.9445133725473	3.93070489054975	3.2052159133465	3.38046814422108	3.73263971991898	3.54722118790967	3.20524713911334	3.16383561339629	3.02330772837202	3.12302205336329	2.98768259092459	3.13808538799725	2.74747390875891	3.2403137326955	2.60155614570085	3.24643901564114	2.88430824290407
F2_32334	12.479133290052	12.2199646138609	12.7143328656385	12.8153828523608	12.5285124668757	12.8091223902231	12.4390341765649	12.310463265868	12.4009531270515	12.4479773447096	12.5479261009793	12.5932753817067	12.8704164543683	12.2317953001274	12.2641075881251	12.6878097462453	12.4872486410441	12.8181078178485	12.8383200150706	12.5199220346811	12.1535431615327	12.2681094861391	12.1668262908745	12.6027526513243	12.4741753907022	12.1702762667478	12.4891764660767	12.1524050021954	12.4233822106248	11.9914247681024	12.2015280959405
FGR_8641	4.07917464138185	3.18798043189438	3.62751408478516	3.39175207677172	3.35221560204404	3.22562974516601	3.11356688736246	3.57256522317108	2.99361081690965	3.4382061552018	3.86532844620255	3.63637190615682	3.25313054892389	3.09527566268627	3.388363306381	3.41979425873007	3.3952299628509	3.21122484236033	3.44811376241188	2.99662747718653	2.39610861505641	2.67229236404586	2.27923759273203	2.44368762915757	2.95222793088456	2.00745709986696	1.98986903236519	1.46488562320255	1.25251630553833	1.20550834052708	1.57584069672817
HSPA1A_8841	3.48564298028743	4.22083464817954	4.2578433498337	3.81806550827439	3.44443071341101	2.94175241945484	3.33493263295564	3.75487380143133	4.27641740763137	2.59313509925052	2.96107085989896	3.70122606250266	2.07051684381005	2.25491992221535	3.67178745529874	2.82042077144652	4.82096056288414	3.05324015811106	3.19053829498871	2.78460642522943	3.42570923502226	3.25689734311476	3.58309886953336	3.66505321635476	2.63203350149367	2.32988096693676	1.7164031938398	2.61003996843522	2.4876288700067	2.19912551707484	1.67861861372077
ENG_32663	3.85820197076444	3.47789478505325	3.88382745193759	3.60941761320919	3.66490492381739	3.60158564518128	3.33493263295564	4.14294399460427	3.90007445923394	4.04962206655253	4.18985112225293	4.01362313898595	4.11007536214047	3.84112197753245	4.14318275012755	3.81115453336077	3.50928848272598	4.01594857494523	4.02393187828507	3.70034480657413	3.38422989272115	3.02960893753762	2.54046551796928	3.08379356653442	2.67616507813845	3.43527777678045	3.13306165601802	2.38543049764988	2.42710364334899	3.19592348435011	3.12171917143175
POLR3B_32505	2.29297065793754	1.39103556521779	2.59078497467336	2.42441360265997	1.88605876058382	2.29239113123077	2.19798306669747	2.61545220687252	2.59216384207626	2.74857963134774	2.90770309647433	2.61962304677111	3.08194168730215	2.09423639449509	2.74044335025837	3.10091119468651	2.41354718942128	2.2173456866336	2.79668619785917	2.91551861888369	2.39610861505641	2.62652326860084	2.09628937054553	3.00198386520473	2.53950152294979	2.53177342423742	3.24165654814681	2.97556082385801	2.36392759299872	3.24643901564114	2.65143311720456
P4HA2_9407	7.05876853268662	7.01109295832901	6.55548037061516	6.9637787680314	6.8216933970753	6.8990860355013	7.0110633822449	6.89028858460051	6.96365890491725	6.77729449422046	6.97072314937029	6.63019987172679	6.74342941830099	6.57861406007208	6.73227495467421	6.51331528085528	6.59462278411645	6.76784173346272	6.24320990653791	6.46735568658894	6.96174621324652	6.83618629024619	6.82464473561342	6.52580438528302	6.56349138134856	6.40213381807238	6.25199736393532	6.83312661862762	6.8111701783361	6.61447792079389	6.67603875194833
